	SHH_WT_models_highres31596.py	SHH_WT_models_highres1378.py	SHH_WT_models_highres4863.py	SHH_WT_models_highres34599.py	SHH_WT_models_highres25781.py	SHH_WT_models_highres42525.py	SHH_WT_models_highres8490.py	SHH_WT_models_highres11881.py	SHH_WT_models_highres49960.py	SHH_WT_models_highres11966.py	SHH_WT_models_highres24080.py	SHH_WT_models_highres23829.py	SHH_WT_models_highres49057.py	SHH_WT_models_highres22983.py	SHH_WT_models_highres23072.py	SHH_WT_models_highres34517.py	SHH_WT_models_highres35879.py	SHH_WT_models_highres8834.py	SHH_WT_models_highres10104.py	SHH_WT_models_highres12150.py	SHH_WT_models_highres31879.py	SHH_WT_models_highres5395.py	SHH_WT_models_highres11087.py	SHH_WT_models_highres19906.py	SHH_WT_models_highres23466.py	SHH_WT_models_highres2200.py	SHH_WT_models_highres12741.py	SHH_WT_models_highres47931.py	SHH_WT_models_highres30712.py	SHH_WT_models_highres8504.py	SHH_WT_models_highres39011.py	SHH_WT_models_highres43463.py	SHH_WT_models_highres15002.py	SHH_WT_models_highres12864.py	SHH_WT_models_highres42203.py	SHH_WT_models_highres5002.py	SHH_WT_models_highres37859.py	SHH_WT_models_highres17943.py	SHH_WT_models_highres30274.py	SHH_WT_models_highres7416.py	SHH_WT_models_highres24273.py	SHH_WT_models_highres1427.py	SHH_WT_models_highres49526.py	SHH_WT_models_highres10707.py	SHH_WT_models_highres33745.py	SHH_WT_models_highres47636.py	SHH_WT_models_highres2349.py	SHH_WT_models_highres27492.py	SHH_WT_models_highres41632.py	SHH_WT_models_highres7736.py	SHH_WT_models_highres49927.py	SHH_WT_models_highres38933.py	SHH_WT_models_highres38046.py	SHH_WT_models_highres49180.py	SHH_WT_models_highres40627.py	SHH_WT_models_highres16260.py	SHH_WT_models_highres3504.py	SHH_WT_models_highres20506.py	SHH_WT_models_highres40730.py	SHH_WT_models_highres23113.py	SHH_WT_models_highres4319.py	SHH_WT_models_highres17007.py	SHH_WT_models_highres47141.py	SHH_WT_models_highres29282.py	SHH_WT_models_highres27213.py	SHH_WT_models_highres1670.py	SHH_WT_models_highres15001.py	SHH_WT_models_highres6063.py	SHH_WT_models_highres37336.py	SHH_WT_models_highres22748.py	SHH_WT_models_highres41537.py	SHH_WT_models_highres14127.py	SHH_WT_models_highres34760.py	SHH_WT_models_highres38036.py	SHH_WT_models_highres15190.py	SHH_WT_models_highres20684.py	SHH_WT_models_highres30575.py	SHH_WT_models_highres45679.py	SHH_WT_models_highres6417.py	SHH_WT_models_highres38114.py	SHH_WT_models_highres27394.py	SHH_WT_models_highres12843.py	SHH_WT_models_highres5327.py	SHH_WT_models_highres6304.py	SHH_WT_models_highres48059.py	SHH_WT_models_highres17001.py	SHH_WT_models_highres41357.py	SHH_WT_models_highres34831.py	SHH_WT_models_highres9547.py	SHH_WT_models_highres8956.py	SHH_WT_models_highres32733.py	SHH_WT_models_highres12385.py	SHH_WT_models_highres1093.py	SHH_WT_models_highres15191.py	SHH_WT_models_highres38493.py	SHH_WT_models_highres9157.py	SHH_WT_models_highres32352.py	SHH_WT_models_highres44329.py	SHH_WT_models_highres34949.py	SHH_WT_models_highres92.py	SHH_WT_models_highres18152.py	SHH_WT_models_highres42121.py	SHH_WT_models_highres26110.py	SHH_WT_models_highres24225.py	SHH_WT_models_highres32152.py	SHH_WT_models_highres30124.py	SHH_WT_models_highres22408.py	SHH_WT_models_highres24510.py	SHH_WT_models_highres37991.py	SHH_WT_models_highres5372.py	SHH_WT_models_highres26145.py	SHH_WT_models_highres19348.py	SHH_WT_models_highres38783.py	SHH_WT_models_highres29979.py	SHH_WT_models_highres42018.py	SHH_WT_models_highres11523.py	SHH_WT_models_highres3231.py	SHH_WT_models_highres21540.py	SHH_WT_models_highres23577.py	SHH_WT_models_highres35265.py	SHH_WT_models_highres47034.py	SHH_WT_models_highres4341.py	SHH_WT_models_highres3582.py	SHH_WT_models_highres18351.py	SHH_WT_models_highres9291.py	SHH_WT_models_highres12921.py	SHH_WT_models_highres8464.py	SHH_WT_models_highres35888.py	SHH_WT_models_highres26312.py	SHH_WT_models_highres4519.py	SHH_WT_models_highres36644.py	SHH_WT_models_highres34615.py	SHH_WT_models_highres12667.py	SHH_WT_models_highres40847.py	SHH_WT_models_highres5566.py	SHH_WT_models_highres6237.py	SHH_WT_models_highres32499.py	SHH_WT_models_highres29850.py	SHH_WT_models_highres10187.py	SHH_WT_models_highres24201.py	SHH_WT_models_highres9675.py	SHH_WT_models_highres34461.py	SHH_WT_models_highres46795.py	SHH_WT_models_highres38476.py	SHH_WT_models_highres38863.py	SHH_WT_models_highres42035.py	SHH_WT_models_highres28239.py	SHH_WT_models_highres40612.py	SHH_WT_models_highres44157.py	SHH_WT_models_highres22341.py	SHH_WT_models_highres1278.py	SHH_WT_models_highres9943.py	SHH_WT_models_highres15028.py	SHH_WT_models_highres29602.py	SHH_WT_models_highres23364.py	SHH_WT_models_highres24271.py	SHH_WT_models_highres16398.py	SHH_WT_models_highres46286.py	SHH_WT_models_highres34081.py	SHH_WT_models_highres39524.py	SHH_WT_models_highres8869.py	SHH_WT_models_highres31237.py	SHH_WT_models_highres13336.py	SHH_WT_models_highres27253.py	SHH_WT_models_highres13173.py	SHH_WT_models_highres29684.py	SHH_WT_models_highres26194.py	SHH_WT_models_highres43177.py	SHH_WT_models_highres7009.py	SHH_WT_models_highres15999.py	SHH_WT_models_highres40714.py	SHH_WT_models_highres22556.py	SHH_WT_models_highres37468.py	SHH_WT_models_highres45161.py	SHH_WT_models_highres18275.py	SHH_WT_models_highres17982.py	SHH_WT_models_highres31883.py	SHH_WT_models_highres33734.py	SHH_WT_models_highres23265.py	SHH_WT_models_highres40816.py	SHH_WT_models_highres4191.py	SHH_WT_models_highres44104.py	SHH_WT_models_highres45383.py	SHH_WT_models_highres42354.py	SHH_WT_models_highres2023.py	SHH_WT_models_highres8601.py	SHH_WT_models_highres42759.py	SHH_WT_models_highres25678.py	SHH_WT_models_highres9303.py	SHH_WT_models_highres1537.py	SHH_WT_models_highres29052.py	SHH_WT_models_highres2418.py	SHH_WT_models_highres49590.py	SHH_WT_models_highres12514.py	SHH_WT_models_highres31225.py	SHH_WT_models_highres15620.py	SHH_WT_models_highres46847.py	SHH_WT_models_highres35901.py	SHH_WT_models_highres18887.py	SHH_WT_models_highres33371.py	
SHH_WT_models_highres1427.py	1651.094	444.848	399.526	1635.544	1603.479	1654.96	243.652	1630.556	1635.381	1649.593	1684.922	1680.82	1672.718	1649.16	1647.623	1681.081	1656.737	457.421	1665.603	1586.255	1669.698	1654.38	1632.583	1657.272	307.932	356.442	424.728	419.006	1658.265	1672.175	456.618	1652.274	328.827	1641.854	1652.894	311.783	1665.201	1670.204	469.216	455.199	444.056	0.0	1628.756	685.314	1593.551	1664.572	1673.583	385.378	1640.174	456.821	1678.46	297.813	392.937	1649.219	405.223	419.277	1677.447	1681.756	300.679	1631.973	1685.279	369.405	1662.936	1669.534	371.792	1694.689	219.374	379.124	1673.297	1632.318	1614.994	1643.965	1670.233	1635.706	376.771	405.628	1674.669	440.835	1653.854	1660.572	356.439	514.103	502.246	1704.41	446.767	1662.18	1701.737	241.28	402.078	1639.89	1656.934	1651.171	1659.05	252.134	473.082	1671.182	487.606	452.067	247.705	1668.431	1614.558	431.619	1607.074	395.863	453.296	245.72	1675.158	1647.494	1655.826	1714.417	313.218	1653.077	1686.057	1645.298	255.086	273.629	637.836	1660.433	1652.397	1630.518	1685.866	497.459	1653.25	1627.098	399.408	308.655	1660.776	631.175	1653.802	193.008	561.577	1646.346	1705.109	328.156	1663.427	1693.265	229.152	377.126	1674.915	1685.974	253.361	341.44	400.402	1607.714	1594.258	1701.73	1655.921	512.965	427.658	1565.468	1699.479	238.081	1632.188	1639.146	414.873	1678.193	306.968	1723.557	1655.78	1678.758	459.591	451.222	1654.033	396.34	1668.501	1640.687	1657.782	337.332	453.405	1655.902	249.741	1725.348	1620.803	378.139	1672.372	1608.528	442.35	1584.14	1664.418	342.331	373.219	340.751	1627.952	1619.449	1676.654	361.797	518.947	1737.646	295.117	1640.607	371.872	1658.852	381.523	1634.478	1728.156	362.631	234.596	1608.842	1737.213	437.517	
SHH_WT_models_highres49526.py	324.792	1702.839	1704.965	434.468	271.001	413.937	1684.482	156.13	176.245	308.244	401.277	250.347	263.746	379.066	404.053	265.231	304.825	1728.686	259.432	425.724	279.056	452.975	246.079	309.128	1702.227	1673.78	1675.212	1712.903	277.321	400.267	1695.139	424.914	1662.802	398.377	417.338	1704.936	445.497	304.017	1717.826	1703.334	1715.581	1628.756	0.0	1756.999	352.623	416.561	465.745	1691.469	278.032	1725.191	290.776	1719.923	1699.51	299.008	1703.275	1673.861	276.682	309.908	1661.932	214.67	351.556	1675.808	397.767	350.506	1632.792	310.718	1663.26	1649.094	394.456	361.991	404.876	458.107	319.737	216.108	1679.696	1678.78	398.528	1696.825	292.958	403.534	1670.181	1699.058	1622.662	406.428	1718.639	387.733	375.593	1696.902	1633.354	325.965	445.453	442.78	432.068	1708.28	1703.084	305.054	1683.428	1727.56	1700.201	406.351	394.603	1706.516	384.205	1693.163	1675.11	1690.664	378.239	343.868	316.329	504.99	1717.316	357.207	341.52	521.682	1657.849	1722.77	1726.33	390.208	447.148	320.917	498.13	1740.928	438.75	373.294	1678.485	1704.269	340.16	1701.042	414.773	1633.252	1736.015	434.217	351.466	1740.029	349.897	458.457	1680.563	1611.76	475.445	337.857	1711.66	1686.67	1688.719	360.491	312.427	559.483	444.545	1659.388	1693.481	356.17	337.525	1703.063	412.669	335.513	1703.021	432.805	1651.864	512.847	417.971	295.487	1734.984	1712.461	395.538	1687.441	437.872	432.195	434.667	1628.186	1711.608	350.441	1677.977	499.295	405.132	1676.442	445.435	315.012	1697.185	466.365	422.322	1701.38	1634.232	1704.008	182.861	416.046	448.091	1722.184	1733.97	502.172	1671.147	407.321	1707.27	411.177	1659.984	442.037	490.334	1707.423	1689.244	271.409	516.832	1681.435	
SHH_WT_models_highres10707.py	1777.236	663.933	684.391	1741.714	1737.802	1761.2	612.174	1762.393	1766.294	1777.158	1766.97	1802.723	1813.672	1769.607	1769.044	1811.223	1784.697	675.787	1793.585	1702.99	1810.122	1737.99	1767.07	1776.142	600.428	586.682	691.558	711.996	1780.737	1744.876	703.906	1747.326	598.842	1752.482	1734.205	588.3	1772.857	1806.732	686.328	685.184	704.586	685.314	1756.999	0.0	1714.149	1766.011	1734.573	507.446	1754.735	697.653	1811.474	642.253	682.85	1784.314	750.656	704.263	1781.683	1817.078	617.774	1757.462	1809.191	577.852	1753.402	1810.391	761.755	1817.622	623.795	590.543	1828.706	1760.392	1732.042	1745.365	1804.056	1774.689	748.212	780.802	1740.132	765.804	1771.265	1740.28	595.419	673.638	692.002	1790.301	734.209	1770.763	1774.376	652.227	604.465	1777.24	1755.417	1726.972	1731.602	630.146	675.868	1804.303	657.491	713.647	660.558	1767.243	1734.503	685.864	1737.35	769.256	730.091	672.48	1828.719	1790.386	1796.761	1821.315	640.08	1801.052	1825.585	1675.956	677.354	646.664	541.025	1748.554	1780.13	1748.226	1785.039	682.937	1780.532	1723.486	735.678	660.557	1797.414	615.198	1728.02	709.787	612.693	1758.09	1801.063	627.907	1802.886	1768.472	705.608	636.75	1724.807	1811.116	669.37	621.526	710.265	1732.983	1727.845	1818.475	1740.954	682.185	725.259	1699.183	1826.459	649.395	1722.491	1782.746	757.358	1799.652	660.337	1800.27	1762.27	1799.984	715.751	761.369	1752.153	769.611	1785.0	1715.708	1783.891	665.815	783.107	1790.352	630.746	1804.546	1761.558	774.583	1762.609	1740.803	741.824	1698.261	1773.023	593.972	756.863	619.547	1765.905	1708.667	1798.281	620.387	666.778	1789.483	660.474	1748.497	613.963	1761.665	753.51	1727.982	1803.14	615.137	684.083	1740.796	1848.161	744.92	
SHH_WT_models_highres33745.py	428.777	1673.283	1676.479	284.981	403.633	283.64	1646.536	359.149	334.825	424.318	510.837	404.64	416.139	257.49	260.316	403.262	429.274	1697.065	400.686	232.026	405.772	306.887	406.924	412.536	1664.514	1626.601	1659.964	1681.966	391.292	242.673	1663.163	308.082	1621.566	298.458	267.766	1670.15	309.12	422.793	1683.509	1662.72	1685.794	1593.551	352.623	1714.149	0.0	258.919	359.171	1638.256	434.485	1704.561	405.592	1679.517	1700.258	413.456	1678.129	1652.619	413.698	454.027	1621.062	347.2	456.028	1633.449	278.555	475.764	1619.35	438.894	1629.573	1605.773	497.614	442.286	270.631	298.494	438.222	360.167	1650.763	1638.091	258.924	1702.742	438.913	257.917	1632.193	1657.307	1592.739	510.328	1696.171	318.265	494.176	1664.293	1584.234	444.771	355.392	290.786	264.686	1672.545	1686.55	446.927	1655.958	1695.441	1665.823	315.852	273.43	1676.708	260.882	1670.146	1647.716	1655.382	503.956	469.694	450.182	435.464	1676.783	441.605	454.303	399.04	1620.878	1690.195	1708.633	277.817	377.906	448.035	399.366	1712.661	360.925	174.358	1648.27	1666.521	469.004	1671.4	249.37	1596.317	1715.428	327.853	466.966	1706.506	473.34	536.623	1648.458	1563.703	341.512	452.445	1676.991	1650.657	1693.819	453.52	401.94	543.609	336.658	1625.379	1680.03	431.774	478.872	1671.777	257.122	462.837	1681.021	343.646	1608.836	424.908	326.8	416.414	1712.58	1715.735	268.185	1656.663	372.079	278.542	335.072	1581.479	1715.649	440.746	1650.024	478.585	256.703	1661.507	335.743	433.765	1655.118	311.037	352.129	1665.106	1620.172	1661.264	350.983	260.251	382.465	1679.534	1694.0	428.543	1634.627	292.699	1666.544	266.317	1633.578	273.168	432.93	1660.09	1655.971	421.908	504.754	1658.779	
SHH_WT_models_highres47636.py	361.596	1758.167	1758.735	209.088	434.374	197.614	1723.27	420.187	372.544	376.887	479.13	361.895	375.553	259.71	208.063	376.304	379.6	1772.92	366.071	317.066	372.935	261.519	448.929	373.191	1745.791	1691.33	1736.375	1759.271	354.197	186.869	1740.324	285.102	1690.558	286.168	174.061	1743.775	247.008	377.29	1761.581	1734.237	1758.552	1664.572	416.561	1766.011	258.919	0.0	311.954	1710.936	468.853	1790.869	390.149	1741.972	1769.57	398.966	1762.788	1731.405	389.833	374.552	1693.687	381.522	392.739	1697.444	259.968	456.089	1695.051	418.08	1706.495	1676.486	456.614	398.74	328.922	250.93	415.387	392.108	1734.351	1718.436	199.528	1763.139	459.887	247.748	1699.365	1727.71	1669.249	426.148	1772.555	293.004	433.819	1744.438	1652.62	427.604	422.832	254.703	199.081	1749.076	1763.013	403.751	1735.409	1769.192	1746.269	314.859	350.061	1761.247	312.808	1754.975	1720.423	1735.553	455.151	444.657	430.026	424.447	1734.87	406.726	377.333	368.324	1690.536	1773.429	1773.401	291.216	373.351	476.936	390.187	1789.492	338.514	275.629	1719.608	1725.861	447.708	1744.948	224.979	1667.873	1793.311	303.781	433.082	1784.238	431.359	480.074	1723.648	1635.03	308.853	403.18	1757.432	1712.298	1764.081	452.481	453.795	539.523	289.819	1688.579	1762.149	486.844	423.699	1753.343	262.653	466.828	1766.426	298.64	1668.834	406.693	335.748	376.572	1794.192	1773.501	277.534	1742.612	310.847	249.641	331.821	1638.344	1771.582	382.98	1723.867	487.501	296.483	1735.104	250.659	481.316	1722.096	309.681	321.599	1740.52	1694.333	1724.705	422.694	249.303	341.965	1742.627	1760.094	426.505	1718.192	299.632	1733.998	281.769	1698.881	220.913	430.087	1713.257	1735.43	457.891	523.044	1741.301	
SHH_WT_models_highres2349.py	400.741	1759.674	1765.329	250.639	468.703	249.621	1727.094	450.084	464.806	390.863	351.34	426.13	427.86	277.451	280.698	446.974	417.705	1754.687	443.296	353.742	440.429	249.03	471.405	452.346	1733.725	1680.003	1738.477	1757.667	429.77	314.387	1743.441	252.818	1681.044	305.104	291.878	1726.197	273.55	435.589	1757.379	1726.843	1756.039	1673.583	465.745	1734.573	359.171	311.954	0.0	1704.111	406.239	1782.417	469.881	1723.639	1761.946	451.291	1772.313	1738.172	435.546	414.455	1699.756	490.397	417.854	1681.627	354.954	461.584	1708.311	484.933	1706.731	1675.352	496.935	430.196	348.161	258.518	497.716	467.515	1746.975	1725.585	293.875	1754.225	405.838	335.519	1687.978	1721.375	1674.327	364.672	1774.672	365.095	393.169	1747.65	1645.324	465.761	473.594	321.678	308.687	1740.071	1778.462	450.404	1730.843	1751.121	1740.33	387.039	370.641	1767.393	368.13	1767.36	1724.714	1735.282	485.507	433.942	443.088	450.366	1715.089	467.888	473.219	296.877	1689.234	1767.549	1774.099	373.554	384.571	432.669	418.212	1775.331	362.48	363.361	1718.567	1713.825	414.465	1749.661	324.345	1676.55	1783.516	331.594	430.97	1764.888	418.503	394.958	1736.291	1638.907	211.064	494.085	1761.624	1696.565	1748.31	508.195	471.17	543.11	148.131	1679.863	1772.895	518.886	444.395	1748.442	336.475	522.817	1776.896	309.156	1661.945	451.783	416.164	457.829	1793.873	1757.995	372.499	1750.043	362.521	344.378	355.915	1632.42	1753.577	433.725	1718.643	532.841	391.313	1753.136	237.947	513.598	1720.665	341.886	291.339	1737.632	1706.777	1720.604	496.97	280.023	354.554	1725.779	1741.711	440.696	1714.734	332.897	1726.235	338.945	1705.356	362.667	480.603	1694.512	1740.208	462.026	566.815	1752.888	
SHH_WT_models_highres27492.py	1714.107	331.286	365.041	1678.542	1664.073	1703.082	262.001	1696.899	1698.046	1715.529	1739.597	1752.27	1750.824	1705.418	1702.236	1758.118	1723.628	369.6	1738.562	1627.462	1748.135	1691.634	1703.102	1719.292	259.18	235.834	451.771	418.356	1726.682	1706.864	387.335	1694.888	260.072	1698.174	1689.135	257.303	1714.427	1740.706	375.353	367.309	401.973	385.378	1691.469	507.446	1638.256	1710.936	1704.111	0.0	1701.089	389.769	1755.031	335.885	421.516	1722.185	462.991	392.789	1738.159	1757.763	280.014	1690.174	1754.033	235.97	1710.157	1752.199	472.538	1769.745	294.726	249.383	1765.044	1695.785	1661.818	1686.192	1748.973	1705.701	460.598	516.531	1709.239	539.796	1718.187	1695.718	269.296	371.169	458.644	1758.392	447.674	1718.343	1757.054	342.319	270.512	1708.783	1683.033	1682.92	1690.798	322.811	476.555	1744.015	424.564	422.824	365.336	1725.885	1663.106	407.214	1663.958	493.288	436.017	382.187	1763.93	1726.722	1729.107	1760.395	339.0	1738.061	1764.693	1663.111	385.986	340.831	572.589	1704.133	1714.691	1693.243	1718.911	437.15	1715.633	1662.991	451.091	372.967	1737.093	535.591	1684.948	424.036	407.884	1703.149	1773.023	310.577	1741.466	1743.788	429.148	338.417	1701.288	1761.152	375.32	310.548	459.706	1658.777	1657.996	1750.423	1693.085	464.078	429.319	1619.348	1777.537	351.301	1666.461	1719.481	477.228	1738.335	371.033	1756.316	1710.735	1747.481	413.84	535.902	1702.408	496.574	1728.64	1670.805	1717.58	384.117	563.831	1727.292	332.673	1760.76	1681.342	491.602	1712.645	1674.415	461.794	1628.361	1715.411	270.35	480.371	310.875	1693.939	1651.042	1739.585	303.212	369.712	1760.658	347.661	1689.208	297.245	1706.938	494.636	1671.844	1763.876	301.544	396.401	1672.203	1786.239	447.741	
SHH_WT_models_highres41632.py	349.807	1708.312	1707.559	463.803	292.517	445.467	1694.281	288.396	316.545	330.379	322.028	363.857	332.217	444.473	414.768	378.228	305.379	1733.152	374.578	469.86	376.136	455.26	244.84	422.011	1717.118	1678.848	1669.432	1716.404	339.243	473.383	1699.056	425.91	1672.254	448.686	489.806	1716.388	468.661	370.002	1722.958	1706.621	1718.86	1640.174	278.032	1754.735	434.485	468.853	406.239	1701.089	0.0	1728.382	396.049	1726.673	1708.973	366.769	1709.497	1681.149	382.254	324.177	1681.48	347.492	325.778	1683.18	480.983	351.064	1635.343	368.128	1678.061	1658.145	392.631	369.17	401.226	468.036	431.452	297.271	1688.577	1685.341	478.467	1700.52	190.954	483.2	1678.467	1700.709	1622.499	318.101	1725.502	457.131	314.649	1708.561	1638.96	323.667	487.828	522.289	513.071	1721.98	1708.226	280.966	1682.824	1731.428	1715.148	481.078	409.299	1712.332	420.464	1700.21	1677.947	1706.051	386.474	297.009	306.219	500.9	1721.873	352.389	352.75	517.067	1668.193	1730.781	1716.235	475.161	448.987	161.916	501.605	1735.841	438.838	468.218	1680.97	1708.892	264.886	1709.677	500.096	1642.904	1725.229	451.756	331.186	1748.657	304.954	359.828	1694.991	1628.455	450.661	405.45	1723.565	1690.012	1701.941	366.062	364.079	548.716	394.294	1654.722	1698.0	420.635	358.113	1713.987	481.026	436.981	1708.121	452.875	1652.316	542.197	473.517	361.769	1738.016	1718.265	485.641	1694.945	459.924	524.828	451.487	1629.328	1717.511	326.469	1695.616	549.039	447.215	1677.715	454.167	295.695	1700.245	507.838	400.151	1714.62	1639.053	1711.013	341.994	475.64	448.718	1723.983	1732.607	510.473	1687.983	431.705	1715.041	477.353	1663.1	536.56	540.168	1709.349	1701.837	241.273	563.953	1686.783	
SHH_WT_models_highres7736.py	1753.988	211.923	222.953	1748.853	1691.268	1768.919	414.093	1726.316	1734.579	1752.436	1787.245	1778.077	1761.935	1761.747	1762.367	1772.398	1758.883	194.827	1772.587	1684.829	1763.185	1764.753	1716.51	1771.914	364.752	412.388	322.859	310.372	1772.837	1779.047	249.537	1765.056	407.902	1757.708	1769.62	380.194	1779.869	1755.181	232.662	282.272	300.711	456.821	1725.191	697.653	1704.561	1790.869	1782.417	389.769	1728.382	0.0	1783.863	373.665	473.149	1755.048	299.364	238.221	1788.432	1765.865	430.529	1741.71	1777.832	412.7	1775.79	1757.177	368.652	1786.516	397.007	441.374	1768.871	1741.73	1718.496	1755.538	1788.127	1736.303	330.036	384.076	1789.376	530.827	1740.594	1771.682	425.173	323.111	412.577	1801.961	323.605	1776.975	1782.427	406.1	450.643	1736.029	1708.946	1758.86	1772.095	401.437	385.11	1754.707	323.426	250.349	418.339	1784.672	1718.835	263.851	1714.251	324.999	330.719	429.758	1771.912	1749.515	1746.099	1785.499	401.068	1755.492	1763.328	1747.377	434.871	378.869	562.592	1772.0	1756.312	1721.072	1752.54	281.296	1764.171	1730.087	313.048	443.88	1758.965	487.858	1761.765	471.203	366.133	1760.172	1780.502	354.268	1760.67	1797.845	483.941	494.063	1780.2	1783.154	426.912	416.277	472.109	1708.917	1696.526	1756.664	1768.005	401.226	245.96	1651.81	1770.703	395.324	1744.961	1763.448	316.405	1784.188	467.515	1788.811	1769.491	1790.891	265.844	529.526	1770.437	354.163	1778.333	1754.737	1762.803	502.659	513.509	1758.175	430.897	1789.948	1726.12	382.924	1783.474	1694.162	372.55	1699.775	1772.919	431.389	338.97	424.651	1732.251	1732.432	1786.414	410.722	296.501	1795.347	388.26	1750.704	419.258	1777.308	364.461	1752.672	1798.733	413.688	440.175	1703.618	1798.253	318.785	
SHH_WT_models_highres49927.py	314.349	1772.111	1765.536	422.6	421.234	430.003	1748.15	268.197	276.536	310.094	402.828	200.257	243.102	384.864	411.143	120.531	311.556	1783.721	163.582	507.401	187.12	449.314	378.274	229.901	1762.501	1734.187	1742.67	1760.98	213.935	348.506	1756.537	458.894	1720.496	366.673	389.445	1765.124	426.498	306.426	1781.65	1773.656	1764.897	1678.46	290.776	1811.474	405.592	390.149	469.881	1755.031	396.049	1783.863	0.0	1766.138	1756.014	217.155	1762.367	1739.222	185.107	327.354	1719.957	291.671	310.932	1733.258	316.266	322.121	1699.013	202.725	1721.469	1709.713	307.777	354.262	486.697	478.677	194.045	249.238	1740.862	1728.606	358.672	1741.617	374.437	341.683	1726.477	1768.242	1688.325	378.036	1764.934	365.219	359.634	1753.494	1698.335	360.265	507.382	401.306	395.792	1760.228	1764.553	361.036	1754.099	1776.441	1752.812	316.448	484.56	1774.366	462.667	1752.445	1739.903	1739.278	337.177	328.813	327.298	510.088	1763.865	276.533	323.918	523.791	1710.563	1781.168	1789.075	310.409	428.762	428.693	531.71	1787.428	428.555	406.914	1742.781	1746.913	335.654	1765.873	367.89	1679.148	1799.348	409.455	260.467	1801.884	317.063	444.835	1727.682	1671.631	448.72	252.915	1766.084	1740.294	1744.181	498.264	362.196	550.901	450.915	1727.473	1755.874	443.402	315.221	1757.542	377.557	255.731	1762.568	420.711	1705.222	487.61	343.015	232.502	1785.772	1756.068	298.067	1745.781	424.68	367.717	424.937	1680.991	1748.599	347.067	1728.417	477.129	472.272	1735.249	426.619	408.77	1756.863	507.852	418.371	1765.412	1698.984	1753.812	288.383	421.224	428.178	1779.72	1796.277	488.27	1725.878	363.448	1765.686	372.578	1721.838	399.618	459.189	1753.281	1738.098	390.241	512.492	1746.572	
SHH_WT_models_highres38933.py	1738.328	402.404	358.219	1711.666	1688.573	1730.487	262.507	1721.975	1726.27	1738.157	1760.857	1769.79	1767.576	1735.051	1731.115	1770.478	1744.407	332.794	1750.777	1663.346	1764.539	1716.596	1725.922	1749.651	292.91	257.366	467.307	310.119	1742.123	1717.121	364.466	1720.816	247.85	1704.698	1716.725	260.563	1743.145	1756.936	376.655	368.039	334.619	297.813	1719.923	642.253	1679.517	1741.972	1723.639	335.885	1726.673	373.665	1766.138	0.0	370.296	1734.063	384.255	379.221	1754.28	1776.112	297.44	1724.603	1772.615	257.178	1714.892	1761.425	456.693	1774.533	252.061	316.258	1756.061	1720.682	1693.701	1715.833	1746.305	1726.177	376.446	374.55	1722.044	377.068	1739.236	1717.989	255.05	403.25	548.558	1771.424	336.52	1723.248	1764.228	246.042	342.355	1730.811	1721.844	1709.369	1716.664	218.34	488.826	1766.072	493.978	322.264	236.709	1717.5	1695.814	390.747	1687.298	407.837	413.256	240.713	1764.18	1736.737	1745.89	1780.657	128.461	1742.111	1784.19	1687.173	276.697	269.518	636.018	1708.6	1718.855	1720.105	1747.279	397.624	1721.666	1698.828	360.152	159.017	1750.488	574.368	1707.661	359.962	514.123	1703.862	1766.924	235.538	1753.338	1761.561	281.864	418.671	1716.675	1766.175	255.114	194.647	394.431	1688.931	1682.475	1753.153	1715.075	497.932	400.461	1643.268	1790.083	259.897	1700.563	1719.195	410.05	1750.267	323.494	1772.472	1708.963	1763.229	381.322	368.802	1715.016	399.416	1731.056	1704.185	1733.439	367.09	370.692	1746.432	243.433	1753.274	1708.094	423.873	1731.336	1691.748	336.659	1659.136	1724.558	315.942	453.731	208.291	1722.791	1686.558	1742.169	216.401	398.034	1764.089	315.566	1700.012	247.871	1730.679	389.714	1713.218	1763.887	204.817	276.921	1690.428	1791.73	448.382	
