	SHH_WT_models_highres25781.py	SHH_WT_models_highres38863.py	SHH_WT_models_highres38476.py	SHH_WT_models_highres22341.py	SHH_WT_models_highres6304.py	SHH_WT_models_highres41357.py	SHH_WT_models_highres24080.py	SHH_WT_models_highres6237.py	SHH_WT_models_highres45383.py	SHH_WT_models_highres49960.py	SHH_WT_models_highres23113.py	SHH_WT_models_highres38036.py	SHH_WT_models_highres11881.py	SHH_WT_models_highres49526.py	SHH_WT_models_highres8956.py	SHH_WT_models_highres6417.py	SHH_WT_models_highres41632.py	SHH_WT_models_highres35265.py	SHH_WT_models_highres11087.py	SHH_WT_models_highres17982.py	SHH_WT_models_highres35901.py	SHH_WT_models_highres17943.py	SHH_WT_models_highres22748.py	SHH_WT_models_highres35879.py	SHH_WT_models_highres31596.py	SHH_WT_models_highres11966.py	SHH_WT_models_highres1278.py	SHH_WT_models_highres29282.py	SHH_WT_models_highres37336.py	SHH_WT_models_highres22408.py	SHH_WT_models_highres9157.py	SHH_WT_models_highres20506.py	SHH_WT_models_highres4319.py	SHH_WT_models_highres15999.py	SHH_WT_models_highres19348.py	SHH_WT_models_highres37991.py	SHH_WT_models_highres8464.py	SHH_WT_models_highres24510.py	SHH_WT_models_highres5566.py	SHH_WT_models_highres29602.py	SHH_WT_models_highres38783.py	SHH_WT_models_highres12667.py	SHH_WT_models_highres34760.py	SHH_WT_models_highres1670.py	SHH_WT_models_highres24201.py	SHH_WT_models_highres19906.py	SHH_WT_models_highres3504.py	SHH_WT_models_highres49057.py	SHH_WT_models_highres39524.py	SHH_WT_models_highres49180.py	SHH_WT_models_highres49927.py	SHH_WT_models_highres31879.py	SHH_WT_models_highres34517.py	SHH_WT_models_highres10104.py	SHH_WT_models_highres23829.py	SHH_WT_models_highres30712.py	SHH_WT_models_highres42035.py	SHH_WT_models_highres22556.py	SHH_WT_models_highres18887.py	SHH_WT_models_highres5372.py	SHH_WT_models_highres31225.py	SHH_WT_models_highres46286.py	SHH_WT_models_highres25678.py	SHH_WT_models_highres32733.py	SHH_WT_models_highres47034.py	SHH_WT_models_highres8504.py	SHH_WT_models_highres47141.py	SHH_WT_models_highres21540.py	SHH_WT_models_highres13336.py	SHH_WT_models_highres1537.py	SHH_WT_models_highres17001.py	SHH_WT_models_highres92.py	SHH_WT_models_highres34081.py	SHH_WT_models_highres24271.py	SHH_WT_models_highres23265.py	SHH_WT_models_highres26194.py	SHH_WT_models_highres13173.py	SHH_WT_models_highres2023.py	SHH_WT_models_highres23577.py	SHH_WT_models_highres3582.py	SHH_WT_models_highres12864.py	SHH_WT_models_highres34615.py	SHH_WT_models_highres22983.py	SHH_WT_models_highres47636.py	SHH_WT_models_highres23072.py	SHH_WT_models_highres37859.py	SHH_WT_models_highres34599.py	SHH_WT_models_highres42525.py	SHH_WT_models_highres14127.py	SHH_WT_models_highres5395.py	SHH_WT_models_highres43463.py	SHH_WT_models_highres10187.py	SHH_WT_models_highres18275.py	SHH_WT_models_highres2349.py	SHH_WT_models_highres28239.py	SHH_WT_models_highres12514.py	SHH_WT_models_highres12385.py	SHH_WT_models_highres29684.py	SHH_WT_models_highres15028.py	SHH_WT_models_highres30575.py	SHH_WT_models_highres26312.py	SHH_WT_models_highres42203.py	SHH_WT_models_highres1093.py	SHH_WT_models_highres38114.py	SHH_WT_models_highres2418.py	SHH_WT_models_highres42354.py	SHH_WT_models_highres33745.py	SHH_WT_models_highres18351.py	SHH_WT_models_highres29979.py	SHH_WT_models_highres12150.py	SHH_WT_models_highres33734.py	SHH_WT_models_highres26110.py	SHH_WT_models_highres37468.py	SHH_WT_models_highres41537.py	SHH_WT_models_highres18152.py	
SHH_WT_models_highres23113.py	280.723	1763.757	1767.223	427.102	384.421	440.743	1744.507	357.068	386.21	292.577	0.0	341.125	387.738	438.148	458.31	380.78	342.631	1785.953	388.095	510.35	398.777	418.864	415.839	336.721	1757.781	1714.081	1721.325	1776.399	361.55	485.541	1754.318	411.435	1708.39	460.889	460.77	1754.207	443.897	372.251	1777.371	1755.021	1777.717	1684.922	401.277	1766.97	510.837	479.13	351.34	1739.597	322.028	1787.245	402.828	1760.857	1744.425	398.589	1769.827	1739.443	333.115	362.627	1718.602	411.351	329.598	1713.001	502.805	429.153	1694.841	429.852	1725.433	1700.733	466.409	328.088	499.815	454.129	483.237	424.955	1749.479	1748.018	453.989	1732.645	323.72	470.723	1712.264	1747.548	1666.413	214.876	1785.769	520.243	249.613	1761.979	1675.572	383.035	570.614	473.042	474.959	1766.867	1766.892	391.609	1730.032	1785.858	1762.794	524.668	524.4	1768.027	532.678	1763.797	1733.141	1752.721	458.233	402.287	378.391	555.626	1753.377	413.614	413.785	456.47	1705.904	
SHH_WT_models_highres38036.py	237.355	1767.302	1762.828	380.223	357.742	364.248	1745.762	224.622	252.605	247.783	341.125	0.0	175.051	339.472	396.32	148.74	253.945	1780.201	121.508	480.309	166.661	411.291	339.182	180.938	1764.951	1729.159	1737.332	1763.345	155.836	351.196	1752.78	412.819	1719.741	362.7	343.481	1764.217	394.23	261.832	1780.503	1764.497	1764.128	1680.82	250.347	1802.723	404.64	361.895	426.13	1752.27	363.857	1778.077	200.257	1769.79	1753.212	207.065	1762.327	1734.994	140.847	250.952	1722.322	270.389	295.544	1729.598	356.556	318.798	1693.964	273.778	1724.336	1710.387	344.56	288.959	481.418	418.126	277.801	280.301	1741.853	1737.808	317.244	1745.679	369.965	359.816	1725.699	1762.907	1687.317	338.173	1767.654	358.621	318.67	1760.926	1690.913	353.98	491.025	376.968	354.417	1766.892	1757.794	297.64	1751.417	1777.275	1757.818	367.925	478.454	1771.728	431.946	1753.966	1738.09	1747.594	342.492	339.177	338.648	503.866	1764.95	318.294	292.21	489.081	1710.378	
SHH_WT_models_highres11881.py	280.411	1754.231	1745.78	396.562	375.107	365.912	1737.091	265.326	296.541	253.747	387.738	175.051	0.0	347.487	364.614	203.391	231.604	1770.262	172.506	486.103	155.332	418.288	261.621	309.377	1764.022	1727.035	1723.084	1748.868	200.982	372.123	1740.478	418.749	1715.685	340.821	391.055	1761.142	397.589	255.62	1768.176	1753.666	1751.898	1672.718	263.746	1813.672	416.139	375.553	427.86	1750.824	332.217	1761.935	243.102	1767.576	1755.064	221.392	1742.862	1721.494	267.137	189.163	1720.428	338.884	271.145	1730.499	361.123	199.752	1679.063	278.178	1718.359	1703.763	251.452	324.539	465.262	416.203	256.308	267.317	1725.905	1719.343	361.518	1748.214	333.359	408.235	1721.594	1752.665	1679.659	368.806	1752.934	323.028	360.65	1752.576	1688.816	348.29	493.122	439.57	410.03	1765.346	1741.295	225.681	1741.72	1765.926	1750.941	347.495	436.89	1755.839	376.488	1735.576	1724.418	1743.87	235.287	250.188	294.74	466.207	1761.507	249.671	285.944	500.895	1698.545	
SHH_WT_models_highres49526.py	372.687	1739.211	1740.746	190.797	439.412	188.808	1709.298	351.861	401.691	354.763	438.148	339.472	347.487	0.0	218.143	361.868	387.884	1753.211	360.368	281.766	349.164	241.424	406.219	372.215	1728.148	1685.901	1714.619	1739.985	369.124	230.993	1725.442	248.16	1677.782	192.81	186.507	1726.676	203.128	384.632	1742.244	1721.82	1745.265	1649.16	379.066	1769.607	257.49	259.71	277.451	1705.418	444.473	1761.747	384.864	1735.051	1760.872	363.836	1737.738	1706.753	373.155	400.519	1689.637	434.693	418.434	1690.495	244.726	389.777	1673.173	414.827	1692.103	1667.793	442.672	395.829	335.673	213.029	418.001	408.757	1711.215	1697.88	201.779	1758.248	453.757	254.221	1688.579	1717.038	1656.744	465.801	1749.934	274.187	477.437	1729.615	1644.742	453.534	404.417	233.448	216.4	1738.314	1743.798	418.656	1719.367	1748.137	1726.606	272.709	319.716	1742.369	293.886	1727.53	1705.387	1720.059	438.446	420.786	426.99	408.217	1727.011	418.837	428.571	352.449	1668.726	
SHH_WT_models_highres8956.py	356.102	1738.251	1737.572	191.366	402.211	174.957	1707.216	394.994	393.83	343.219	458.31	396.32	364.614	218.143	0.0	401.786	354.639	1747.865	398.369	265.507	388.212	223.584	377.945	426.925	1731.182	1679.514	1713.177	1732.615	382.022	248.246	1717.268	203.008	1673.222	242.55	254.05	1728.383	215.069	380.698	1733.853	1714.032	1733.971	1647.623	404.053	1769.044	260.316	208.063	280.698	1702.236	414.768	1762.367	411.143	1731.115	1760.125	395.896	1740.761	1703.7	436.181	356.847	1686.166	428.106	365.522	1686.212	269.481	389.241	1671.981	419.214	1692.106	1658.663	418.981	377.237	257.929	206.685	431.585	404.884	1712.47	1696.888	276.724	1752.477	418.522	300.812	1683.56	1704.476	1650.594	430.163	1744.277	289.345	460.141	1727.284	1639.87	393.008	400.072	311.06	293.849	1738.934	1741.905	373.028	1715.699	1741.516	1731.646	302.449	266.372	1742.127	242.583	1730.766	1694.143	1723.064	406.688	381.708	387.628	368.23	1721.774	357.226	386.072	371.963	1667.443	
SHH_WT_models_highres6417.py	285.348	1766.334	1757.802	398.324	388.163	392.806	1747.906	242.18	260.742	280.143	380.78	148.74	203.391	361.868	401.786	0.0	283.344	1773.011	105.16	494.059	147.214	418.06	361.61	224.23	1764.65	1736.283	1735.287	1752.015	184.539	334.791	1749.307	430.105	1725.172	341.45	373.541	1769.183	406.641	269.914	1776.997	1764.467	1756.289	1681.081	265.231	1811.223	403.262	376.304	446.974	1758.118	378.228	1772.398	120.531	1770.478	1760.498	183.843	1755.237	1732.651	175.681	282.864	1722.472	281.435	292.882	1735.896	317.056	309.614	1693.046	215.87	1724.503	1714.195	293.252	338.413	469.644	453.501	194.613	249.177	1737.272	1729.319	342.226	1749.846	357.344	344.313	1731.186	1765.133	1690.551	357.446	1757.028	329.899	328.484	1757.435	1698.878	338.277	497.928	388.845	381.615	1764.797	1754.179	333.15	1751.617	1767.312	1757.828	315.938	466.819	1767.836	429.528	1746.836	1736.498	1744.513	323.961	308.274	310.26	499.545	1767.423	286.106	302.818	508.056	1711.289	
SHH_WT_models_highres41632.py	189.08	1737.614	1737.764	369.463	320.731	369.569	1715.177	276.785	305.682	182.093	342.631	253.945	231.604	387.884	354.639	283.344	0.0	1761.6	272.591	467.732	288.545	385.85	262.593	317.638	1740.347	1693.919	1708.551	1744.266	201.879	401.953	1726.103	370.421	1689.966	377.746	400.859	1736.269	395.263	309.488	1748.246	1728.901	1744.837	1656.737	304.825	1784.697	429.274	379.6	417.705	1723.628	305.379	1758.883	311.556	1744.407	1724.325	254.926	1738.158	1706.362	305.003	221.343	1702.666	317.988	185.25	1700.589	419.2	276.969	1663.211	304.825	1698.847	1677.049	337.17	204.652	447.759	392.676	361.556	325.693	1717.443	1713.928	388.178	1715.42	347.931	424.482	1695.485	1723.616	1650.542	323.734	1750.438	406.307	339.936	1733.246	1657.711	286.793	480.144	440.134	425.593	1745.548	1732.224	224.128	1716.332	1759.155	1737.089	434.305	431.638	1745.782	413.724	1729.892	1700.174	1729.395	302.437	268.149	284.091	462.162	1734.821	279.887	263.364	494.02	1682.393	
SHH_WT_models_highres35265.py	1752.625	224.025	234.245	1730.914	1690.895	1750.582	389.188	1732.007	1736.989	1752.901	1785.953	1780.201	1770.262	1753.211	1747.865	1773.011	1761.6	0.0	1774.228	1672.46	1767.545	1740.01	1723.653	1771.793	391.911	352.537	354.689	217.436	1776.931	1755.756	199.982	1743.046	354.677	1737.982	1747.539	374.343	1762.285	1763.055	148.36	183.264	181.791	457.421	1728.686	675.787	1697.065	1772.92	1754.687	369.6	1733.152	194.827	1783.721	332.794	478.898	1760.52	329.458	222.837	1781.494	1777.723	428.271	1742.449	1787.328	355.111	1755.464	1767.441	381.007	1784.76	404.736	393.877	1779.945	1736.111	1706.713	1732.591	1790.485	1741.563	348.786	369.559	1763.907	495.624	1746.919	1756.021	374.108	196.954	426.882	1802.342	242.397	1762.897	1780.647	420.311	403.78	1739.232	1697.135	1738.05	1749.62	404.513	382.708	1767.37	343.628	133.403	419.738	1765.595	1705.668	285.202	1702.98	366.643	277.495	438.74	1783.288	1755.704	1754.901	1764.117	327.194	1759.221	1773.119	1717.403	415.267	
SHH_WT_models_highres11087.py	285.175	1760.377	1755.055	395.319	388.153	376.784	1731.852	238.149	265.918	281.564	388.095	121.508	172.506	360.368	398.369	105.16	272.591	1774.228	0.0	494.803	123.022	424.013	354.69	232.738	1748.403	1714.822	1728.819	1753.233	159.034	334.586	1746.062	426.623	1705.842	345.313	367.571	1749.644	402.847	282.415	1771.638	1757.758	1757.848	1665.603	259.432	1793.585	400.686	366.071	443.296	1738.562	374.578	1772.587	163.582	1750.777	1741.573	187.528	1753.026	1727.112	178.822	258.8	1706.248	278.033	291.869	1714.681	320.956	306.701	1686.979	225.901	1706.92	1695.495	303.752	326.571	465.911	446.369	199.43	245.868	1731.789	1722.678	332.885	1732.95	371.867	345.206	1711.787	1755.482	1678.019	366.396	1757.897	306.843	327.938	1743.35	1678.135	335.858	495.526	385.551	374.704	1748.12	1752.231	317.594	1739.553	1769.29	1741.802	324.371	463.496	1763.843	418.405	1743.625	1729.551	1730.296	308.659	305.076	318.955	504.214	1747.022	302.564	279.147	506.308	1697.263	
SHH_WT_models_highres17982.py	434.728	1660.658	1666.72	272.85	392.862	262.994	1639.105	414.711	403.289	433.399	510.35	480.309	486.103	281.766	265.507	494.059	467.732	1672.46	494.803	0.0	476.942	292.359	439.893	478.947	1655.968	1608.696	1645.428	1665.091	487.771	340.655	1642.142	272.465	1605.331	342.524	310.619	1659.847	293.652	428.313	1662.18	1635.743	1665.952	1586.255	425.724	1702.99	232.026	317.066	353.742	1627.462	469.86	1684.829	507.401	1663.346	1696.494	486.752	1666.864	1632.668	499.851	482.848	1608.237	442.45	492.59	1616.668	384.945	516.727	1610.999	524.612	1620.924	1591.891	554.515	443.521	242.702	253.963	538.484	453.379	1641.284	1635.186	349.628	1699.009	461.275	346.35	1615.929	1629.854	1585.138	517.937	1678.403	408.838	542.521	1660.198	1565.795	474.835	394.706	346.27	335.48	1669.517	1677.177	503.92	1644.32	1669.613	1663.18	426.926	269.38	1663.215	262.648	1662.351	1628.635	1654.122	549.273	514.298	489.525	449.269	1659.17	499.008	513.98	378.731	1602.898	
SHH_WT_models_highres35901.py	295.209	1754.228	1746.14	394.666	390.54	370.259	1735.873	255.177	281.699	281.427	398.777	166.661	155.332	349.164	388.212	147.214	288.545	1767.545	123.022	476.942	0.0	418.506	339.112	275.434	1758.715	1726.643	1722.762	1745.105	202.306	352.676	1738.398	430.838	1714.319	342.834	378.827	1761.392	378.653	244.115	1765.261	1752.081	1749.692	1669.698	279.056	1810.122	405.772	372.935	440.429	1748.135	376.136	1763.185	187.12	1764.539	1754.604	197.28	1743.355	1720.068	232.885	247.555	1713.481	322.028	291.31	1729.075	336.204	254.919	1680.707	250.146	1714.413	1702.714	266.916	324.954	457.564	432.017	225.353	236.09	1724.305	1718.248	353.077	1750.448	359.382	365.324	1720.549	1751.909	1679.22	377.864	1747.087	313.855	363.909	1749.493	1687.677	359.823	499.199	410.84	392.901	1760.621	1741.832	330.769	1740.935	1763.125	1748.293	329.817	444.383	1755.966	391.322	1734.922	1723.981	1738.335	287.196	297.219	334.537	494.623	1762.442	272.826	298.949	501.774	1695.599	
SHH_WT_models_highres17943.py	358.667	1735.145	1741.809	158.871	437.788	178.481	1705.401	428.717	432.685	348.687	418.864	411.291	418.288	241.424	223.584	418.06	385.85	1740.01	424.013	292.359	418.506	0.0	450.456	424.154	1721.641	1665.591	1715.18	1736.54	400.556	253.724	1717.332	171.527	1668.23	247.929	241.804	1719.337	187.934	396.528	1735.995	1703.05	1733.257	1654.38	452.975	1737.99	306.887	261.519	249.03	1691.634	455.26	1764.753	449.314	1716.596	1752.464	413.543	1743.817	1717.363	430.744	404.804	1680.8	456.616	370.973	1670.787	312.38	441.978	1677.931	471.331	1691.328	1658.383	468.096	389.924	295.543	182.868	485.34	453.146	1721.089	1702.993	263.281	1745.21	444.751	292.64	1675.811	1700.899	1654.675	421.213	1752.079	330.779	441.484	1730.851	1627.488	423.9	428.718	261.825	263.866	1729.749	1748.497	417.385	1712.199	1734.981	1727.576	359.629	302.558	1737.511	310.877	1739.85	1693.882	1718.409	478.347	442.979	432.406	395.108	1707.927	423.753	453.749	341.656	1667.818	
SHH_WT_models_highres22748.py	331.093	1698.742	1695.808	448.213	282.192	424.855	1688.835	263.778	297.453	295.27	415.839	339.182	261.621	406.219	377.945	361.61	262.593	1723.653	354.69	439.893	339.112	450.456	0.0	413.965	1715.654	1685.006	1667.875	1703.653	327.29	462.643	1691.493	421.342	1675.519	421.76	476.703	1715.786	443.525	345.053	1714.276	1699.943	1707.603	1632.583	246.079	1767.07	406.924	448.929	471.405	1703.102	244.84	1716.51	378.274	1725.922	1711.468	354.563	1694.17	1669.695	397.353	287.701	1680.334	339.65	312.507	1692.783	463.026	267.339	1621.279	372.139	1674.86	1660.47	358.25	344.632	413.232	435.007	406.622	300.07	1673.491	1673.535	456.124	1708.675	294.3	489.311	1682.79	1696.153	1623.428	429.563	1710.531	436.838	426.915	1702.75	1647.911	337.504	474.123	518.65	497.759	1719.203	1692.794	230.71	1684.789	1721.755	1706.987	458.599	370.964	1703.616	365.065	1683.901	1667.847	1700.477	326.036	301.429	314.364	459.658	1722.297	299.553	334.608	542.145	1659.283	
SHH_WT_models_highres35879.py	225.643	1743.627	1749.254	377.391	377.557	406.914	1718.081	268.615	266.878	263.166	336.721	180.938	309.377	372.215	426.925	224.23	317.638	1771.793	232.738	478.947	275.434	424.154	413.965	0.0	1731.933	1700.852	1718.465	1758.224	237.821	379.99	1733.352	432.857	1690.878	412.557	347.934	1735.083	406.389	307.095	1757.7	1741.51	1757.944	1657.272	309.128	1776.142	412.536	373.191	452.346	1719.292	422.011	1771.914	229.901	1749.651	1722.306	284.356	1749.492	1719.231	149.935	349.664	1688.833	262.476	332.432	1700.009	387.691	411.776	1676.863	325.639	1698.768	1678.483	432.71	288.809	502.068	446.671	353.575	336.224	1727.205	1724.697	349.616	1718.311	414.647	346.744	1696.15	1734.08	1654.912	342.609	1764.017	440.084	343.377	1734.365	1659.215	363.758	515.12	357.316	356.335	1741.683	1745.064	380.598	1723.644	1772.231	1736.35	424.21	512.377	1752.252	506.328	1742.001	1715.074	1723.096	436.315	418.223	372.499	546.584	1745.987	374.719	343.56	486.467	1684.697	
SHH_WT_models_highres31596.py	1731.512	347.206	380.108	1707.478	1678.462	1733.073	207.512	1704.152	1712.553	1731.067	1757.781	1764.951	1764.022	1728.148	1731.182	1764.65	1740.347	391.911	1748.403	1655.968	1758.715	1721.641	1715.654	1731.933	0.0	272.749	440.619	446.014	1740.521	1734.218	401.872	1722.208	253.067	1720.104	1720.145	175.368	1744.141	1754.771	405.775	414.912	430.877	307.932	1702.227	600.428	1664.514	1745.791	1733.725	259.18	1717.118	364.752	1762.501	292.91	354.058	1730.025	405.827	394.9	1749.194	1773.464	227.955	1704.768	1771.636	244.284	1732.876	1761.049	447.655	1776.803	212.763	281.415	1775.101	1714.024	1687.697	1720.801	1756.882	1718.724	428.379	492.012	1736.141	484.244	1734.368	1719.71	267.565	452.26	501.59	1778.643	452.415	1740.69	1772.98	229.477	302.796	1719.535	1720.698	1709.394	1720.977	234.179	448.483	1761.15	426.526	425.614	288.05	1745.559	1689.015	397.076	1689.084	432.596	468.322	284.781	1775.209	1736.858	1739.096	1798.931	312.904	1750.674	1776.266	1696.75	334.483	
SHH_WT_models_highres11966.py	1687.369	368.543	392.073	1656.285	1643.307	1678.41	216.418	1677.305	1680.397	1687.886	1714.081	1729.159	1727.035	1685.901	1679.514	1736.283	1693.919	352.537	1714.822	1608.696	1726.643	1665.591	1685.006	1700.852	272.749	0.0	491.435	382.893	1701.683	1686.882	359.252	1668.502	146.349	1671.341	1668.928	230.759	1690.678	1717.597	350.357	317.269	359.022	356.442	1673.78	586.682	1626.601	1691.33	1680.003	235.834	1678.848	412.388	1734.187	257.366	370.701	1696.701	474.559	378.277	1717.319	1732.982	279.225	1673.755	1725.437	109.536	1689.926	1728.647	477.825	1744.135	275.502	166.525	1734.366	1668.495	1641.388	1661.093	1722.746	1686.053	466.308	508.536	1689.879	470.43	1697.141	1677.699	152.984	327.03	476.905	1729.412	396.658	1694.345	1730.035	324.621	157.555	1683.349	1671.052	1663.59	1673.529	327.987	481.658	1717.134	471.503	381.106	348.148	1703.649	1640.069	443.053	1642.676	509.827	375.225	363.607	1733.589	1699.87	1704.275	1740.005	233.026	1712.649	1742.401	1637.98	326.269	
SHH_WT_models_highres1278.py	1701.051	325.854	335.228	1700.078	1639.014	1717.311	436.658	1678.28	1682.656	1700.17	1721.325	1737.332	1723.084	1714.619	1713.177	1735.287	1708.551	354.689	1728.819	1645.428	1722.762	1715.18	1667.875	1718.465	440.619	491.435	0.0	403.748	1721.532	1738.664	378.114	1717.627	489.936	1713.227	1722.64	458.252	1730.062	1711.414	376.459	372.673	397.715	424.728	1675.212	691.558	1659.964	1736.375	1738.477	451.771	1669.432	322.859	1742.67	467.307	511.541	1707.751	376.026	358.333	1742.84	1720.882	446.793	1687.282	1732.437	500.338	1733.386	1715.833	304.408	1753.058	441.037	513.93	1732.236	1686.567	1674.619	1707.188	1746.897	1688.363	385.487	448.848	1749.739	570.014	1681.173	1732.014	507.768	432.247	309.346	1746.813	422.856	1730.089	1742.583	454.84	522.601	1685.031	1672.416	1716.615	1728.245	456.105	416.279	1713.933	263.322	384.716	470.833	1743.48	1675.159	275.048	1667.624	380.118	368.385	476.094	1732.845	1703.089	1702.205	1739.142	482.829	1710.408	1729.207	1716.804	440.463	
SHH_WT_models_highres29282.py	1741.061	306.06	240.607	1725.246	1680.862	1743.91	382.569	1717.595	1721.297	1739.331	1776.399	1763.345	1748.868	1739.985	1732.615	1752.015	1744.266	217.436	1753.233	1665.091	1745.105	1736.54	1703.653	1758.224	446.014	382.893	403.748	0.0	1757.53	1752.556	282.075	1739.475	394.629	1724.437	1742.148	404.231	1754.768	1745.952	257.96	256.652	206.043	419.006	1712.903	711.996	1681.966	1759.271	1757.667	418.356	1716.404	310.372	1760.98	310.119	489.757	1742.287	310.276	266.354	1770.618	1758.857	462.825	1727.138	1767.335	409.516	1745.954	1742.997	366.314	1759.966	407.165	442.897	1749.411	1727.369	1696.671	1723.598	1762.025	1720.46	282.901	276.313	1763.5	441.583	1728.474	1756.537	418.192	295.776	466.095	1795.929	170.497	1752.179	1776.363	381.033	460.438	1722.604	1695.254	1737.225	1747.146	373.396	405.165	1745.631	434.947	203.914	363.651	1751.55	1691.223	310.111	1687.782	329.655	305.146	382.752	1755.055	1734.432	1732.512	1755.019	303.332	1731.948	1751.359	1721.258	422.716	
SHH_WT_models_highres37336.py	242.578	1752.175	1749.727	381.535	352.142	373.815	1720.133	243.541	267.693	251.695	361.55	155.836	200.982	369.124	382.022	184.539	201.879	1776.931	159.034	487.771	202.306	400.556	327.29	237.821	1740.521	1701.683	1721.532	1757.53	0.0	354.502	1739.002	411.96	1694.766	371.272	361.664	1737.863	408.747	305.363	1763.883	1746.901	1758.714	1658.265	277.321	1780.737	391.292	354.197	429.77	1726.682	339.243	1772.837	213.935	1742.123	1725.39	171.982	1749.34	1722.396	212.579	253.538	1702.495	265.036	254.406	1704.56	361.005	309.652	1676.996	254.922	1701.716	1683.232	331.207	273.748	466.963	415.829	292.459	264.24	1725.828	1716.956	332.945	1716.324	379.522	372.047	1699.658	1743.012	1662.998	347.572	1762.031	354.572	322.864	1733.54	1664.572	336.861	472.991	397.528	375.191	1739.973	1746.7	276.751	1730.288	1773.562	1732.476	367.778	470.355	1757.139	421.25	1738.472	1720.225	1721.863	338.14	312.269	334.802	494.576	1736.726	278.567	267.682	500.214	1688.6	
SHH_WT_models_highres22408.py	404.438	1753.25	1752.496	236.622	476.542	221.672	1726.66	398.105	384.127	401.178	485.541	351.196	372.123	230.993	248.246	334.791	401.953	1755.756	334.586	340.655	352.676	253.724	462.643	379.99	1734.218	1686.882	1738.664	1752.556	354.502	0.0	1741.296	287.108	1688.802	201.544	175.438	1730.452	251.67	403.719	1756.478	1729.206	1751.464	1672.175	400.267	1744.876	242.673	186.869	314.387	1706.864	473.383	1779.047	348.506	1717.121	1759.418	371.766	1758.764	1735.861	362.13	411.62	1696.735	392.743	408.014	1688.963	145.685	445.103	1703.553	380.98	1702.118	1682.421	433.547	438.72	328.338	283.272	356.19	378.071	1732.804	1701.41	156.178	1743.354	458.976	167.156	1696.581	1727.786	1672.234	456.327	1770.157	211.199	439.311	1739.148	1655.495	437.483	371.088	188.276	172.839	1729.815	1766.925	429.298	1723.146	1749.737	1730.401	210.3	330.717	1750.1	310.226	1752.784	1724.684	1722.818	446.891	432.985	424.72	369.794	1712.704	418.908	413.181	375.823	1700.947	
SHH_WT_models_highres9157.py	1715.091	246.025	233.495	1703.381	1651.447	1722.674	380.908	1695.308	1698.428	1718.08	1754.318	1752.78	1740.478	1725.442	1717.268	1749.307	1726.103	199.982	1746.062	1642.142	1738.398	1717.332	1691.493	1733.352	401.872	359.252	378.114	282.075	1739.002	1741.296	0.0	1717.806	382.253	1718.595	1728.83	422.807	1735.613	1728.674	207.218	194.61	177.532	456.618	1695.139	703.906	1663.163	1740.324	1743.441	387.335	1699.056	249.537	1756.537	364.466	484.174	1723.444	328.621	242.191	1760.042	1745.242	409.924	1701.606	1752.473	365.974	1738.473	1735.689	365.704	1763.902	413.741	398.338	1749.814	1699.648	1672.044	1710.329	1762.233	1705.372	352.007	375.99	1758.36	493.504	1715.783	1734.743	398.919	227.639	426.115	1772.031	293.923	1737.841	1776.182	402.517	390.103	1700.381	1671.575	1719.557	1735.599	412.091	357.477	1735.465	339.002	209.547	452.71	1749.157	1677.144	311.852	1674.338	382.21	282.412	440.901	1751.887	1724.011	1721.807	1744.024	370.97	1725.799	1742.2	1708.978	453.943	
SHH_WT_models_highres20506.py	350.425	1740.827	1744.505	177.556	400.018	185.015	1705.727	392.427	418.589	339.411	411.435	412.819	418.749	248.16	203.008	430.105	370.421	1743.046	426.623	272.465	430.838	171.527	421.342	432.857	1722.208	1668.502	1717.627	1739.475	411.96	287.108	1717.806	0.0	1669.683	263.759	282.157	1720.603	205.504	410.94	1739.263	1706.745	1734.449	1652.274	424.914	1747.326	308.082	285.102	252.818	1694.888	425.91	1765.056	458.894	1720.816	1755.33	425.626	1747.046	1709.208	435.539	397.04	1684.37	441.849	362.43	1673.024	334.507	439.393	1678.827	439.272	1689.696	1660.315	471.52	366.363	246.343	210.801	479.866	452.383	1722.061	1705.483	297.037	1747.343	433.792	293.861	1678.609	1704.153	1660.945	412.326	1752.858	342.058	435.891	1728.184	1629.539	383.363	437.382	286.387	304.215	1732.202	1748.313	411.163	1709.529	1737.147	1731.168	374.1	285.411	1741.678	314.458	1741.317	1700.631	1723.272	454.806	420.905	406.355	415.635	1711.061	440.446	412.884	367.772	1671.716	
