	SHH_WT_models38454.py	SHH_WT_models39215.py	SHH_WT_models3827.py	SHH_WT_models40786.py	SHH_WT_models10615.py	SHH_WT_models11746.py	SHH_WT_models357.py	SHH_WT_models12018.py	SHH_WT_models35923.py	SHH_WT_models1483.py	SHH_WT_models27725.py	SHH_WT_models22704.py	SHH_WT_models46610.py	SHH_WT_models25210.py	SHH_WT_models8890.py	SHH_WT_models21516.py	SHH_WT_models48773.py	SHH_WT_models491.py	SHH_WT_models1192.py	SHH_WT_models38276.py	SHH_WT_models49283.py	SHH_WT_models29668.py	SHH_WT_models2238.py	SHH_WT_models29348.py	SHH_WT_models37141.py	SHH_WT_models14847.py	SHH_WT_models30347.py	SHH_WT_models41853.py	SHH_WT_models7344.py	SHH_WT_models1588.py	SHH_WT_models22421.py	SHH_WT_models8764.py	SHH_WT_models39507.py	SHH_WT_models15435.py	SHH_WT_models41149.py	SHH_WT_models45309.py	SHH_WT_models11760.py	SHH_WT_models44296.py	SHH_WT_models47603.py	SHH_WT_models35629.py	SHH_WT_models44428.py	SHH_WT_models36637.py	SHH_WT_models47783.py	SHH_WT_models44981.py	SHH_WT_models37228.py	SHH_WT_models36833.py	SHH_WT_models2378.py	SHH_WT_models22582.py	SHH_WT_models34183.py	SHH_WT_models44943.py	SHH_WT_models28174.py	SHH_WT_models42616.py	SHH_WT_models6662.py	SHH_WT_models18902.py	SHH_WT_models26485.py	SHH_WT_models27908.py	SHH_WT_models40839.py	SHH_WT_models29459.py	SHH_WT_models17169.py	SHH_WT_models38759.py	SHH_WT_models19239.py	SHH_WT_models42278.py	SHH_WT_models15235.py	SHH_WT_models25278.py	SHH_WT_models9748.py	SHH_WT_models32436.py	SHH_WT_models37719.py	SHH_WT_models33732.py	SHH_WT_models34323.py	SHH_WT_models19436.py	SHH_WT_models34283.py	SHH_WT_models5070.py	SHH_WT_models17200.py	SHH_WT_models37605.py	SHH_WT_models7718.py	SHH_WT_models40490.py	SHH_WT_models1709.py	SHH_WT_models31532.py	SHH_WT_models30779.py	SHH_WT_models2347.py	SHH_WT_models15552.py	SHH_WT_models16149.py	SHH_WT_models10306.py	SHH_WT_models30402.py	SHH_WT_models13634.py	SHH_WT_models41778.py	SHH_WT_models29007.py	SHH_WT_models36378.py	SHH_WT_models31832.py	SHH_WT_models39112.py	SHH_WT_models24206.py	SHH_WT_models5307.py	SHH_WT_models12433.py	SHH_WT_models18377.py	SHH_WT_models12231.py	SHH_WT_models49537.py	SHH_WT_models9944.py	SHH_WT_models48341.py	SHH_WT_models25404.py	SHH_WT_models25325.py	SHH_WT_models8984.py	SHH_WT_models1789.py	SHH_WT_models6373.py	SHH_WT_models17583.py	SHH_WT_models47710.py	SHH_WT_models41859.py	SHH_WT_models21876.py	SHH_WT_models31879.py	SHH_WT_models22069.py	SHH_WT_models38869.py	SHH_WT_models21025.py	SHH_WT_models192.py	SHH_WT_models23133.py	SHH_WT_models19903.py	SHH_WT_models7880.py	SHH_WT_models27167.py	SHH_WT_models32722.py	SHH_WT_models18570.py	SHH_WT_models41837.py	SHH_WT_models40274.py	SHH_WT_models29228.py	SHH_WT_models38655.py	SHH_WT_models717.py	SHH_WT_models8847.py	SHH_WT_models28238.py	SHH_WT_models34190.py	SHH_WT_models6070.py	SHH_WT_models5447.py	SHH_WT_models27032.py	SHH_WT_models1166.py	SHH_WT_models33698.py	SHH_WT_models49440.py	SHH_WT_models43041.py	SHH_WT_models43346.py	SHH_WT_models44997.py	SHH_WT_models32237.py	SHH_WT_models9283.py	SHH_WT_models49996.py	SHH_WT_models45114.py	SHH_WT_models7095.py	SHH_WT_models18557.py	SHH_WT_models11029.py	SHH_WT_models41538.py	SHH_WT_models13902.py	SHH_WT_models9585.py	SHH_WT_models27717.py	SHH_WT_models29730.py	SHH_WT_models45774.py	SHH_WT_models8077.py	SHH_WT_models40317.py	SHH_WT_models42102.py	SHH_WT_models7530.py	SHH_WT_models31195.py	SHH_WT_models10580.py	SHH_WT_models17316.py	SHH_WT_models40479.py	SHH_WT_models17085.py	SHH_WT_models28244.py	SHH_WT_models47890.py	SHH_WT_models14471.py	SHH_WT_models11050.py	SHH_WT_models32291.py	SHH_WT_models32644.py	SHH_WT_models32695.py	SHH_WT_models7948.py	SHH_WT_models32116.py	SHH_WT_models3886.py	SHH_WT_models11273.py	SHH_WT_models17399.py	SHH_WT_models4621.py	SHH_WT_models4070.py	SHH_WT_models34817.py	SHH_WT_models35309.py	SHH_WT_models41274.py	SHH_WT_models5926.py	SHH_WT_models35708.py	SHH_WT_models33622.py	SHH_WT_models9654.py	SHH_WT_models28611.py	SHH_WT_models23029.py	SHH_WT_models40865.py	SHH_WT_models40152.py	SHH_WT_models32950.py	SHH_WT_models13608.py	SHH_WT_models34664.py	SHH_WT_models2611.py	SHH_WT_models39351.py	SHH_WT_models34543.py	SHH_WT_models8846.py	SHH_WT_models37289.py	SHH_WT_models488.py	SHH_WT_models38204.py	SHH_WT_models571.py	SHH_WT_models34442.py	SHH_WT_models17286.py	SHH_WT_models9457.py	SHH_WT_models15986.py	SHH_WT_models28664.py	SHH_WT_models1811.py	SHH_WT_models30093.py	
SHH_WT_models18902.py	3878.534	3748.626	734.785	758.655	870.937	3805.102	914.495	3824.833	3923.143	3933.48	1671.062	3920.267	3788.98	3825.852	3862.288	3787.373	3918.758	585.998	1639.315	3835.483	3819.89	3862.214	518.284	3830.023	803.651	3811.38	758.022	702.602	727.144	763.821	573.419	760.565	3836.998	654.486	3730.641	806.62	3759.992	630.545	674.165	509.648	3793.268	3774.11	3798.928	3750.736	483.779	3801.921	3889.408	3889.1	564.796	3785.831	3949.295	635.865	552.669	0.0	3802.294	3947.913	513.51	3819.989	3883.058	616.833	750.252	3765.648	3769.275	890.844	3832.289	633.749	695.778	594.017	3809.094	370.955	3863.341	3809.217	740.432	3778.33	688.48	800.391	3765.798	3779.867	469.194	3728.489	3997.637	612.948	4057.377	1523.289	982.598	4161.972	3744.509	710.689	1409.508	4094.245	1830.722	1433.486	1396.889	4125.709	4040.075	4216.054	1355.823	4198.289	3754.217	3986.09	1329.236	4166.344	1417.853	1403.013	1416.868	1381.063	4174.643	1314.054	4201.991	4055.801	1412.411	4218.706	4209.153	1319.04	1519.254	4172.053	1185.732	4003.162	4000.548	4027.382	1356.417	4204.86	4153.019	4077.927	4191.381	4177.984	4139.574	4000.639	1417.533	1403.876	4101.31	1473.541	1375.324	4184.231	1367.557	4109.85	1403.454	1391.633	1523.686	4065.352	1380.199	1371.735	1424.647	4273.714	4150.415	1422.625	4169.754	1290.873	4188.01	4115.859	4024.154	4174.374	3926.535	1445.221	1463.788	4113.007	4211.726	1371.193	1490.455	4171.426	4181.401	1575.229	1417.957	4211.068	4213.33	4173.274	4124.039	4116.563	1335.755	1290.015	1296.875	1819.888	4217.486	4187.911	1519.862	1418.913	4084.874	4308.053	4132.404	1438.861	1386.923	4138.578	4024.254	1509.654	4208.889	4147.636	1337.552	1388.347	4157.087	3905.525	1379.704	1468.956	4093.694	4179.127	1320.433	4049.834	1426.437	1341.508	1515.198	1424.029	
SHH_WT_models26485.py	922.913	753.518	3874.879	3764.295	3870.8	764.983	3776.944	639.885	773.038	854.342	4025.266	850.561	913.931	721.592	554.395	846.635	629.319	3777.421	4156.762	305.254	405.628	633.97	3802.593	632.592	3786.846	835.744	3717.502	3745.323	3762.235	3745.512	3827.416	3760.449	436.506	3920.352	871.477	3798.437	468.09	3834.666	3708.713	3822.275	668.432	401.406	396.391	414.462	3727.778	297.196	604.037	512.368	3714.095	377.989	697.007	3737.014	3763.716	3802.294	0.0	589.863	3722.954	304.917	575.152	3820.581	3722.035	534.256	451.217	3661.316	668.233	3794.476	3769.505	3749.093	265.5	3726.879	740.911	520.514	3832.132	671.123	3736.687	3764.443	447.688	625.962	3710.837	779.202	1213.737	3699.528	1330.47	4169.901	3781.854	1313.471	710.807	3672.711	4151.039	2000.008	4308.485	4012.676	3998.577	1323.422	1238.0	1508.534	4117.591	1460.231	579.88	1248.096	3968.848	1366.095	4143.337	4109.396	4155.012	3986.095	1309.239	4006.83	1480.209	1136.656	4165.786	1377.918	1329.835	3975.386	4179.274	1317.991	3946.717	1321.212	1160.402	1199.369	4105.471	1486.824	1296.71	1255.873	1394.793	1493.408	1429.478	1199.01	4143.689	4107.684	1243.685	4112.209	4074.793	1297.584	4086.009	1405.029	4127.815	4142.301	4125.23	1125.833	4011.527	4081.07	4022.707	1480.517	1283.374	4111.304	1291.622	4102.611	1346.981	1206.591	1214.621	1314.853	1213.962	4147.311	4151.77	1186.341	1581.449	3961.212	4166.809	1362.231	1395.212	4218.887	4121.464	1411.228	1353.441	1351.497	1194.944	1299.435	4131.343	4073.084	3930.433	4337.571	1341.763	1332.067	4111.756	4095.755	1278.507	1633.781	1222.945	4093.975	4091.036	1333.08	1188.253	4139.789	1388.729	1279.423	4088.055	4125.272	1323.822	1220.145	4121.545	4133.971	1224.006	1259.253	4050.233	1174.978	4076.171	4072.792	4122.286	4058.225	
SHH_WT_models27908.py	731.529	869.922	4024.551	3918.102	4016.899	838.142	3916.105	680.494	534.499	859.534	4155.439	819.207	887.866	684.313	380.561	924.23	312.047	3916.148	4223.248	572.128	497.714	696.714	3962.501	461.1	3959.003	912.619	3870.784	3913.245	3925.419	3889.606	3990.249	3912.586	389.516	4061.059	940.781	3974.766	633.916	3977.585	3862.407	3972.625	584.384	578.503	628.015	601.844	3874.015	601.297	669.32	383.005	3868.131	540.043	361.925	3918.257	3905.352	3947.913	589.863	0.0	3895.309	524.89	367.287	3979.173	3882.657	746.801	684.521	3807.135	723.508	3931.534	3913.74	3902.831	607.989	3874.316	749.941	651.909	3965.605	677.888	3920.505	3931.711	582.831	577.051	3870.273	729.472	1300.433	3864.033	1422.532	4326.456	3957.093	1239.948	824.961	3844.7	4301.993	2007.835	4408.509	4185.706	4171.78	1230.271	1321.071	1444.449	4266.701	1317.188	744.52	1377.765	4131.288	1242.346	4309.876	4284.291	4308.533	4151.129	1231.899	4173.4	1341.921	1246.475	4316.301	1276.606	1232.256	4154.078	4336.634	1182.065	4096.639	1369.518	1276.281	1295.519	4271.799	1362.996	1233.836	1314.825	1370.375	1384.916	1316.577	1333.874	4312.352	4276.396	1202.6	4283.799	4247.048	1195.255	4255.503	1391.628	4285.259	4304.249	4298.407	1186.86	4181.494	4257.645	4175.692	1338.031	1216.795	4278.028	1213.424	4278.411	1280.124	1215.058	1307.705	1221.782	1339.69	4311.574	4319.235	1224.262	1436.452	4135.143	4323.783	1259.117	1285.216	4359.528	4295.309	1311.327	1265.921	1315.709	1245.572	1306.774	4298.468	4254.348	4102.546	4442.404	1252.363	1226.963	4283.015	4266.46	1180.935	1522.596	1202.671	4268.867	4263.519	1237.315	1339.105	4307.006	1291.141	1295.272	4255.074	4298.753	1211.064	1296.926	4290.667	4303.97	1250.262	1206.994	4229.415	1296.283	4253.983	4252.03	4296.192	4232.598	
SHH_WT_models40839.py	3866.022	3717.189	932.378	866.813	839.041	3764.27	780.631	3779.856	3890.944	3886.074	1564.326	3868.433	3762.78	3786.692	3812.916	3742.948	3877.65	480.712	1622.464	3762.158	3760.025	3806.168	327.799	3789.002	581.093	3767.328	467.093	803.679	420.547	525.769	434.644	888.235	3780.021	573.42	3691.356	859.378	3714.488	468.766	388.529	398.968	3754.029	3714.021	3730.643	3698.185	333.61	3733.314	3816.612	3834.935	349.996	3721.507	3900.734	404.671	373.026	513.51	3722.954	3895.309	0.0	3742.791	3831.667	489.651	496.239	3701.53	3707.85	959.632	3775.61	500.993	538.305	367.037	3722.843	373.795	3811.316	3742.625	663.19	3736.507	367.247	548.349	3705.393	3739.941	323.013	3694.097	3957.105	422.226	4014.504	1523.489	1057.397	4120.528	3701.581	389.323	1387.818	4077.751	1853.53	1339.053	1312.892	4094.065	3990.527	4178.034	1358.631	4172.185	3697.067	3949.898	1244.869	4129.535	1394.208	1346.011	1452.346	1267.597	4129.628	1276.402	4176.626	4000.33	1415.118	4174.925	4162.969	1299.142	1492.039	4138.73	1120.962	3964.314	3952.032	3977.546	1336.526	4178.58	4111.552	4031.207	4143.004	4154.584	4117.023	3951.182	1449.331	1406.251	4062.347	1406.292	1376.616	4142.265	1324.583	4074.476	1362.379	1389.135	1466.299	4007.89	1282.652	1353.222	1397.477	4240.137	4106.845	1404.357	4126.001	1292.58	4143.556	4065.681	3982.598	4130.521	3884.256	1408.146	1435.162	4055.034	4189.383	1387.716	1462.422	4137.635	4148.45	1546.142	1366.839	4170.165	4162.28	4127.788	4062.194	4067.84	1305.741	1242.874	1310.897	1831.756	4166.629	4149.275	1517.276	1361.805	4051.95	4267.497	4080.153	1361.822	1414.383	4097.727	3967.518	1486.471	4169.428	4095.997	1320.036	1340.006	4122.251	3880.064	1356.426	1433.695	4045.258	4125.972	1303.52	3993.306	1369.236	1301.272	1447.868	1348.61	
SHH_WT_models29459.py	841.245	741.407	3889.163	3765.062	3884.238	710.062	3786.232	589.797	694.948	853.338	4034.733	819.617	855.908	673.694	493.141	803.783	586.341	3797.449	4171.249	308.787	451.907	578.594	3826.017	574.386	3800.005	843.73	3729.613	3755.619	3777.026	3762.638	3853.383	3758.91	437.338	3941.685	812.775	3806.459	522.458	3859.267	3721.245	3841.625	640.417	467.661	491.784	464.854	3741.78	415.834	608.244	485.172	3726.192	436.689	646.876	3751.746	3781.819	3819.989	304.917	524.89	3742.791	0.0	534.025	3846.819	3736.319	615.623	501.198	3660.444	705.18	3813.979	3784.288	3770.788	341.839	3740.727	638.885	516.972	3852.194	678.598	3753.187	3782.379	467.038	629.715	3729.231	745.299	1181.305	3715.356	1299.923	4167.226	3779.396	1253.165	743.355	3693.208	4153.085	1964.526	4310.108	4008.883	3994.266	1263.431	1188.911	1452.476	4122.035	1401.114	640.722	1242.136	3966.158	1303.052	4144.425	4109.972	4156.78	3982.38	1259.149	4003.34	1417.858	1130.894	4166.849	1314.957	1268.548	3972.394	4183.029	1256.046	3949.537	1276.408	1143.668	1179.655	4108.391	1419.202	1244.609	1220.789	1354.388	1423.254	1356.088	1196.69	4138.17	4110.666	1205.871	4109.033	4071.337	1252.473	4084.756	1350.492	4130.69	4144.905	4125.454	1088.049	4009.42	4078.232	4015.233	1417.918	1228.256	4108.38	1240.974	4101.145	1301.553	1182.74	1204.188	1258.595	1199.213	4150.015	4153.74	1162.053	1509.295	3951.706	4170.158	1315.674	1334.571	4225.538	4125.086	1347.08	1302.949	1308.622	1164.504	1254.196	4135.211	4069.354	3921.13	4346.054	1284.836	1280.629	4106.783	4092.718	1235.316	1577.951	1172.81	4090.033	4084.892	1264.487	1206.633	4136.296	1335.351	1246.485	4091.629	4129.267	1270.15	1198.355	4124.917	4134.02	1183.455	1219.139	4044.767	1187.092	4076.401	4070.364	4119.62	4050.889	
SHH_WT_models17169.py	811.407	907.772	3965.353	3860.824	3964.9	899.684	3861.535	730.705	529.737	882.11	4122.446	844.814	956.125	751.853	352.873	1025.21	327.222	3852.298	4193.704	604.655	463.0	824.45	3901.058	428.606	3908.444	925.657	3813.7	3851.919	3865.462	3828.206	3928.53	3856.255	325.77	4009.106	1016.838	3924.036	505.205	3912.526	3802.503	3909.866	593.759	491.03	583.531	521.123	3813.847	558.452	635.073	386.327	3808.465	420.463	429.56	3862.757	3843.717	3883.058	575.152	367.287	3831.667	534.025	0.0	3917.584	3828.295	709.586	626.397	3751.008	769.102	3868.372	3851.486	3841.742	532.469	3808.103	843.508	655.818	3901.57	550.973	3865.416	3871.442	460.016	466.507	3801.847	640.33	1373.101	3809.889	1501.159	4262.461	3892.684	1326.144	794.021	3782.309	4238.755	2088.456	4356.518	4130.134	4113.756	1304.81	1392.283	1547.267	4198.252	1407.185	672.959	1400.941	4070.99	1328.547	4246.25	4220.479	4244.587	4090.918	1316.95	4114.964	1429.002	1275.604	4250.106	1380.118	1327.004	4093.733	4281.345	1260.912	4028.018	1461.97	1319.959	1372.824	4204.357	1446.731	1315.098	1410.158	1482.285	1481.005	1411.233	1393.746	4249.615	4210.265	1276.42	4223.878	4177.814	1273.494	4185.844	1503.153	4220.739	4240.223	4240.16	1239.843	4118.016	4193.807	4119.638	1428.304	1306.3	4217.785	1285.817	4211.901	1370.323	1289.065	1301.274	1305.289	1396.472	4248.87	4256.766	1304.739	1493.638	4071.739	4264.111	1327.464	1370.614	4304.839	4235.436	1416.136	1364.119	1410.765	1323.161	1370.551	4233.384	4187.721	4041.323	4401.414	1345.297	1297.544	4218.047	4202.85	1226.993	1605.492	1283.629	4207.188	4195.087	1337.25	1351.125	4248.673	1388.588	1379.104	4185.654	4234.24	1267.291	1336.513	4227.25	4246.735	1292.59	1293.299	4165.288	1351.854	4192.876	4188.481	4236.358	4172.342	
SHH_WT_models38759.py	3948.439	3812.483	1017.733	1017.851	893.033	3872.166	771.056	3880.822	3946.013	3933.072	1511.833	3913.405	3872.607	3896.352	3894.057	3854.788	3943.873	408.501	1483.391	3859.687	3843.008	3915.592	308.033	3887.57	641.481	3836.853	575.273	980.97	507.939	475.005	248.642	1104.36	3874.597	425.323	3801.075	1029.717	3789.055	295.214	526.589	293.329	3860.076	3799.297	3815.339	3784.646	556.882	3819.86	3884.11	3926.519	533.073	3820.45	3965.163	595.252	491.769	616.833	3820.581	3979.173	489.651	3846.819	3917.584	0.0	606.127	3780.831	3796.199	1143.769	3847.021	333.556	440.934	497.779	3826.621	554.079	3928.593	3831.906	532.754	3820.723	529.018	498.254	3802.375	3833.582	484.224	3799.901	4050.012	556.95	4105.131	1467.116	1227.324	4204.046	3790.713	530.648	1294.736	4120.615	1769.161	1359.445	1362.943	4174.788	4086.808	4258.631	1282.712	4237.406	3790.324	4028.236	1289.421	4205.585	1331.535	1308.374	1370.652	1349.041	4205.595	1364.395	4240.259	4079.765	1385.877	4249.281	4242.898	1408.764	1424.297	4214.01	1185.791	4062.001	4041.084	4062.251	1255.163	4245.146	4188.797	4124.045	4229.248	4227.174	4195.87	4044.307	1450.047	1325.018	4145.607	1395.52	1319.654	4213.594	1275.27	4167.83	1257.541	1299.531	1477.036	4098.952	1306.797	1317.448	1493.661	4296.788	4190.711	1339.311	4206.036	1278.861	4224.575	4154.27	4052.078	4210.675	3980.204	1404.503	1378.499	4144.039	4252.699	1479.149	1400.262	4214.107	4226.235	1483.879	1308.131	4245.702	4237.605	4206.818	4144.978	4153.149	1249.36	1221.244	1411.502	1754.369	4240.299	4229.698	1475.912	1309.438	4134.334	4327.537	4166.037	1325.445	1405.28	4190.619	4041.958	1479.297	4244.515	4175.583	1230.934	1317.985	4197.184	3969.772	1292.36	1396.562	4133.544	4207.593	1279.874	4073.463	1332.005	1258.326	1416.628	1368.47	
SHH_WT_models19239.py	3869.012	3735.746	1068.687	934.548	784.068	3767.841	585.169	3770.323	3867.376	3855.857	1369.022	3832.759	3778.988	3796.583	3802.218	3755.519	3859.375	510.424	1544.462	3759.1	3758.297	3796.234	485.318	3793.823	430.81	3759.256	314.578	890.132	364.078	418.929	555.928	937.128	3773.25	663.847	3704.666	949.186	3713.647	597.348	288.234	595.196	3762.935	3720.625	3730.118	3699.213	466.299	3729.25	3794.625	3821.917	384.971	3732.257	3876.333	437.77	475.202	750.252	3722.035	3882.657	496.239	3736.319	3828.295	606.127	0.0	3704.494	3708.981	1003.392	3761.215	533.92	491.908	462.447	3726.059	598.027	3807.9	3739.617	635.448	3745.158	496.216	440.509	3714.647	3755.397	572.362	3718.736	3956.357	520.756	4012.063	1499.186	1078.405	4115.705	3702.573	386.049	1344.08	4063.697	1808.209	1209.096	1197.254	4093.886	3987.092	4176.005	1338.825	4163.424	3708.055	3952.511	1104.852	4131.029	1344.735	1299.986	1414.063	1169.017	4123.109	1187.165	4170.666	3983.736	1410.728	4161.205	4154.673	1266.533	1430.772	4133.652	1074.288	3969.148	3953.817	3963.791	1297.376	4182.386	4108.162	4026.282	4144.01	4142.622	4119.241	3949.128	1442.293	1361.46	4065.899	1348.604	1352.358	4129.234	1300.663	4083.592	1320.978	1360.146	1367.005	3998.106	1174.082	1341.328	1291.587	4221.898	4101.047	1342.613	4116.438	1309.026	4134.898	4066.191	3964.282	4125.619	3896.374	1345.707	1344.919	4052.567	4192.509	1360.49	1394.108	4142.025	4149.345	1476.506	1318.95	4158.563	4146.273	4123.885	4030.991	4064.82	1284.143	1233.074	1277.23	1760.359	4151.591	4143.094	1457.032	1328.003	4052.759	4257.371	4076.191	1286.015	1397.477	4104.85	3958.302	1419.56	4164.198	4085.734	1300.211	1303.549	4119.263	3884.654	1307.947	1359.046	4039.815	4117.414	1258.043	3972.795	1292.208	1269.832	1329.433	1239.937	
SHH_WT_models42278.py	938.922	754.054	3825.235	3723.198	3835.473	962.155	3725.665	745.636	844.092	825.291	3965.899	763.876	1008.747	861.726	530.758	839.264	725.398	3727.213	4087.248	474.819	457.371	790.155	3765.73	703.978	3769.056	537.91	3689.405	3716.392	3731.339	3698.278	3786.573	3733.798	601.694	3878.24	888.593	3781.99	488.547	3790.277	3683.182	3780.74	815.51	457.563	375.008	469.495	3706.871	426.712	571.757	610.532	3689.355	509.448	789.671	3732.414	3738.789	3765.648	534.256	746.801	3701.53	615.623	709.586	3780.831	3704.494	0.0	385.924	3625.71	402.058	3745.166	3722.818	3731.255	523.018	3698.612	948.905	444.558	3783.884	561.13	3727.4	3725.755	613.641	717.216	3681.867	856.492	1259.215	3688.337	1397.252	4122.282	3757.485	1328.268	449.406	3656.757	4106.833	1734.377	4235.188	4001.871	3990.074	1341.33	1324.396	1504.281	4073.614	1406.439	422.974	1260.902	3951.73	1333.663	4106.566	4086.419	4116.597	3974.264	1326.266	3999.797	1420.972	1161.048	4125.986	1416.943	1376.944	3966.399	4146.614	1366.317	3921.117	1427.484	1213.638	1179.369	4075.026	1478.663	1292.103	1342.021	1417.964	1465.558	1382.881	1281.088	4122.558	4073.48	1251.546	4093.411	4048.117	1316.647	4051.658	1476.377	4086.948	4108.9	4108.1	1211.617	3987.737	4060.093	4007.73	1515.268	1342.306	4084.013	1335.64	4083.107	1339.181	1260.117	1218.757	1346.278	1278.457	4120.92	4119.06	1265.867	1549.362	3949.206	4131.393	1397.758	1442.368	4173.123	4103.501	1409.76	1387.635	1331.205	1270.584	1324.692	4108.691	4059.753	3920.94	4279.809	1390.346	1396.213	4084.414	4070.759	1235.857	1644.022	1281.614	4072.593	4065.135	1416.106	1140.356	4117.562	1454.538	1306.943	4054.469	4100.011	1353.386	1260.843	4099.426	4117.614	1266.856	1320.103	4038.962	1141.001	4061.398	4060.645	4097.315	4044.91	
SHH_WT_models15235.py	858.538	705.527	3833.933	3728.502	3842.809	850.642	3740.468	659.046	790.643	825.484	3990.107	787.48	900.384	722.808	494.653	802.161	666.443	3739.028	4112.952	380.235	398.756	744.381	3778.832	594.143	3779.52	656.96	3699.957	3716.479	3745.415	3716.921	3801.034	3732.325	451.903	3894.812	823.515	3785.918	395.806	3807.131	3690.93	3794.276	676.185	362.784	315.542	309.628	3709.406	299.685	586.731	538.45	3694.463	421.587	784.592	3734.796	3745.436	3769.275	451.217	684.521	3707.85	501.198	626.397	3796.199	3708.981	385.924	0.0	3625.629	517.34	3761.285	3734.067	3735.997	424.382	3701.81	855.607	398.863	3798.99	501.075	3734.899	3741.154	486.715	578.748	3690.688	716.837	1242.325	3690.219	1386.879	4131.649	3754.917	1345.77	451.461	3665.201	4116.64	1825.071	4251.098	4001.715	3987.339	1346.081	1305.737	1522.38	4079.525	1432.866	377.688	1250.482	3950.696	1371.505	4112.166	4089.342	4118.669	3973.077	1339.798	3994.506	1449.072	1168.009	4131.835	1422.07	1373.168	3960.537	4153.958	1355.883	3919.396	1384.644	1221.592	1210.287	4076.469	1496.514	1318.356	1318.334	1442.006	1477.427	1397.119	1259.461	4118.982	4075.984	1256.473	4096.057	4046.517	1326.621	4053.806	1459.864	4095.704	4112.541	4109.622	1201.571	3989.385	4059.969	4000.825	1515.809	1333.994	4088.105	1331.46	4079.422	1362.466	1252.651	1211.062	1340.584	1252.083	4122.903	4121.409	1267.374	1579.459	3938.997	4138.879	1396.673	1437.776	4183.737	4106.82	1417.376	1415.363	1352.015	1273.451	1363.0	4108.377	4057.513	3910.205	4291.756	1400.666	1380.807	4083.587	4074.381	1265.482	1667.318	1281.343	4074.776	4060.721	1393.095	1186.488	4119.874	1451.332	1325.494	4058.378	4104.955	1363.646	1230.233	4101.41	4118.736	1278.374	1311.978	4032.844	1169.504	4062.119	4059.921	4102.362	4041.988	
SHH_WT_models25278.py	3745.359	3568.442	754.405	491.056	884.138	3625.811	866.035	3648.201	3815.445	3839.576	1471.365	3810.973	3590.568	3653.583	3723.866	3589.84	3803.795	936.061	1676.577	3687.749	3693.013	3680.336	996.089	3685.574	953.877	3670.356	987.501	457.778	998.05	1042.063	1045.037	523.35	3690.59	1153.782	3513.67	727.398	3635.708	1178.406	973.232	1059.521	3631.915	3653.188	3670.866	3612.085	935.964	3668.75	3782.735	3739.55	944.923	3657.94	3833.441	922.511	1079.483	890.844	3661.316	3807.135	959.632	3660.444	3751.008	1143.769	1003.392	3625.71	3625.629	0.0	3696.695	1144.968	995.853	1129.467	3673.442	933.691	3656.235	3674.878	1099.465	3645.876	1062.557	1019.458	3625.542	3651.288	976.821	3574.266	3772.749	986.912	3845.152	1490.606	545.146	3937.38	3585.239	1117.256	1490.961	3924.817	1737.255	1305.853	1284.257	3900.002	3823.619	4010.302	1434.207	3998.626	3608.628	3807.422	1247.102	3958.319	1400.573	1431.0	1416.945	1336.457	3969.55	1285.672	4007.572	3863.618	1480.669	4014.913	4001.535	1193.455	1496.779	3962.598	1247.487	3768.353	3791.635	3811.663	1408.052	4006.871	3944.619	3858.41	3983.708	3955.293	3898.718	3801.029	1407.674	1384.88	3871.236	1452.846	1364.474	3977.167	1411.396	3869.614	1502.519	1432.952	1444.567	3855.083	1297.84	1422.505	1265.254	4097.405	3931.746	1403.569	3961.629	1379.744	3980.057	3897.741	3846.118	3965.165	3707.167	1433.26	1410.329	3899.593	4019.608	1111.267	1507.523	3979.068	3978.943	1577.45	1496.787	4005.748	4007.724	3969.786	3927.784	3891.867	1479.492	1429.397	1084.127	1751.923	4016.164	3985.661	1366.081	1426.416	3868.256	4139.663	3914.762	1388.544	1278.281	3921.916	3847.992	1450.95	4013.863	3942.94	1428.902	1493.94	3943.518	3698.628	1451.587	1457.295	3873.56	3969.863	1329.169	3853.566	1422.478	1448.472	1460.623	1299.601	
