	SHH_WT_models24206.py	SHH_WT_models34817.py	SHH_WT_models32722.py	SHH_WT_models18557.py	SHH_WT_models5307.py	SHH_WT_models12433.py	SHH_WT_models8984.py	SHH_WT_models41859.py	SHH_WT_models31879.py	SHH_WT_models41538.py	SHH_WT_models19903.py	SHH_WT_models28244.py	SHH_WT_models4070.py	SHH_WT_models32291.py	SHH_WT_models30093.py	SHH_WT_models27032.py	SHH_WT_models5926.py	SHH_WT_models40865.py	SHH_WT_models1811.py	SHH_WT_models49440.py	SHH_WT_models38204.py	SHH_WT_models45114.py	SHH_WT_models13608.py	SHH_WT_models21025.py	SHH_WT_models10580.py	SHH_WT_models30402.py	SHH_WT_models7880.py	SHH_WT_models47890.py	SHH_WT_models17286.py	SHH_WT_models4621.py	SHH_WT_models28664.py	SHH_WT_models49996.py	SHH_WT_models9944.py	SHH_WT_models31832.py	SHH_WT_models9283.py	SHH_WT_models1166.py	SHH_WT_models47710.py	SHH_WT_models6373.py	SHH_WT_models17316.py	SHH_WT_models17399.py	SHH_WT_models34543.py	SHH_WT_models27717.py	SHH_WT_models23029.py	SHH_WT_models15986.py	SHH_WT_models17583.py	SHH_WT_models35708.py	SHH_WT_models32644.py	SHH_WT_models488.py	SHH_WT_models29228.py	SHH_WT_models44997.py	SHH_WT_models39351.py	SHH_WT_models43041.py	SHH_WT_models11029.py	SHH_WT_models45774.py	SHH_WT_models27725.py	SHH_WT_models1192.py	SHH_WT_models18902.py	SHH_WT_models2238.py	SHH_WT_models22421.py	SHH_WT_models32436.py	SHH_WT_models35629.py	SHH_WT_models44296.py	SHH_WT_models38759.py	SHH_WT_models47603.py	SHH_WT_models34183.py	SHH_WT_models16149.py	SHH_WT_models36378.py	SHH_WT_models19436.py	SHH_WT_models30779.py	SHH_WT_models6662.py	SHH_WT_models33732.py	SHH_WT_models37228.py	SHH_WT_models40839.py	SHH_WT_models42616.py	SHH_WT_models7718.py	SHH_WT_models37719.py	SHH_WT_models40490.py	SHH_WT_models7344.py	SHH_WT_models30347.py	SHH_WT_models19239.py	SHH_WT_models491.py	SHH_WT_models1588.py	SHH_WT_models15435.py	SHH_WT_models10615.py	SHH_WT_models17200.py	SHH_WT_models357.py	SHH_WT_models37141.py	SHH_WT_models13634.py	SHH_WT_models25278.py	SHH_WT_models8764.py	SHH_WT_models40786.py	SHH_WT_models41853.py	SHH_WT_models3827.py	SHH_WT_models45309.py	
SHH_WT_models19903.py	4112.683	4012.732	1308.197	1335.992	893.731	4061.432	967.652	4042.466	4088.35	3997.127	0.0	3983.982	4101.216	4116.735	4073.045	4040.594	4116.352	1342.673	675.655	4020.366	4040.351	4059.659	1442.539	4098.31	1196.23	3957.92	1266.293	1414.483	1312.597	1260.765	1426.947	1504.082	4081.493	1384.808	4017.037	1304.855	4002.855	1506.676	1425.966	1543.115	4104.415	4010.956	4010.525	4001.147	1485.845	4015.06	3998.794	4107.746	1556.293	4044.905	4115.566	1420.036	1467.8	1671.062	4025.266	4155.439	1564.326	4034.733	4122.446	1511.833	1369.022	3965.899	3990.107	1471.365	3990.539	1514.025	1424.809	1525.817	4024.608	1649.342	4119.076	4007.906	1285.12	4047.731	1531.961	1414.325	4048.227	4087.063	1593.261	4079.454	4219.819	1610.769	4244.303	1391.184	1424.498	4334.474	3982.767	1553.177	1438.221	4111.919	1250.961	1319.752	1359.325	4326.774	
SHH_WT_models28244.py	755.381	842.572	3975.434	3905.214	3917.531	876.643	3821.127	649.841	525.205	321.732	3983.982	0.0	1038.556	923.543	682.091	965.664	669.425	3842.724	4041.38	738.451	702.994	760.354	3897.255	799.252	3902.22	601.712	3812.352	3906.178	3867.016	3807.924	3924.074	3919.304	842.069	3988.673	1094.167	3963.039	725.723	3901.997	3822.103	3917.655	1015.491	753.763	773.781	818.431	3842.973	787.555	410.724	747.318	3844.686	850.28	654.827	3896.792	3855.022	3920.267	850.561	819.207	3868.433	819.617	844.814	3913.405	3832.759	763.876	787.48	3810.973	677.726	3862.059	3842.262	3859.872	876.616	3854.684	963.294	760.641	3864.338	896.877	3899.907	3861.315	957.826	986.068	3836.199	1077.838	1248.283	3863.539	1272.95	4239.931	3934.986	1237.923	896.849	3812.746	4204.91	1500.262	4287.355	4122.368	4116.042	1266.969	
SHH_WT_models4070.py	560.608	446.511	3835.071	3716.671	3892.347	434.731	3800.23	527.804	905.938	1027.686	4101.216	1038.556	0.0	321.833	834.199	467.179	880.41	3801.175	4234.771	815.344	852.877	588.949	3842.527	672.553	3851.674	944.761	3776.52	3721.344	3822.11	3797.343	3875.955	3717.651	827.506	3977.043	452.017	3799.739	859.004	3890.015	3752.532	3850.619	546.815	892.461	937.324	815.731	3748.892	912.469	1047.808	799.985	3736.769	868.695	999.099	3791.15	3812.823	3788.98	913.931	887.866	3762.78	855.908	956.125	3872.607	3778.988	1008.747	900.384	3590.568	955.497	3835.117	3794.027	3806.45	1001.303	3729.724	500.702	914.135	3875.64	945.597	3796.071	3805.478	906.456	832.617	3730.994	658.052	1127.958	3732.61	1214.713	4139.67	3727.532	1336.738	858.948	3732.275	4141.153	1822.395	4299.222	4016.96	3999.743	1326.847	
SHH_WT_models32291.py	470.361	482.02	3885.908	3767.089	3923.145	434.921	3832.09	464.572	757.299	911.082	4116.735	923.543	321.833	0.0	643.871	487.259	685.543	3827.565	4237.169	644.158	668.347	536.541	3869.04	466.332	3874.863	864.543	3792.825	3765.762	3840.226	3819.552	3898.865	3763.016	619.002	3998.556	499.923	3842.471	712.539	3912.657	3771.612	3878.929	352.042	703.883	744.229	651.257	3774.013	719.34	876.557	616.119	3762.974	664.875	826.966	3814.189	3828.476	3825.852	721.592	684.313	3786.692	673.694	751.853	3896.352	3796.583	861.726	722.808	3653.583	830.455	3858.295	3822.236	3823.091	802.358	3758.471	488.838	752.424	3906.126	779.235	3819.077	3835.02	715.009	658.167	3758.767	521.784	1156.514	3755.849	1255.814	4210.476	3797.979	1317.42	750.783	3752.566	4200.983	1878.467	4351.638	4073.606	4056.122	1315.23	
SHH_WT_models30093.py	666.405	758.15	3936.658	3833.077	3931.033	830.542	3825.051	608.892	505.579	751.124	4073.045	682.091	834.199	643.871	0.0	838.493	304.931	3824.089	4159.362	482.951	323.874	695.527	3875.656	336.425	3885.853	693.297	3788.147	3829.974	3841.957	3799.886	3903.01	3831.931	311.384	3986.501	860.547	3902.311	413.926	3892.423	3780.337	3887.112	542.124	409.545	432.345	411.334	3794.683	452.789	549.408	281.558	3788.224	388.724	455.092	3848.27	3825.164	3862.288	554.395	380.561	3812.916	493.141	352.873	3894.057	3802.218	530.758	494.653	3723.866	513.599	3841.078	3821.248	3825.335	531.616	3789.85	760.606	435.871	3873.928	401.987	3848.53	3844.072	472.826	454.232	3781.0	606.712	1276.819	3794.771	1416.496	4233.502	3866.022	1271.845	565.694	3765.536	4210.962	1872.566	4323.514	4105.548	4090.809	1266.297	
SHH_WT_models27032.py	658.851	386.142	3827.124	3697.221	3869.942	531.104	3776.639	542.673	973.067	960.516	4040.594	965.664	467.179	487.259	838.493	0.0	939.932	3790.191	4198.522	697.282	850.757	502.64	3826.517	769.888	3812.898	767.68	3750.692	3703.497	3791.875	3780.24	3851.93	3698.357	872.895	3947.467	367.903	3768.901	873.54	3874.872	3733.739	3835.776	720.931	874.397	866.131	803.481	3741.49	849.746	959.625	828.66	3724.227	864.779	1025.543	3760.075	3799.485	3787.373	846.635	924.23	3742.948	803.783	1025.21	3854.788	3755.519	839.264	802.161	3589.84	803.468	3820.659	3782.01	3795.908	925.382	3724.319	577.395	833.231	3864.885	955.997	3766.542	3784.92	964.131	939.764	3722.894	835.522	1062.824	3716.998	1157.355	4135.827	3720.664	1292.836	719.676	3714.239	4134.56	1603.195	4293.368	4002.786	3986.825	1313.716	
SHH_WT_models5926.py	654.528	845.432	3999.122	3913.937	3978.491	832.039	3880.771	626.655	355.866	710.495	4116.352	669.425	880.41	685.543	304.931	939.932	0.0	3874.91	4162.905	609.382	468.977	714.663	3928.787	381.999	3942.394	828.178	3845.209	3908.395	3901.819	3854.408	3956.114	3910.239	399.998	4026.456	975.612	3974.61	532.091	3935.576	3839.933	3941.222	601.007	543.494	611.265	574.051	3852.785	590.322	570.747	313.502	3851.901	522.576	286.242	3909.616	3874.276	3918.758	629.319	312.047	3877.65	586.341	327.222	3943.873	3859.375	725.398	666.443	3803.795	668.918	3892.132	3878.606	3877.48	641.893	3850.867	773.233	636.363	3913.64	591.868	3915.264	3906.215	604.452	547.791	3841.608	687.303	1310.93	3860.555	1421.686	4294.657	3944.851	1255.729	776.458	3826.527	4261.505	1934.986	4364.38	4166.744	4153.382	1246.29	
SHH_WT_models40865.py	3867.959	3752.457	887.457	858.73	698.439	3808.366	509.939	3808.648	3876.202	3861.712	1342.673	3842.724	3801.175	3827.565	3824.089	3790.191	3874.91	0.0	1380.65	3804.459	3785.105	3847.336	346.75	3813.621	585.157	3765.955	436.668	818.395	427.36	323.794	343.899	962.388	3810.657	534.711	3741.92	945.201	3729.979	409.636	423.511	402.681	3792.503	3743.517	3760.841	3727.161	485.591	3767.33	3821.01	3855.652	485.648	3761.878	3897.663	596.391	439.599	585.998	3777.421	3916.148	480.712	3797.449	3852.298	408.501	510.424	3727.213	3739.028	936.061	3779.495	369.197	335.031	527.065	3777.857	514.042	3864.688	3772.376	446.838	3752.692	622.596	456.294	3750.691	3767.94	477.884	3731.717	4000.64	604.376	4057.09	1405.743	1064.547	4148.313	3721.848	564.103	1260.036	4054.791	1652.074	1267.503	1264.552	4118.726	
SHH_WT_models1811.py	4161.392	4139.885	1254.12	1473.858	982.472	4188.641	1191.806	4164.689	4115.335	4047.374	675.655	4041.38	4234.771	4237.169	4159.362	4198.522	4162.905	1380.65	0.0	4147.227	4132.709	4197.114	1446.256	4178.97	1370.204	4067.512	1429.783	1552.941	1453.514	1357.847	1418.162	1673.458	4190.145	1324.711	4187.787	1389.183	4096.062	1455.82	1576.952	1533.384	4222.978	4105.806	4120.438	4114.52	1554.335	4134.119	4078.391	4206.984	1681.501	4153.139	4160.266	1539.566	1496.451	1639.315	4156.762	4223.248	1622.464	4171.249	4193.704	1483.391	1544.462	4087.248	4112.952	1676.577	4098.173	1531.383	1532.029	1549.892	4152.378	1694.324	4268.122	4118.324	1268.506	4138.634	1624.112	1570.55	4162.25	4172.921	1625.047	4186.903	4373.228	1721.187	4383.086	1356.197	1593.544	4431.49	4115.622	1651.798	1419.116	4247.177	1145.02	1523.087	1555.136	4421.138	
SHH_WT_models49440.py	782.277	632.135	3895.485	3786.148	3886.848	695.366	3793.55	544.117	724.073	754.705	4020.366	738.451	815.344	644.158	482.951	697.282	609.382	3804.459	4147.227	0.0	384.864	514.255	3837.607	579.775	3818.171	682.439	3746.914	3778.988	3792.431	3773.904	3863.614	3786.933	474.08	3946.594	759.351	3828.659	475.086	3867.976	3744.189	3853.688	661.199	383.689	360.719	411.473	3762.691	334.08	535.205	495.538	3751.556	401.063	683.131	3778.673	3797.208	3835.483	305.254	572.128	3762.158	308.787	604.655	3859.687	3759.1	474.819	380.235	3687.749	552.554	3823.124	3797.371	3789.463	330.388	3762.112	675.764	410.022	3855.265	639.447	3779.954	3796.68	520.659	640.639	3748.043	774.631	1146.801	3747.033	1252.188	4189.838	3808.892	1236.888	619.149	3716.959	4174.326	1825.976	4311.457	4042.692	4028.273	1252.845	
SHH_WT_models38204.py	769.691	715.657	3893.58	3800.266	3887.514	799.412	3794.115	626.997	645.598	748.267	4040.351	702.994	852.877	668.347	323.874	850.757	468.977	3785.105	4132.709	384.864	0.0	691.037	3822.363	464.8	3841.192	716.468	3748.263	3787.999	3797.007	3759.704	3852.462	3803.071	336.671	3938.134	891.268	3857.183	342.179	3844.843	3740.485	3839.673	573.648	238.067	257.215	284.615	3751.247	308.556	496.999	405.654	3748.039	286.32	594.667	3799.092	3782.017	3819.89	405.628	497.714	3760.025	451.907	463.0	3843.008	3758.297	457.371	398.756	3693.013	472.628	3800.366	3782.454	3774.518	400.077	3749.491	805.25	343.506	3835.047	468.299	3793.663	3795.692	362.323	448.822	3733.169	649.04	1265.291	3750.554	1391.879	4205.08	3829.044	1318.254	580.351	3714.742	4183.104	1919.717	4307.143	4075.496	4060.905	1321.142	
SHH_WT_models45114.py	669.933	518.282	3911.824	3795.005	3913.15	419.338	3823.321	351.386	733.037	783.367	4059.659	760.354	588.949	536.541	695.527	502.64	714.663	3847.336	4197.114	514.255	691.037	0.0	3885.484	681.581	3852.909	783.604	3790.981	3791.36	3840.859	3822.698	3916.451	3788.4	715.634	4003.585	597.918	3840.914	733.134	3925.762	3783.618	3902.875	691.773	727.926	755.525	714.026	3798.293	704.97	731.336	644.71	3784.24	731.554	732.654	3810.477	3843.959	3862.214	633.97	696.714	3806.168	578.594	824.45	3915.592	3796.234	790.155	744.381	3680.336	739.057	3876.026	3839.632	3839.893	735.146	3796.207	407.922	748.457	3898.293	919.996	3820.519	3837.435	824.423	866.215	3788.753	868.272	998.332	3778.311	1059.28	4214.465	3796.62	1130.812	814.261	3762.582	4206.064	1709.143	4353.61	4046.586	4032.22	1154.644	
SHH_WT_models13608.py	3925.161	3789.315	863.889	867.885	749.714	3843.344	683.008	3854.914	3933.337	3920.199	1442.539	3897.255	3842.527	3869.04	3875.656	3826.517	3928.787	346.75	1446.256	3837.607	3822.363	3885.484	0.0	3863.57	541.143	3820.768	474.212	830.832	410.655	412.535	260.89	946.574	3855.731	400.869	3773.972	872.224	3776.095	285.274	432.433	265.247	3835.566	3782.084	3796.505	3767.69	388.549	3804.0	3865.621	3906.31	432.465	3800.155	3949.46	475.743	380.968	518.284	3802.593	3962.501	327.799	3826.017	3901.058	308.033	485.318	3765.73	3778.832	996.089	3827.466	381.841	471.407	385.39	3804.533	472.161	3899.379	3809.364	502.19	3804.897	449.575	476.819	3780.887	3814.252	400.185	3778.191	4036.231	525.115	4091.522	1412.294	1078.34	4195.402	3770.808	448.243	1271.222	4116.886	1721.518	1288.462	1272.702	4170.824	
SHH_WT_models21025.py	518.988	701.678	3906.178	3802.635	3921.471	716.223	3825.574	556.273	530.988	813.281	4098.31	799.252	672.553	466.332	336.425	769.888	381.999	3813.621	4178.97	579.775	464.8	681.581	3863.57	0.0	3881.535	777.722	3783.932	3794.617	3835.941	3802.826	3892.341	3795.155	405.399	3987.784	777.977	3874.449	516.283	3891.261	3767.769	3875.236	368.449	489.903	565.372	508.505	3773.923	574.066	693.363	380.863	3768.779	459.755	569.698	3828.577	3815.513	3830.023	632.592	461.1	3789.002	574.386	428.606	3887.57	3793.823	703.978	594.143	3685.574	686.766	3839.259	3814.28	3812.907	629.842	3760.159	660.226	568.032	3875.303	486.06	3832.341	3837.887	529.901	411.159	3754.582	409.477	1269.247	3771.524	1390.054	4228.218	3830.828	1296.513	648.694	3751.856	4207.162	1930.807	4331.937	4094.576	4076.429	1283.858	
SHH_WT_models10580.py	3947.547	3794.991	927.433	814.629	666.747	3832.517	529.655	3841.435	3945.04	3924.625	1196.23	3902.22	3851.674	3874.863	3885.853	3812.898	3942.394	585.157	1370.204	3818.171	3841.192	3852.909	541.143	3881.535	0.0	3823.982	398.614	823.205	359.158	504.122	571.18	880.065	3856.637	572.555	3758.576	731.987	3793.282	642.801	458.604	612.487	3848.958	3800.229	3808.855	3780.082	566.302	3803.417	3862.367	3902.468	520.393	3812.083	3952.255	327.215	587.589	803.651	3786.846	3959.003	581.093	3800.005	3908.444	641.481	430.81	3769.056	3779.52	953.877	3837.329	665.267	617.452	609.636	3791.658	719.035	3867.205	3819.745	646.12	3836.032	450.791	508.242	3796.54	3846.895	693.622	3809.722	4001.99	566.106	4054.533	1323.781	981.124	4156.825	3779.32	554.759	1220.155	4094.745	1645.895	1066.286	1056.931	4136.262	
