	Six_mouse_models37455.py	Six_mouse_models20174.py	Six_mouse_models38690.py	Six_mouse_models10811.py	Six_mouse_models15117.py	Six_mouse_models24968.py	Six_mouse_models918.py	Six_mouse_models36618.py	Six_mouse_models12314.py	Six_mouse_models22789.py	Six_mouse_models8863.py	Six_mouse_models24535.py	Six_mouse_models39421.py	Six_mouse_models23566.py	Six_mouse_models27791.py	Six_mouse_models36432.py	Six_mouse_models30179.py	Six_mouse_models12750.py	Six_mouse_models8255.py	Six_mouse_models49893.py	Six_mouse_models23222.py	Six_mouse_models17756.py	Six_mouse_models48513.py	Six_mouse_models24703.py	Six_mouse_models31015.py	Six_mouse_models11370.py	Six_mouse_models7247.py	Six_mouse_models6364.py	Six_mouse_models49081.py	Six_mouse_models18368.py	Six_mouse_models28062.py	Six_mouse_models33861.py	Six_mouse_models14178.py	Six_mouse_models36715.py	Six_mouse_models4575.py	Six_mouse_models24482.py	Six_mouse_models25136.py	Six_mouse_models14262.py	Six_mouse_models44251.py	Six_mouse_models48573.py	Six_mouse_models38755.py	Six_mouse_models655.py	Six_mouse_models2564.py	Six_mouse_models25663.py	Six_mouse_models13801.py	Six_mouse_models20327.py	Six_mouse_models9268.py	Six_mouse_models23848.py	Six_mouse_models19966.py	Six_mouse_models2110.py	Six_mouse_models24016.py	Six_mouse_models23833.py	Six_mouse_models26036.py	Six_mouse_models9042.py	Six_mouse_models44717.py	Six_mouse_models25959.py	Six_mouse_models20817.py	Six_mouse_models10289.py	Six_mouse_models30124.py	Six_mouse_models9465.py	Six_mouse_models32.py	Six_mouse_models43061.py	Six_mouse_models24027.py	Six_mouse_models43439.py	Six_mouse_models32878.py	Six_mouse_models18683.py	Six_mouse_models17239.py	Six_mouse_models18082.py	Six_mouse_models23837.py	Six_mouse_models24115.py	Six_mouse_models42115.py	Six_mouse_models12693.py	Six_mouse_models469.py	Six_mouse_models20897.py	Six_mouse_models13033.py	Six_mouse_models38578.py	Six_mouse_models46556.py	Six_mouse_models2070.py	Six_mouse_models17178.py	Six_mouse_models4952.py	Six_mouse_models3269.py	Six_mouse_models4128.py	Six_mouse_models49270.py	Six_mouse_models45856.py	Six_mouse_models39041.py	Six_mouse_models9617.py	Six_mouse_models380.py	Six_mouse_models4407.py	Six_mouse_models22040.py	Six_mouse_models48086.py	Six_mouse_models5551.py	Six_mouse_models28097.py	Six_mouse_models40464.py	Six_mouse_models25517.py	Six_mouse_models5535.py	Six_mouse_models33140.py	Six_mouse_models36748.py	Six_mouse_models24474.py	Six_mouse_models19402.py	Six_mouse_models28226.py	Six_mouse_models31826.py	Six_mouse_models3490.py	Six_mouse_models25955.py	Six_mouse_models10170.py	Six_mouse_models16824.py	Six_mouse_models45064.py	Six_mouse_models10486.py	Six_mouse_models16162.py	Six_mouse_models38863.py	Six_mouse_models15504.py	Six_mouse_models11017.py	Six_mouse_models26179.py	Six_mouse_models47608.py	Six_mouse_models28537.py	Six_mouse_models36339.py	Six_mouse_models44324.py	Six_mouse_models34148.py	Six_mouse_models48880.py	Six_mouse_models43457.py	Six_mouse_models18305.py	Six_mouse_models12049.py	Six_mouse_models26804.py	Six_mouse_models34188.py	Six_mouse_models26653.py	Six_mouse_models1007.py	Six_mouse_models27183.py	Six_mouse_models49851.py	Six_mouse_models40438.py	Six_mouse_models41648.py	Six_mouse_models29270.py	Six_mouse_models2970.py	Six_mouse_models433.py	Six_mouse_models2596.py	Six_mouse_models46861.py	Six_mouse_models9475.py	Six_mouse_models3660.py	Six_mouse_models35271.py	Six_mouse_models4828.py	Six_mouse_models43407.py	Six_mouse_models33559.py	Six_mouse_models436.py	Six_mouse_models19407.py	Six_mouse_models4411.py	Six_mouse_models41645.py	Six_mouse_models24658.py	Six_mouse_models35416.py	Six_mouse_models17088.py	Six_mouse_models15222.py	Six_mouse_models40675.py	Six_mouse_models28548.py	Six_mouse_models44200.py	Six_mouse_models749.py	Six_mouse_models25281.py	Six_mouse_models29151.py	Six_mouse_models39562.py	Six_mouse_models18989.py	Six_mouse_models39307.py	Six_mouse_models27280.py	Six_mouse_models45447.py	Six_mouse_models49200.py	Six_mouse_models8909.py	Six_mouse_models46675.py	Six_mouse_models10710.py	Six_mouse_models677.py	Six_mouse_models37595.py	Six_mouse_models44792.py	Six_mouse_models35625.py	Six_mouse_models47451.py	Six_mouse_models48604.py	Six_mouse_models39401.py	Six_mouse_models21704.py	Six_mouse_models8585.py	Six_mouse_models33993.py	Six_mouse_models16182.py	Six_mouse_models39436.py	Six_mouse_models48847.py	Six_mouse_models21597.py	Six_mouse_models30079.py	Six_mouse_models14974.py	Six_mouse_models19283.py	Six_mouse_models4772.py	Six_mouse_models7712.py	Six_mouse_models14155.py	Six_mouse_models39349.py	Six_mouse_models43352.py	Six_mouse_models36290.py	Six_mouse_models26931.py	Six_mouse_models49815.py	Six_mouse_models9766.py	Six_mouse_models46973.py	Six_mouse_models33238.py	Six_mouse_models29317.py	Six_mouse_models22723.py	Six_mouse_models32887.py	Six_mouse_models23955.py	Six_mouse_models23349.py	Six_mouse_models48145.py	Six_mouse_models47029.py	Six_mouse_models1439.py	Six_mouse_models23784.py	
Six_mouse_models49081.py	2231.649	868.492	2260.905	2228.224	2255.074	541.706	2302.33	2192.032	2292.045	2228.555	452.098	2237.074	2235.101	832.998	554.723	576.29	613.814	831.321	482.354	544.658	2218.714	603.074	243.628	575.53	2220.016	2185.099	484.179	2233.365	0.0	488.489	2215.85	806.367	2216.551	2246.501	542.186	2276.193	842.756	457.776	476.764	2298.456	2224.047	284.563	379.91	261.193	2164.719	464.556	2251.018	2225.619	2254.644	2218.114	534.666	2274.155	2167.089	582.245	2158.872	2296.145	837.723	2269.457	302.099	2298.762	442.748	832.629	2267.401	2209.787	207.217	2185.455	2215.84	2252.718	464.495	2238.119	2171.306	517.663	2242.66	586.921	2291.697	2223.481	247.903	579.868	283.878	388.21	659.988	610.555	2204.64	630.431	260.359	2197.927	2208.665	572.433	636.145	2243.69	651.345	361.354	2293.845	554.128	2275.469	2152.163	693.783	590.265	495.04	439.799	504.065	2277.249	2257.422	565.235	848.374	2188.304	538.606	2176.625	2267.671	708.938	614.575	2260.245	542.755	509.526	2300.135	2280.581	2263.509	550.737	2310.48	2158.476	451.532	478.268	2150.429	895.515	480.49	2272.162	2187.834	532.975	521.868	2191.212	2289.907	2260.167	2195.288	2314.988	2192.229	588.288	2226.435	829.002	302.06	2281.464	2235.21	2128.923	2218.857	536.143	524.499	2299.075	428.626	2262.277	2260.373	579.972	552.883	2196.543	2193.182	2235.598	591.665	507.466	2239.542	2255.97	2229.431	650.626	2185.667	543.599	2227.581	653.894	2257.604	2206.026	2250.376	2182.045	2258.892	2189.006	820.964	592.924	920.68	2289.78	2163.053	848.227	594.796	590.873	487.209	580.01	2218.076	2262.303	454.22	2156.677	528.364	2195.654	2233.384	2226.507	2136.298	513.81	2254.875	550.686	2258.863	2248.154	2267.895	2227.808	2220.476	2234.069	366.977	589.708	
Six_mouse_models18368.py	2285.359	831.006	2196.969	2294.344	2221.066	259.465	2321.397	2222.884	2224.178	2168.655	224.36	2192.489	2178.276	892.882	220.509	405.062	396.728	939.438	303.469	372.709	2184.6	394.774	443.343	428.817	2176.186	2212.419	292.978	2184.025	488.489	0.0	2173.946	886.856	2153.585	2290.881	305.436	2221.51	785.025	299.676	208.095	2219.377	2287.438	459.407	521.252	553.822	2194.242	315.803	2192.369	2179.953	2201.589	2175.02	286.669	2220.508	2198.988	316.419	2181.199	2247.405	957.131	2266.018	489.608	2237.749	297.777	857.708	2210.21	2177.257	459.063	2244.801	2173.072	2201.636	347.595	2199.313	2197.202	206.892	2183.986	466.005	2241.784	2162.892	516.974	420.721	542.691	272.043	517.672	470.025	2152.865	447.592	543.514	2157.69	2167.152	646.596	499.941	2197.27	530.87	326.102	2223.392	441.356	2343.135	2178.589	774.002	434.643	340.828	379.469	399.463	2241.424	2193.626	379.877	844.02	2213.708	375.928	2130.408	2228.428	545.073	473.63	2311.06	333.525	363.905	2240.487	2315.258	2224.864	305.676	2237.005	2203.378	362.276	658.432	2186.075	1000.015	295.323	2216.99	2158.072	364.537	319.297	2255.396	2226.15	2193.647	2170.967	2268.897	2160.834	443.439	2176.997	923.307	536.748	2232.321	2193.084	2148.446	2169.1	354.817	623.17	2242.252	654.218	2253.734	2206.773	486.795	427.968	2255.716	2209.01	2180.709	426.027	351.558	2199.719	2216.577	2262.395	575.675	2149.718	316.191	2191.655	489.49	2229.714	2153.61	2258.33	2134.077	2326.139	2163.052	851.554	498.957	1006.947	2228.759	2198.991	944.143	394.505	443.633	329.478	520.29	2260.462	2226.735	664.998	2189.183	404.787	2244.299	2188.125	2178.02	2187.473	375.9	2293.818	446.365	2214.28	2222.466	2230.116	2263.381	2163.571	2212.327	558.609	507.841	
Six_mouse_models28062.py	921.903	2301.359	412.953	920.56	424.233	2210.01	886.688	474.289	433.65	227.405	2196.478	226.924	275.515	2344.014	2194.628	2234.086	2244.308	2263.654	2189.711	2230.848	339.292	2244.744	2220.947	2239.29	171.527	521.165	2184.072	150.396	2215.85	2173.946	0.0	2265.616	256.47	855.412	2209.463	389.218	2279.133	2196.826	2176.613	554.318	898.018	2205.545	2251.466	2194.793	526.99	2168.266	347.881	369.092	329.556	127.7	2200.81	330.515	489.351	2211.142	504.11	493.785	2241.824	824.795	2210.569	553.751	2183.6	2262.164	361.431	158.13	2213.037	854.367	178.716	212.847	2198.811	222.867	499.268	2174.021	383.267	2256.014	471.902	341.458	2195.233	2212.078	2259.814	2204.312	2271.563	2251.093	250.966	2244.58	2196.316	175.612	244.748	2291.454	2267.762	257.328	2274.153	2205.975	529.459	2241.079	1018.352	517.685	2195.846	2213.272	2189.186	2256.684	2206.405	426.28	465.872	2188.231	2264.233	466.636	2212.506	298.892	508.495	2262.426	2221.335	997.835	2207.718	2195.998	607.324	827.433	438.11	2196.063	572.177	773.322	2217.574	2246.005	466.306	2273.869	2172.505	510.832	199.519	2172.568	2208.242	931.278	533.724	466.523	371.322	888.871	219.555	2243.178	462.162	2243.978	2211.012	525.796	406.903	539.07	335.911	2219.154	2257.752	499.646	2232.267	769.485	484.47	2247.547	2211.913	917.34	549.335	251.929	2197.382	2154.484	277.266	421.888	647.838	2296.483	247.231	2186.42	275.739	2251.043	440.39	328.678	499.947	275.542	960.774	227.574	2243.867	2260.059	2281.14	525.4	487.749	2253.767	2191.077	2212.201	2163.946	2261.941	627.793	473.176	2207.921	583.497	2193.802	815.023	435.939	309.186	771.632	2145.66	1032.699	2203.448	477.873	416.183	508.657	657.772	248.52	420.218	2170.615	2184.27	
Six_mouse_models33861.py	2258.813	600.552	2345.004	2260.035	2352.586	936.656	2304.379	2272.811	2382.105	2307.581	859.471	2298.908	2311.602	580.286	937.599	960.902	982.878	704.308	842.505	958.809	2312.049	976.677	841.494	936.668	2276.767	2271.429	831.516	2282.174	806.367	886.856	2265.616	0.0	2283.964	2254.856	872.008	2346.288	579.45	810.988	864.786	2394.045	2246.615	816.821	940.746	834.784	2248.758	835.445	2331.749	2335.798	2298.809	2265.241	953.99	2333.487	2245.252	927.367	2217.889	2360.489	518.811	2248.169	859.572	2381.45	822.016	298.203	2325.272	2261.407	827.744	2188.338	2268.109	2317.743	861.571	2274.72	2252.907	922.847	2315.882	979.415	2353.461	2314.181	853.101	972.323	858.273	824.169	1040.401	1011.449	2264.087	979.605	874.378	2239.37	2263.46	1012.762	1004.291	2287.711	1044.671	834.826	2379.762	893.629	2320.62	2223.742	826.78	959.026	816.723	923.136	817.921	2315.709	2358.136	838.704	348.594	2250.324	828.087	2254.178	2332.597	1060.999	943.117	2290.1	869.212	800.866	2392.481	2263.626	2320.038	933.822	2412.896	2252.928	909.725	973.677	2228.625	798.696	870.247	2359.98	2223.625	850.278	884.089	2220.455	2355.439	2364.978	2306.452	2279.729	2247.912	902.497	2318.522	500.016	894.903	2350.67	2282.154	2194.707	2270.03	954.483	963.995	2344.172	946.899	2267.648	2314.74	936.773	807.85	2221.978	2242.815	2267.905	942.249	811.404	2267.765	2292.399	2290.712	1025.233	2238.602	862.225	2262.565	970.666	2293.873	2290.395	2304.795	2253.316	2296.769	2224.405	621.943	988.6	770.524	2370.627	2223.193	505.759	967.27	984.843	839.595	958.061	2270.544	2301.891	928.564	2209.431	780.859	2292.055	2295.295	2266.312	2222.925	796.783	2280.012	825.838	2303.203	2292.884	2323.721	2269.816	2272.111	2281.566	867.96	922.471	
Six_mouse_models14178.py	931.933	2306.21	353.784	950.536	436.776	2195.843	902.234	515.431	395.964	233.208	2184.862	318.774	275.135	2344.396	2174.03	2224.189	2223.891	2267.231	2182.314	2220.834	360.445	2222.263	2202.375	2231.889	243.807	498.085	2178.367	264.123	2216.551	2153.585	256.47	2283.964	0.0	879.561	2190.207	407.281	2278.355	2193.355	2160.448	495.894	935.4	2188.628	2232.481	2191.362	517.512	2168.138	313.68	351.716	309.546	254.542	2178.735	376.362	473.542	2192.332	485.631	499.511	2246.713	827.408	2197.862	522.575	2180.221	2269.439	354.447	316.932	2203.864	883.507	281.87	322.761	2187.235	329.62	486.718	2156.315	355.456	2252.227	436.347	281.427	2190.804	2200.936	2259.619	2190.914	2252.085	2229.008	269.174	2226.989	2190.234	256.236	309.473	2268.468	2253.392	313.413	2256.893	2192.178	542.558	2233.665	1049.497	492.626	2178.812	2204.447	2186.359	2250.402	2207.204	493.456	336.492	2183.206	2263.873	466.788	2205.179	332.496	535.263	2242.558	2216.514	998.539	2189.903	2189.458	578.243	867.078	461.456	2174.96	517.049	789.453	2200.174	2237.494	501.968	2275.827	2162.365	507.958	367.017	2165.548	2196.506	964.726	503.685	445.791	373.248	847.399	375.276	2238.53	435.16	2252.581	2202.824	494.142	417.027	506.527	356.986	2193.261	2243.433	538.234	2231.054	759.512	450.685	2239.257	2209.777	944.88	548.474	283.106	2185.775	2150.141	340.856	466.52	639.514	2281.249	363.38	2170.967	313.668	2235.741	513.809	281.503	557.309	294.323	1003.495	411.27	2243.717	2253.687	2279.825	481.902	508.541	2260.412	2178.83	2207.82	2155.576	2259.868	640.492	494.84	2206.237	607.567	2196.735	842.165	433.678	336.718	804.544	2142.086	1026.372	2206.727	460.482	490.346	531.257	667.088	238.929	515.588	2156.144	2186.816	
Six_mouse_models36715.py	470.151	2299.954	982.392	529.363	942.297	2356.82	442.275	863.259	997.7	870.804	2289.952	917.616	921.121	2291.752	2317.764	2337.499	2379.66	2225.02	2280.867	2361.077	895.302	2337.9	2241.786	2332.526	874.225	847.545	2278.313	872.574	2246.501	2290.881	855.412	2254.856	879.561	0.0	2282.187	970.894	2272.489	2279.391	2274.131	1072.215	242.125	2213.938	2279.603	2199.951	848.592	2285.37	968.301	911.96	892.786	862.685	2288.533	944.921	817.465	2373.464	793.932	1010.676	2201.527	450.613	2238.909	1041.104	2271.538	2237.706	948.944	863.374	2237.314	368.383	858.478	909.073	2299.192	884.171	823.115	2287.352	965.616	2385.352	962.322	900.784	2222.388	2311.766	2288.274	2272.004	2374.268	2340.893	837.96	2331.342	2201.497	829.559	867.219	2305.164	2351.801	886.415	2384.087	2299.109	1067.004	2322.461	669.5	805.091	2226.485	2321.351	2282.217	2345.943	2285.8	963.489	991.698	2274.143	2245.081	786.48	2287.371	883.515	1032.528	2369.88	2306.637	582.089	2289.198	2256.426	1085.655	371.154	948.213	2284.511	1023.605	624.448	2267.169	2254.932	786.622	2264.517	2298.696	1035.285	869.632	2243.677	2301.496	305.533	1029.944	981.3	822.804	742.82	861.855	2330.437	973.926	2206.535	2218.075	1005.908	967.248	778.221	916.21	2310.925	2270.591	1008.578	2236.234	520.271	1002.911	2310.902	2284.874	319.338	846.168	855.304	2277.653	2240.455	869.393	940.258	945.733	2376.916	832.997	2281.087	854.067	2318.848	969.169	890.54	940.109	875.758	582.257	852.287	2205.407	2359.111	2255.18	1020.294	758.33	2214.889	2317.322	2323.195	2255.035	2335.727	915.4	996.064	2206.688	847.332	2284.327	679.191	952.242	874.244	603.882	2229.434	713.746	2289.938	969.916	954.941	1006.949	919.85	875.723	961.067	2170.997	2253.096	
Six_mouse_models4575.py	2284.008	801.245	2237.435	2297.378	2263.157	385.761	2320.646	2265.961	2266.515	2213.011	295.019	2238.259	2217.242	846.889	311.691	330.162	461.907	964.356	260.4	467.995	2237.878	299.292	450.446	312.41	2215.136	2254.802	217.275	2217.672	542.186	305.436	2209.463	872.008	2190.207	2282.187	0.0	2257.86	760.389	221.401	254.395	2245.811	2274.68	423.522	526.508	533.772	2231.275	441.127	2239.014	2235.176	2236.06	2206.905	326.437	2260.038	2237.504	514.458	2205.545	2283.508	950.505	2268.688	527.856	2281.946	318.7	843.544	2246.33	2216.109	489.798	2245.253	2206.314	2240.356	448.837	2233.115	2238.454	305.481	2238.383	464.846	2277.973	2217.846	574.316	504.959	546.424	331.696	541.843	492.717	2188.615	410.369	573.61	2187.399	2203.325	588.842	447.42	2230.5	548.64	499.518	2255.908	324.092	2344.255	2208.622	787.791	508.711	293.226	442.008	317.031	2270.158	2246.403	222.984	807.377	2241.767	205.887	2178.956	2270.181	541.425	436.682	2309.714	218.78	186.467	2286.808	2314.145	2268.264	327.439	2277.059	2212.49	371.559	643.837	2231.906	1003.722	487.577	2271.725	2192.639	252.73	230.193	2250.874	2264.315	2235.772	2223.375	2270.919	2201.895	304.373	2227.632	933.518	573.757	2278.777	2224.423	2172.88	2208.252	427.348	558.24	2272.232	655.668	2253.408	2246.104	461.666	293.043	2246.507	2236.613	2216.746	417.061	325.464	2223.236	2246.895	2291.654	517.046	2190.774	286.685	2222.446	410.258	2265.715	2208.416	2295.142	2181.242	2324.861	2198.704	862.622	543.826	993.355	2272.235	2223.781	928.699	520.2	509.191	406.565	514.885	2289.534	2265.146	643.588	2223.021	287.732	2261.614	2228.067	2213.977	2191.42	345.861	2296.332	371.639	2252.29	2259.233	2280.522	2280.725	2194.045	2254.077	497.617	518.961	
Six_mouse_models24482.py	961.473	2360.172	251.527	947.065	216.163	2233.494	887.052	430.996	299.978	392.146	2250.127	305.221	259.397	2399.01	2227.774	2231.322	2233.992	2319.494	2236.939	2245.375	374.057	2240.767	2274.96	2248.103	403.444	570.746	2243.307	331.398	2276.193	2221.51	389.218	2346.288	407.281	970.894	2257.86	0.0	2348.854	2256.808	2230.235	319.658	983.693	2262.901	2280.565	2247.534	570.492	2226.055	376.524	437.113	417.387	381.728	2231.59	316.377	576.608	2242.948	580.98	357.643	2299.613	866.901	2254.762	408.265	2245.22	2336.712	268.901	463.958	2270.684	949.721	464.543	330.525	2239.984	420.329	537.504	2219.523	432.712	2247.226	412.854	459.152	2242.013	2256.73	2305.316	2265.552	2264.323	2260.206	480.635	2264.608	2248.798	475.079	389.841	2295.384	2269.202	340.001	2254.355	2248.194	236.617	2262.833	969.939	551.747	2254.208	2256.447	2244.842	2268.141	2272.442	396.88	453.504	2242.922	2351.106	522.036	2266.723	558.254	372.177	2251.963	2258.832	990.762	2256.963	2260.237	474.214	936.009	459.474	2239.201	428.042	839.168	2253.779	2288.476	608.704	2334.706	2223.571	454.281	484.399	2230.919	2251.519	1073.709	389.037	432.502	443.878	864.878	471.987	2265.674	421.925	2319.258	2265.873	441.782	381.27	674.603	428.325	2234.367	2286.093	385.504	2287.346	808.279	400.314	2283.411	2277.126	994.153	575.659	415.554	2247.746	2228.309	384.611	469.14	530.86	2267.315	555.051	2239.536	480.46	2278.176	499.466	468.496	442.131	503.282	931.318	515.612	2300.481	2281.93	2331.964	460.547	592.211	2319.946	2237.743	2248.337	2226.623	2298.786	587.439	403.295	2265.724	649.112	2258.076	870.73	530.189	458.24	864.45	2210.464	996.761	2262.352	488.299	419.421	408.23	585.14	445.421	508.066	2236.551	2247.452	
Six_mouse_models25136.py	2271.868	294.649	2332.362	2293.426	2357.284	809.366	2276.832	2333.251	2358.943	2308.043	766.144	2314.129	2323.567	400.99	806.277	799.424	808.729	543.319	773.676	796.917	2320.527	794.025	829.729	771.792	2289.213	2316.66	754.634	2287.883	842.756	785.025	2279.133	579.45	2278.355	2272.489	760.389	2348.854	0.0	752.561	790.275	2350.406	2279.889	824.878	858.469	841.715	2304.331	813.187	2337.771	2339.105	2292.325	2277.375	806.929	2331.835	2294.636	755.86	2271.061	2365.498	597.649	2228.769	867.068	2365.226	772.262	486.102	2331.191	2277.736	826.275	2230.295	2274.649	2327.578	823.293	2289.696	2295.268	798.428	2315.367	828.398	2354.49	2306.432	870.633	851.487	837.654	785.041	873.663	862.481	2261.111	834.465	850.625	2247.03	2267.625	911.986	846.361	2291.485	876.218	827.479	2354.49	743.353	2328.451	2271.768	703.648	855.855	769.338	799.796	729.82	2337.123	2344.07	757.787	513.54	2292.092	727.977	2254.897	2350.011	896.479	839.136	2304.162	770.413	729.336	2366.693	2281.122	2330.155	819.59	2379.071	2282.285	808.389	900.211	2279.7	621.195	810.594	2358.868	2242.182	768.417	750.725	2255.235	2348.312	2363.53	2316.247	2223.871	2263.524	751.419	2323.879	560.546	875.142	2345.641	2302.556	2235.543	2282.72	846.275	893.875	2322.872	906.135	2255.397	2322.688	832.131	718.267	2258.794	2300.826	2275.656	828.278	791.437	2280.847	2303.382	2361.274	876.99	2241.879	791.765	2268.609	821.535	2314.809	2289.709	2347.629	2246.53	2316.803	2243.937	560.293	861.129	632.372	2372.376	2280.712	579.358	846.107	860.296	822.043	853.658	2342.229	2317.964	899.38	2269.864	745.488	2316.592	2297.639	2273.674	2277.944	806.171	2290.507	750.549	2308.52	2319.585	2338.077	2339.586	2271.964	2305.907	841.295	863.57	
Six_mouse_models14262.py	2265.484	770.82	2234.888	2272.121	2254.333	348.143	2312.226	2246.892	2267.191	2207.018	237.65	2220.955	2214.985	846.809	317.678	351.784	510.814	924.532	235.204	426.644	2219.626	403.989	454.528	331.845	2203.149	2240.913	163.101	2207.337	457.776	299.676	2196.826	810.988	2193.355	2279.391	221.401	2256.808	752.561	0.0	221.991	2258.64	2264.556	432.071	530.322	513.654	2219.009	347.994	2228.201	2216.79	2233.118	2198.643	354.515	2250.173	2223.188	487.399	2205.158	2282.998	932.808	2262.078	522.493	2282.796	243.296	819.248	2244.021	2193.828	466.533	2228.537	2191.245	2224.839	424.157	2215.325	2227.804	280.709	2227.535	429.889	2283.573	2209.366	534.557	467.1	498.039	308.52	565.851	529.349	2190.929	441.698	545.504	2176.704	2195.376	643.413	450.857	2219.06	552.649	432.6	2255.44	322.191	2322.961	2204.582	786.668	483.27	257.3	379.35	205.635	2263.343	2243.814	235.723	789.885	2235.756	188.122	2159.255	2255.738	586.77	429.882	2301.802	296.79	150.661	2281.805	2302.241	2262.68	361.475	2286.337	2197.081	398.572	647.555	2211.95	983.205	412.1	2257.623	2168.762	205.679	239.991	2233.411	2267.904	2231.224	2211.641	2272.265	2185.045	292.45	2216.691	873.112	528.839	2275.901	2216.243	2174.165	2204.952	473.402	594.861	2263.668	612.861	2251.769	2242.677	451.893	216.625	2238.172	2234.884	2210.272	440.238	213.992	2219.983	2238.163	2286.186	550.466	2175.932	331.76	2217.157	427.973	2244.92	2202.217	2277.426	2170.655	2307.694	2178.49	835.129	491.797	994.497	2272.204	2221.838	891.27	493.581	457.911	362.423	464.161	2273.227	2252.686	629.796	2216.548	211.677	2239.969	2220.208	2210.846	2175.049	285.01	2283.003	304.729	2245.721	2243.34	2268.301	2275.496	2197.607	2230.639	514.6	468.053	
Six_mouse_models44251.py	2256.97	805.772	2200.182	2266.034	2225.566	278.558	2307.997	2224.901	2230.819	2174.933	195.262	2198.343	2187.343	902.984	246.847	362.551	450.651	946.614	278.102	399.846	2192.312	387.109	436.521	386.489	2176.38	2207.402	272.321	2185.629	476.764	208.095	2176.613	864.786	2160.448	2274.131	254.395	2230.235	790.275	221.991	0.0	2229.828	2266.755	443.976	507.555	557.549	2187.638	365.559	2193.555	2184.315	2200.218	2178.225	299.545	2224.891	2195.38	432.081	2179.432	2253.909	976.341	2254.657	535.341	2245.302	264.17	866.344	2218.976	2174.023	474.274	2224.606	2169.373	2202.726	437.56	2194.51	2195.251	200.311	2192.356	423.708	2247.932	2167.997	551.11	424.938	543.712	316.001	550.161	486.45	2163.808	415.379	562.954	2157.626	2168.588	638.303	452.501	2202.183	526.902	397.621	2229.732	373.165	2318.087	2182.084	788.583	451.261	347.151	373.43	322.771	2243.709	2200.955	346.022	834.973	2212.1	290.873	2131.083	2231.101	576.945	459.675	2285.35	356.099	300.648	2245.287	2297.591	2228.733	368.76	2244.312	2186.067	371.552	647.962	2185.108	1003.068	383.874	2218.018	2154.904	271.618	284.513	2228.366	2234.344	2207.02	2184.064	2256.683	2167.168	358.484	2179.895	921.272	536.684	2236.199	2192.386	2147.319	2182.419	430.468	606.287	2239.623	620.996	2236.093	2208.041	470.188	327.927	2237.564	2206.911	2183.682	406.057	295.334	2202.21	2213.149	2261.98	576.136	2152.9	360.417	2189.443	421.877	2221.317	2162.658	2257.082	2136.801	2306.162	2165.248	861.889	488.65	1026.981	2231.182	2198.477	954.847	419.359	438.489	359.255	482.781	2250.294	2225.051	639.748	2190.764	349.537	2221.626	2186.125	2187.198	2170.371	353.558	2265.066	385.149	2211.007	2222.395	2235.997	2256.861	2166.464	2207.941	547.316	487.642	
Six_mouse_models48573.py	1023.44	2371.468	274.829	1005.089	371.715	2217.68	972.915	555.162	236.388	545.124	2236.2	455.797	407.582	2377.988	2224.757	2201.809	2202.701	2358.725	2226.359	2216.084	542.706	2201.825	2275.692	2218.579	556.741	606.104	2245.075	500.278	2298.456	2219.377	554.318	2394.045	495.894	1072.215	2245.811	319.658	2350.406	2258.64	2229.828	0.0	1112.539	2279.449	2256.164	2271.527	627.084	2242.51	406.062	513.559	429.302	518.307	2230.438	404.747	637.624	2228.389	671.977	418.334	2356.741	940.252	2272.126	393.754	2242.659	2374.822	301.356	620.597	2279.707	1041.582	603.402	498.454	2242.243	505.039	591.694	2224.203	482.669	2204.547	466.699	519.915	2272.207	2249.593	2279.708	2264.832	2210.569	2222.398	648.651	2233.272	2272.44	625.708	571.31	2256.704	2234.09	470.875	2203.516	2248.763	285.532	2229.536	1040.021	658.56	2290.373	2246.005	2246.336	2235.605	2260.208	553.648	386.079	2239.131	2390.438	614.588	2256.868	703.595	475.76	2203.337	2244.837	1029.564	2246.449	2259.291	420.876	1029.631	564.509	2237.497	463.674	926.12	2240.76	2279.266	742.794	2385.3	2231.03	519.584	661.871	2244.12	2234.374	1189.445	384.215	498.27	626.147	831.345	684.06	2237.32	528.928	2372.945	2279.41	425.787	503.848	766.294	588.1	2213.285	2267.747	375.052	2297.444	828.3	442.092	2255.655	2268.713	1118.711	637.69	553.642	2238.408	2251.901	500.92	584.3	560.603	2207.936	730.369	2239.891	534.99	2253.153	593.279	575.612	593.886	628.115	1014.164	727.889	2340.646	2245.032	2376.835	481.443	697.907	2380.185	2235.767	2243.745	2240.019	2270.068	636.374	426.984	2288.348	749.308	2258.177	924.281	608.533	616.252	976.354	2233.026	1002.016	2245.843	535.778	586.71	475.499	645.299	541.881	657.295	2271.807	2261.141	
