	SHH_INV_models44728.py	SHH_INV_models16521.py	SHH_INV_models29114.py	SHH_INV_models19205.py	SHH_INV_models21231.py	SHH_INV_models41734.py	SHH_INV_models46024.py	SHH_INV_models38317.py	SHH_INV_models4783.py	SHH_INV_models17285.py	SHH_INV_models47949.py	SHH_INV_models9775.py	SHH_INV_models9343.py	SHH_INV_models44527.py	SHH_INV_models27324.py	SHH_INV_models48063.py	SHH_INV_models32989.py	SHH_INV_models12294.py	SHH_INV_models35185.py	SHH_INV_models41236.py	SHH_INV_models49623.py	SHH_INV_models41504.py	SHH_INV_models33250.py	SHH_INV_models11878.py	SHH_INV_models32588.py	SHH_INV_models4738.py	SHH_INV_models10603.py	SHH_INV_models46386.py	SHH_INV_models36367.py	SHH_INV_models31544.py	SHH_INV_models752.py	SHH_INV_models9934.py	SHH_INV_models12136.py	SHH_INV_models303.py	SHH_INV_models31360.py	SHH_INV_models37821.py	SHH_INV_models24877.py	SHH_INV_models26389.py	SHH_INV_models7085.py	SHH_INV_models4335.py	SHH_INV_models14218.py	SHH_INV_models7363.py	SHH_INV_models3889.py	SHH_INV_models42182.py	SHH_INV_models5675.py	SHH_INV_models27731.py	SHH_INV_models34635.py	SHH_INV_models11759.py	SHH_INV_models26656.py	SHH_INV_models16997.py	SHH_INV_models34908.py	SHH_INV_models23069.py	SHH_INV_models24075.py	SHH_INV_models1789.py	SHH_INV_models39397.py	SHH_INV_models19979.py	SHH_INV_models18336.py	SHH_INV_models44002.py	SHH_INV_models4565.py	SHH_INV_models33503.py	SHH_INV_models43247.py	SHH_INV_models27753.py	SHH_INV_models407.py	SHH_INV_models31807.py	SHH_INV_models2428.py	SHH_INV_models42632.py	SHH_INV_models23162.py	SHH_INV_models8993.py	SHH_INV_models35750.py	SHH_INV_models28130.py	SHH_INV_models46914.py	SHH_INV_models9435.py	SHH_INV_models30420.py	SHH_INV_models6283.py	SHH_INV_models49486.py	SHH_INV_models34488.py	SHH_INV_models43398.py	SHH_INV_models29109.py	SHH_INV_models15318.py	SHH_INV_models39520.py	SHH_INV_models10717.py	SHH_INV_models853.py	SHH_INV_models48219.py	SHH_INV_models2647.py	SHH_INV_models48908.py	SHH_INV_models368.py	SHH_INV_models9466.py	SHH_INV_models15230.py	SHH_INV_models44068.py	SHH_INV_models43522.py	SHH_INV_models15177.py	SHH_INV_models19031.py	SHH_INV_models39150.py	SHH_INV_models34346.py	SHH_INV_models9432.py	SHH_INV_models20110.py	SHH_INV_models15480.py	SHH_INV_models12007.py	SHH_INV_models34874.py	SHH_INV_models19526.py	SHH_INV_models25486.py	SHH_INV_models44933.py	SHH_INV_models35015.py	SHH_INV_models28526.py	SHH_INV_models13586.py	SHH_INV_models3099.py	SHH_INV_models8262.py	SHH_INV_models31200.py	SHH_INV_models23205.py	SHH_INV_models47621.py	SHH_INV_models22324.py	SHH_INV_models37826.py	SHH_INV_models763.py	SHH_INV_models15545.py	SHH_INV_models14303.py	SHH_INV_models20474.py	SHH_INV_models21021.py	SHH_INV_models29121.py	SHH_INV_models49468.py	SHH_INV_models12977.py	SHH_INV_models7749.py	SHH_INV_models35953.py	SHH_INV_models13243.py	SHH_INV_models34617.py	SHH_INV_models17609.py	SHH_INV_models16734.py	SHH_INV_models48431.py	SHH_INV_models32647.py	SHH_INV_models46709.py	SHH_INV_models41489.py	SHH_INV_models41662.py	SHH_INV_models32470.py	SHH_INV_models49367.py	SHH_INV_models10563.py	SHH_INV_models7413.py	SHH_INV_models43979.py	SHH_INV_models31285.py	SHH_INV_models13852.py	SHH_INV_models13110.py	SHH_INV_models6069.py	SHH_INV_models28719.py	SHH_INV_models46385.py	SHH_INV_models48188.py	SHH_INV_models45646.py	SHH_INV_models24452.py	SHH_INV_models31761.py	SHH_INV_models18693.py	SHH_INV_models8715.py	SHH_INV_models31246.py	SHH_INV_models4864.py	SHH_INV_models8640.py	SHH_INV_models17914.py	SHH_INV_models1242.py	SHH_INV_models29492.py	SHH_INV_models2093.py	SHH_INV_models43953.py	SHH_INV_models5998.py	SHH_INV_models25902.py	SHH_INV_models219.py	SHH_INV_models11501.py	SHH_INV_models16003.py	SHH_INV_models19930.py	SHH_INV_models38269.py	SHH_INV_models45486.py	SHH_INV_models10289.py	SHH_INV_models25286.py	SHH_INV_models14269.py	SHH_INV_models36537.py	SHH_INV_models20421.py	SHH_INV_models29262.py	SHH_INV_models23725.py	SHH_INV_models19816.py	SHH_INV_models10829.py	SHH_INV_models18000.py	SHH_INV_models35002.py	SHH_INV_models12621.py	SHH_INV_models47672.py	SHH_INV_models24874.py	SHH_INV_models41386.py	SHH_INV_models1146.py	SHH_INV_models48988.py	SHH_INV_models28974.py	SHH_INV_models9425.py	SHH_INV_models19215.py	SHH_INV_models8192.py	SHH_INV_models6414.py	SHH_INV_models23766.py	SHH_INV_models40758.py	SHH_INV_models32339.py	SHH_INV_models3097.py	SHH_INV_models23234.py	SHH_INV_models34009.py	SHH_INV_models13349.py	SHH_INV_models36972.py	SHH_INV_models2826.py	SHH_INV_models8594.py	SHH_INV_models35358.py	SHH_INV_models14491.py	SHH_INV_models48061.py	SHH_INV_models44526.py	
SHH_INV_models3889.py	3471.845	2247.045	2257.28	3461.332	3499.663	3480.613	2217.6	2181.626	2273.909	2299.308	3546.37	2258.981	2218.844	2305.144	2122.739	3554.204	2317.83	3562.985	2303.6	3554.613	2345.861	3548.096	3445.9	3374.499	3533.577	2341.402	3597.684	2367.108	2342.799	2314.837	3629.825	3585.606	3508.335	2480.511	2463.784	2444.463	3760.919	3793.636	2606.961	2614.67	399.362	2623.544	0.0	2645.159	2608.388	2664.9	394.175	2608.318	532.326	2584.198	2635.632	383.839	396.357	2617.06	2589.971	2592.925	2656.899	2601.359	2656.723	505.712	2599.666	542.562	2627.475	481.843	443.307	2610.633	2648.047	333.468	2656.079	469.132	2612.435	2676.052	412.088	2679.827	453.539	2595.373	2613.19	2590.093	481.937	525.674	407.143	2615.977	2624.594	2599.822	358.024	2653.625	582.845	370.003	466.416	493.884	462.425	420.173	2591.739	2619.252	2608.476	529.031	542.705	567.959	549.484	2657.954	2603.816	431.952	482.081	2631.536	504.664	2625.67	2663.287	450.259	2590.905	472.817	373.625	309.158	566.672	2618.684	588.888	384.154	2623.306	450.344	448.87	581.144	386.83	492.555	2676.105	2576.867	2580.332	428.742	2648.737	2586.449	410.948	455.726	2622.086	509.489	2632.764	361.515	444.677	509.991	435.073	460.957	2581.495	2630.303	2638.329	2607.74	527.078	2612.139	510.437	2574.102	2651.843	2660.006	511.084	548.568	2583.633	497.886	2595.111	556.381	2674.365	2589.639	2624.379	2626.93	2638.993	515.296	434.791	2610.753	2585.765	2650.699	2606.79	384.624	2604.872	2613.51	313.974	602.991	2614.767	481.045	2588.358	387.155	2604.272	486.95	360.975	2683.59	552.209	2626.842	491.247	2600.359	501.622	2647.077	420.304	514.894	335.037	2610.808	2572.647	2602.228	520.471	2588.341	535.929	472.81	2628.868	419.978	2632.44	2624.33	2559.28	2593.948	
SHH_INV_models42182.py	2197.468	3517.985	3543.995	2175.021	2239.86	2281.5	3480.306	3449.124	3567.855	3555.807	2292.584	3466.521	3451.712	3566.424	3410.101	2324.979	3599.13	2265.351	3512.757	2374.98	3571.406	2286.02	2215.222	2104.353	2345.679	3585.36	2367.77	3575.293	3559.21	3580.087	2444.294	2402.837	2362.984	3700.57	3651.833	3678.096	2629.384	2634.344	469.851	491.278	2680.633	431.68	2645.159	0.0	546.95	419.43	2684.174	466.867	2638.902	417.985	535.201	2664.013	2691.925	497.625	399.409	444.988	492.524	446.947	413.668	2662.151	491.269	2706.256	526.394	2685.636	2689.921	465.675	380.968	2659.081	427.724	2624.397	311.633	522.22	2685.53	478.077	2681.94	606.534	477.49	574.88	2711.276	2681.52	2668.842	371.785	355.276	516.868	2654.685	469.167	2714.484	2677.862	2649.834	2608.195	2625.315	2693.588	538.755	405.521	529.232	2632.928	2740.351	2707.821	2715.916	460.424	577.085	2702.567	2659.808	366.821	2644.053	590.342	671.271	2687.302	565.365	2632.462	2691.959	2659.84	2723.963	474.55	2728.496	2677.974	530.346	2653.436	2666.741	2653.039	2651.026	2665.82	554.058	409.551	628.409	2712.828	527.711	497.038	2674.504	2599.797	352.946	2662.929	477.657	2615.072	2652.777	2651.938	2657.78	2697.991	622.899	459.884	555.266	405.416	2713.167	523.056	2685.399	574.868	567.658	513.007	2692.044	2648.912	473.928	2623.863	478.898	2745.524	542.142	495.805	726.632	565.446	566.148	2671.789	2621.029	427.887	528.103	513.828	546.86	2687.134	648.69	512.754	2633.371	2667.659	563.229	2656.981	425.978	2674.259	568.457	2677.712	2652.596	570.94	2744.456	433.351	2634.922	617.227	2687.677	508.691	2689.267	2703.246	2635.248	469.913	547.789	555.798	2700.8	551.122	2675.028	2664.1	505.696	2696.976	529.508	746.926	508.322	576.837	
SHH_INV_models5675.py	2203.228	3527.519	3551.22	2193.604	2247.54	2212.159	3480.395	3458.983	3577.255	3562.647	2282.991	3488.573	3458.245	3576.543	3413.254	2254.598	3610.155	2275.409	3514.114	2289.628	3586.004	2298.188	2235.465	2088.21	2302.92	3608.771	2304.347	3591.344	3586.722	3594.517	2363.824	2323.318	2401.048	3697.892	3669.538	3692.788	2512.733	2553.565	360.192	366.555	2647.385	440.397	2608.388	546.95	0.0	545.926	2634.315	430.885	2608.703	431.534	341.588	2620.057	2650.54	382.023	472.074	439.646	565.478	494.49	583.878	2619.129	365.741	2672.758	500.985	2644.588	2655.84	457.433	601.898	2627.891	547.145	2601.417	542.014	630.12	2644.166	624.963	2623.968	364.451	339.652	394.194	2668.196	2615.851	2635.484	551.663	513.63	394.175	2611.767	493.859	2662.843	2633.86	2596.662	2600.108	2597.051	2638.041	477.734	551.004	400.052	2603.948	2703.075	2653.507	2680.826	594.06	266.153	2661.804	2632.354	540.48	2608.664	468.005	528.218	2659.588	394.042	2602.631	2656.965	2627.36	2667.672	443.626	2687.509	2636.637	452.589	2601.642	2616.916	2628.865	2609.462	2648.985	604.058	511.427	364.897	2656.603	691.794	476.261	2626.543	2586.166	559.971	2611.842	622.334	2589.82	2627.405	2591.422	2631.637	2663.204	457.442	409.421	422.103	466.849	2662.599	367.722	2659.734	416.981	542.659	633.349	2644.47	2619.809	359.302	2612.049	469.665	2708.153	621.832	493.72	525.203	425.156	459.507	2644.895	2603.302	551.935	334.674	621.51	389.252	2657.946	446.591	416.903	2609.309	2681.149	465.834	2644.193	485.883	2637.927	421.14	2643.544	2606.092	679.494	2700.438	486.654	2619.542	427.298	2664.972	657.398	2640.499	2673.458	2599.305	558.745	346.804	471.479	2654.708	361.844	2648.682	2631.69	547.051	2673.221	406.032	489.808	456.674	467.537	
SHH_INV_models27731.py	2152.645	3524.541	3543.308	2134.835	2174.267	2263.159	3477.73	3456.216	3580.848	3560.004	2239.2	3470.84	3450.761	3567.692	3414.573	2300.317	3600.776	2215.93	3523.554	2367.363	3584.956	2284.549	2175.858	2073.485	2295.918	3602.278	2356.682	3584.575	3583.259	3592.026	2454.195	2374.172	2350.661	3731.554	3679.881	3691.495	2607.68	2615.495	481.76	433.879	2684.218	407.329	2664.9	419.43	545.926	0.0	2683.099	386.166	2654.551	561.374	476.405	2666.844	2688.177	470.797	549.797	374.57	359.655	415.316	395.675	2679.337	435.738	2699.562	480.7	2693.54	2693.412	457.433	439.591	2661.113	361.909	2651.201	505.816	396.58	2684.267	364.721	2678.692	632.534	429.411	477.422	2721.401	2678.014	2683.15	511.396	560.51	504.237	2668.676	369.686	2712.301	2688.915	2655.131	2637.499	2638.588	2694.997	489.316	527.147	453.185	2653.552	2731.0	2705.091	2708.688	370.184	569.885	2708.027	2674.431	555.983	2664.531	542.154	582.716	2685.555	502.356	2660.902	2695.919	2674.702	2718.06	456.414	2728.344	2678.017	645.336	2654.94	2667.62	2665.081	2644.625	2687.797	435.803	525.083	600.061	2714.489	468.073	638.163	2676.115	2630.941	526.493	2656.993	541.55	2625.682	2658.97	2643.028	2685.327	2698.028	604.999	500.371	490.694	598.931	2714.576	527.089	2688.77	571.995	515.308	379.356	2687.95	2670.041	475.589	2647.076	400.231	2761.503	402.511	585.112	791.892	553.149	509.257	2688.501	2653.745	558.712	484.185	347.627	525.605	2694.909	617.583	573.869	2646.618	2680.616	511.048	2692.334	543.559	2692.436	551.61	2677.473	2653.689	405.814	2750.135	618.553	2652.382	530.041	2714.991	397.859	2686.5	2700.071	2637.463	564.022	538.425	505.913	2695.265	565.45	2696.973	2680.419	630.629	2697.842	555.534	776.97	619.984	439.75	
SHH_INV_models34635.py	3456.231	2269.134	2255.488	3453.348	3490.065	3479.062	2219.454	2191.095	2302.863	2285.605	3532.948	2297.724	2248.51	2283.575	2178.359	3553.967	2327.424	3559.56	2396.526	3559.52	2446.004	3547.651	3432.311	3373.584	3524.986	2371.841	3596.923	2370.489	2346.116	2384.801	3635.565	3583.38	3496.742	2566.388	2568.516	2530.264	3749.14	3790.977	2640.942	2648.084	521.667	2652.014	394.175	2684.174	2634.315	2683.099	0.0	2638.928	512.638	2610.174	2673.144	422.201	445.528	2641.287	2629.681	2622.868	2677.938	2638.187	2690.167	479.345	2611.629	393.797	2646.126	393.785	351.542	2654.236	2651.491	361.719	2685.607	555.284	2650.124	2692.177	478.63	2683.48	335.556	2625.643	2639.409	2613.521	457.398	390.448	413.705	2641.281	2649.821	2628.697	435.207	2670.693	388.804	341.19	527.514	530.33	514.603	368.404	2609.285	2640.537	2623.03	467.479	391.075	394.285	437.258	2679.618	2630.724	408.157	462.899	2650.654	453.937	2652.893	2704.046	306.658	2607.617	630.658	379.171	517.316	333.659	2648.656	401.274	406.792	2632.301	330.633	432.922	512.35	319.708	481.377	2684.629	2601.359	2602.24	399.948	2685.598	2612.555	353.199	476.105	2643.858	463.929	2659.871	572.986	410.182	385.677	473.95	497.87	2621.797	2657.371	2647.215	2634.691	497.98	2633.214	500.983	2600.095	2678.171	2667.825	465.869	506.64	2614.839	416.985	2616.912	454.95	2682.232	2599.916	2661.216	2641.061	2664.321	417.25	516.314	2641.327	2597.226	2653.56	2628.595	415.788	2623.398	2644.819	428.428	502.127	2619.537	601.217	2608.559	476.66	2618.133	495.334	429.89	2686.062	433.969	2665.803	436.929	2619.105	455.212	2657.934	432.141	451.826	430.267	2625.241	2601.616	2611.652	409.061	2612.904	426.453	434.922	2654.154	381.323	2657.263	2651.151	2591.234	2612.556	
SHH_INV_models11759.py	2188.235	3489.925	3516.936	2165.788	2231.943	2250.391	3460.533	3427.125	3537.598	3533.703	2285.941	3445.041	3433.645	3542.093	3388.792	2314.036	3560.657	2266.399	3504.616	2355.876	3558.091	2311.832	2182.109	2079.626	2324.317	3563.379	2372.039	3553.505	3542.908	3554.714	2449.316	2391.876	2375.923	3686.189	3643.279	3658.564	2615.753	2638.543	302.123	407.261	2639.606	386.599	2608.318	466.867	430.885	386.166	2638.928	0.0	2615.364	479.552	458.005	2619.031	2638.027	375.978	455.449	328.458	487.229	354.911	417.028	2639.344	397.085	2662.768	378.864	2636.612	2648.348	373.393	497.002	2618.963	361.813	2591.4	417.329	493.65	2644.619	455.086	2634.191	451.857	311.883	429.42	2653.831	2635.788	2628.935	504.426	454.693	269.722	2616.3	335.685	2664.124	2634.3	2609.435	2591.441	2605.562	2638.923	404.396	556.29	453.881	2604.988	2687.693	2659.457	2659.715	378.38	438.008	2670.94	2637.537	504.728	2621.163	458.332	485.303	2644.621	390.198	2620.802	2640.754	2619.796	2670.982	343.733	2670.784	2633.875	581.426	2612.143	2626.781	2623.078	2609.924	2649.988	565.097	434.781	474.856	2667.831	486.547	515.168	2631.562	2581.883	439.532	2619.226	564.096	2588.58	2606.581	2610.546	2631.894	2644.74	350.374	355.9	501.312	499.929	2652.444	365.614	2635.984	424.619	537.004	403.194	2642.253	2628.228	340.52	2601.309	327.12	2704.674	495.991	518.265	572.761	489.442	423.352	2641.79	2599.552	488.494	383.248	448.932	335.162	2656.155	436.865	435.448	2603.964	2646.202	401.132	2648.541	475.242	2635.418	432.436	2631.319	2616.168	582.404	2689.201	489.534	2616.885	390.738	2659.775	478.887	2641.719	2655.46	2594.795	504.481	349.364	389.477	2665.457	448.148	2655.168	2636.592	600.874	2655.44	466.216	604.809	450.718	499.73	
SHH_INV_models26656.py	3441.675	2215.821	2221.964	3440.773	3465.867	3447.581	2149.252	2135.859	2282.554	2260.314	3508.315	2220.656	2172.089	2247.657	2098.316	3519.666	2312.421	3528.427	2316.199	3530.245	2381.303	3508.048	3424.374	3361.804	3493.457	2311.463	3566.404	2309.916	2285.048	2345.896	3598.462	3544.175	3480.514	2498.78	2516.957	2497.501	3702.37	3735.453	2614.978	2613.704	454.87	2628.971	532.326	2638.902	2608.703	2654.551	512.638	2615.364	0.0	2565.751	2636.192	575.882	547.143	2618.479	2571.125	2601.562	2650.253	2618.877	2671.752	412.733	2603.139	530.623	2638.211	524.734	469.171	2625.123	2616.699	578.867	2654.787	459.131	2607.72	2681.533	449.154	2683.011	453.88	2599.78	2613.633	2588.744	522.335	442.183	539.172	2598.426	2615.052	2612.157	534.74	2650.578	535.636	565.061	504.479	531.554	411.519	508.657	2604.543	2595.985	2610.719	509.843	573.922	479.464	648.948	2661.862	2605.231	502.745	479.487	2614.277	536.615	2623.171	2665.013	570.489	2594.247	406.433	630.477	549.781	522.784	2624.774	665.196	603.241	2592.849	434.726	526.93	496.393	538.494	402.725	2664.549	2569.749	2581.105	595.506	2663.582	2574.65	565.307	502.182	2610.845	531.433	2616.852	563.229	567.769	517.504	516.95	504.454	2597.745	2638.367	2631.956	2586.81	504.647	2606.092	589.263	2583.987	2640.482	2661.375	595.777	567.074	2592.466	467.641	2607.423	489.922	2680.324	2567.258	2642.156	2625.923	2638.512	536.347	491.606	2601.666	2585.901	2645.807	2613.594	634.286	2605.255	2631.578	587.996	562.763	2615.42	603.393	2562.805	564.889	2609.9	470.676	570.199	2679.022	628.656	2615.526	513.748	2593.227	544.151	2660.181	615.681	567.471	598.424	2597.731	2573.763	2605.36	636.986	2583.233	573.999	491.635	2610.532	592.025	2633.382	2630.841	2550.202	2590.061	
SHH_INV_models16997.py	2211.083	3489.544	3508.176	2200.203	2258.955	2266.251	3442.09	3415.935	3549.311	3525.329	2302.822	3450.192	3427.998	3529.525	3385.274	2297.844	3579.461	2299.415	3481.654	2359.668	3547.511	2307.762	2240.338	2092.579	2333.855	3571.093	2352.268	3550.762	3535.387	3557.132	2440.959	2380.145	2395.948	3666.028	3625.936	3661.293	2586.983	2615.391	435.988	433.431	2627.926	414.745	2584.198	417.985	431.534	561.374	2610.174	479.552	2565.751	0.0	482.96	2605.615	2634.842	414.481	367.671	439.441	557.107	471.167	564.018	2586.944	453.835	2650.706	496.206	2623.07	2631.602	454.69	399.882	2605.062	515.934	2569.465	337.461	575.91	2621.57	601.931	2611.21	478.123	428.569	515.522	2647.302	2599.984	2610.55	395.133	378.491	465.957	2594.719	514.23	2638.58	2614.065	2588.447	2563.294	2559.332	2625.313	508.571	363.803	448.998	2566.46	2677.29	2628.566	2658.712	559.344	456.669	2633.981	2592.541	398.718	2577.826	453.366	701.106	2629.417	438.709	2565.339	2633.734	2600.323	2649.386	423.198	2660.196	2621.166	348.069	2581.799	2603.451	2595.096	2590.767	2609.124	580.316	370.396	467.285	2634.883	618.761	367.011	2607.323	2543.867	385.585	2600.269	438.005	2566.6	2603.861	2587.529	2596.889	2639.018	512.152	481.18	485.219	280.016	2647.531	430.68	2635.954	453.657	498.815	593.785	2631.965	2590.127	380.177	2562.358	472.619	2666.027	611.028	360.715	653.36	467.571	555.374	2602.34	2562.245	380.061	429.466	587.407	443.554	2633.688	555.502	461.319	2582.232	2621.631	484.301	2601.568	335.389	2615.055	454.43	2619.486	2593.939	610.171	2678.597	381.748	2576.811	436.825	2630.122	622.814	2627.883	2648.566	2584.394	409.781	409.371	464.975	2634.958	433.047	2612.967	2593.816	361.561	2637.237	473.709	661.336	363.262	545.262	
SHH_INV_models34908.py	2207.032	3554.706	3583.53	2201.912	2225.985	2236.39	3496.679	3479.607	3610.16	3599.745	2274.845	3501.37	3466.272	3607.952	3425.617	2264.389	3640.429	2243.587	3515.907	2306.038	3601.875	2289.074	2242.57	2098.576	2294.214	3639.694	2303.878	3625.735	3621.637	3617.14	2386.907	2322.418	2391.15	3721.782	3696.297	3721.281	2526.003	2528.9	455.138	319.481	2669.867	404.611	2635.632	535.201	341.588	476.405	2673.144	458.005	2636.192	482.96	0.0	2638.346	2673.644	383.072	475.583	414.532	436.17	423.274	614.066	2647.623	417.402	2697.479	478.61	2686.388	2693.924	437.17	588.589	2654.365	489.02	2629.24	521.557	533.031	2661.156	611.171	2658.518	498.676	381.548	362.794	2708.782	2654.854	2673.603	506.932	594.355	479.515	2651.839	504.099	2714.489	2679.71	2620.817	2625.374	2614.797	2669.934	449.51	552.661	356.417	2637.201	2731.945	2694.122	2708.377	565.143	380.008	2697.815	2657.202	588.182	2638.588	431.956	512.683	2686.611	394.233	2621.119	2690.476	2648.58	2706.047	462.798	2726.08	2670.595	523.808	2636.629	2647.915	2652.135	2641.643	2676.342	565.997	555.345	406.042	2687.849	633.472	529.32	2657.084	2611.2	647.502	2628.976	586.137	2608.291	2654.473	2630.954	2663.871	2676.97	524.487	488.606	396.658	513.569	2691.981	492.467	2691.928	545.162	481.912	641.829	2665.15	2655.678	417.677	2639.606	451.611	2748.251	537.832	544.946	665.538	504.857	505.127	2671.405	2630.932	515.365	413.562	567.959	489.491	2688.806	593.383	454.672	2634.408	2704.961	531.815	2667.123	510.098	2675.291	473.276	2662.155	2634.224	602.626	2736.132	508.533	2653.199	483.087	2708.83	614.955	2670.662	2689.485	2621.551	548.302	489.371	527.223	2681.652	500.939	2689.363	2659.709	528.531	2705.325	452.533	668.834	490.08	400.168	
SHH_INV_models23069.py	3474.799	2334.879	2340.231	3466.877	3499.605	3484.703	2277.919	2253.673	2358.994	2387.571	3544.835	2333.135	2256.029	2373.96	2191.57	3559.215	2380.74	3552.046	2379.955	3550.208	2452.735	3547.007	3446.413	3389.887	3533.488	2423.259	3594.642	2464.543	2424.294	2417.177	3624.052	3580.407	3508.752	2567.187	2598.941	2557.471	3757.045	3773.598	2624.122	2622.243	547.972	2635.161	383.839	2664.013	2620.057	2666.844	422.201	2619.031	575.882	2605.615	2638.346	0.0	361.906	2627.505	2594.023	2597.005	2660.495	2604.205	2683.962	445.312	2602.007	448.199	2629.026	558.515	519.916	2628.296	2657.731	314.75	2668.361	477.858	2629.751	2682.758	385.127	2681.423	465.697	2615.55	2620.853	2585.921	601.807	494.557	531.75	2619.021	2644.932	2611.879	491.086	2660.241	675.904	486.59	404.499	463.077	452.1	371.206	2584.295	2629.382	2613.965	478.828	436.444	629.897	481.375	2671.714	2616.258	574.261	390.738	2643.088	446.316	2641.338	2666.338	414.379	2591.779	557.647	382.829	430.505	552.651	2637.567	512.91	384.917	2627.522	399.558	350.111	431.268	419.549	507.837	2690.367	2600.351	2592.28	428.301	2665.219	2592.216	327.936	412.113	2641.316	332.019	2653.295	551.185	429.985	447.232	447.74	394.495	2603.918	2648.69	2634.872	2618.95	451.93	2630.016	594.071	2604.24	2669.059	2660.357	316.002	483.703	2600.948	445.329	2603.413	563.942	2672.519	2589.322	2642.975	2634.439	2646.926	438.237	494.688	2625.53	2592.766	2648.255	2626.183	382.702	2619.525	2632.025	438.418	558.177	2622.574	515.919	2583.71	586.235	2611.881	500.831	377.501	2689.736	454.916	2640.707	500.662	2611.237	539.775	2650.399	410.948	425.563	304.54	2606.788	2592.917	2606.312	460.886	2608.174	519.882	451.709	2640.499	521.679	2644.527	2642.092	2572.166	2582.241	
SHH_INV_models24075.py	3496.925	2263.292	2277.153	3492.396	3517.043	3496.047	2234.776	2219.965	2305.484	2333.677	3563.544	2276.411	2235.21	2325.278	2137.804	3585.6	2323.783	3585.079	2359.061	3586.468	2404.173	3569.593	3460.748	3403.375	3558.401	2342.584	3641.546	2400.719	2384.995	2357.224	3669.956	3619.243	3540.942	2548.849	2555.913	2485.434	3792.352	3823.448	2642.058	2652.612	406.971	2667.369	396.357	2691.925	2650.54	2688.177	445.528	2638.027	547.143	2634.842	2673.644	361.906	0.0	2660.802	2616.214	2632.175	2689.716	2641.947	2701.481	537.257	2633.645	488.288	2664.918	454.992	441.013	2661.255	2685.889	343.003	2694.606	525.839	2656.424	2720.518	453.968	2715.912	369.128	2639.667	2658.545	2602.589	558.92	541.53	582.564	2652.162	2662.819	2643.502	409.871	2697.797	586.052	461.877	548.529	525.162	446.936	421.034	2620.991	2668.4	2642.249	508.323	485.434	535.896	384.65	2697.642	2636.105	586.721	435.477	2682.478	469.034	2679.843	2674.786	449.634	2633.116	578.531	304.805	394.593	522.352	2665.579	524.823	408.844	2668.826	427.241	421.324	500.105	401.444	567.715	2704.492	2609.201	2631.923	511.963	2694.28	2626.05	445.574	442.934	2662.594	458.846	2690.047	486.943	410.084	484.415	433.697	409.434	2614.622	2678.905	2676.129	2659.128	501.546	2655.539	456.565	2617.562	2702.451	2681.796	476.673	544.061	2630.645	491.389	2632.257	557.854	2708.948	2627.033	2680.243	2682.554	2670.184	451.945	437.803	2656.796	2625.856	2670.501	2653.144	465.9	2649.11	2667.335	421.02	571.813	2659.147	600.478	2619.765	488.728	2641.849	502.763	413.265	2724.371	503.959	2681.44	529.064	2641.985	517.819	2684.412	336.433	452.494	428.519	2643.668	2610.847	2640.468	466.747	2639.678	515.472	425.52	2690.012	481.173	2686.141	2674.925	2597.751	2613.525	
SHH_INV_models1789.py	2243.055	3521.358	3545.638	2227.024	2287.901	2296.336	3472.506	3446.732	3577.583	3560.444	2333.669	3476.745	3456.162	3563.633	3410.064	2331.108	3603.728	2316.452	3501.197	2379.342	3573.987	2371.637	2263.192	2133.552	2373.227	3606.85	2388.793	3585.71	3578.475	3580.467	2466.926	2414.316	2438.831	3685.875	3652.236	3684.486	2609.39	2631.967	312.687	264.249	2660.6	329.742	2617.06	497.625	382.023	470.797	2641.287	375.978	2618.479	414.481	383.072	2627.505	2660.802	0.0	468.073	267.806	468.058	313.602	483.022	2636.411	335.921	2677.529	381.489	2653.049	2663.335	314.064	503.975	2631.354	432.564	2612.294	424.906	484.205	2651.027	473.614	2639.744	383.27	364.204	449.508	2675.254	2632.667	2640.05	452.833	469.791	395.759	2624.51	398.506	2677.126	2644.898	2609.842	2605.706	2612.179	2649.033	386.982	451.207	418.051	2614.596	2705.985	2663.666	2682.194	478.638	373.589	2672.367	2641.108	422.849	2624.621	382.798	656.799	2662.464	299.151	2621.626	2662.389	2626.827	2681.04	345.207	2690.716	2642.145	422.257	2616.412	2625.94	2638.607	2618.395	2662.146	572.25	458.453	364.135	2663.02	534.184	434.863	2631.611	2592.304	442.078	2624.655	525.019	2597.784	2624.281	2614.205	2644.374	2661.317	429.761	359.592	387.498	423.137	2670.643	302.979	2665.8	372.857	407.253	519.184	2651.329	2632.11	336.47	2606.864	391.396	2717.442	527.919	418.034	562.333	428.4	502.439	2646.943	2613.019	401.44	304.62	511.898	400.401	2660.896	456.694	313.785	2614.831	2667.551	349.015	2645.691	437.699	2645.447	257.714	2651.995	2621.684	558.978	2705.208	424.088	2624.764	419.111	2677.595	515.746	2653.437	2673.434	2606.863	436.091	367.592	317.193	2664.422	313.72	2658.139	2645.242	412.978	2666.21	355.746	605.641	484.351	448.792	
