	SHH_INV_models5998.py	SHH_INV_models14491.py	SHH_INV_models8262.py	SHH_INV_models219.py	SHH_INV_models13243.py	SHH_INV_models24874.py	SHH_INV_models45486.py	SHH_INV_models9435.py	SHH_INV_models2093.py	SHH_INV_models6283.py	SHH_INV_models8715.py	SHH_INV_models19215.py	SHH_INV_models18336.py	SHH_INV_models27731.py	SHH_INV_models35750.py	SHH_INV_models19526.py	SHH_INV_models18693.py	SHH_INV_models4565.py	SHH_INV_models48431.py	SHH_INV_models34617.py	SHH_INV_models39397.py	SHH_INV_models48061.py	SHH_INV_models1146.py	SHH_INV_models21021.py	SHH_INV_models2826.py	SHH_INV_models16997.py	SHH_INV_models46385.py	SHH_INV_models10829.py	SHH_INV_models40758.py	SHH_INV_models32647.py	SHH_INV_models43953.py	SHH_INV_models19930.py	SHH_INV_models46914.py	SHH_INV_models853.py	SHH_INV_models28526.py	SHH_INV_models48219.py	SHH_INV_models41662.py	SHH_INV_models34346.py	SHH_INV_models49367.py	SHH_INV_models42182.py	SHH_INV_models23162.py	SHH_INV_models14269.py	SHH_INV_models34488.py	SHH_INV_models13110.py	SHH_INV_models35358.py	SHH_INV_models45646.py	SHH_INV_models34009.py	SHH_INV_models31761.py	SHH_INV_models32339.py	SHH_INV_models5675.py	SHH_INV_models25486.py	SHH_INV_models17609.py	SHH_INV_models28974.py	SHH_INV_models39150.py	SHH_INV_models407.py	SHH_INV_models1242.py	SHH_INV_models29109.py	SHH_INV_models44526.py	SHH_INV_models9432.py	SHH_INV_models28719.py	SHH_INV_models4335.py	SHH_INV_models1789.py	SHH_INV_models42632.py	SHH_INV_models7363.py	SHH_INV_models19979.py	SHH_INV_models44002.py	SHH_INV_models23725.py	SHH_INV_models23205.py	SHH_INV_models3097.py	SHH_INV_models43247.py	SHH_INV_models35002.py	SHH_INV_models43398.py	SHH_INV_models11759.py	SHH_INV_models2647.py	SHH_INV_models10289.py	SHH_INV_models36537.py	SHH_INV_models15545.py	SHH_INV_models6069.py	SHH_INV_models7085.py	SHH_INV_models8640.py	SHH_INV_models38269.py	SHH_INV_models34908.py	SHH_INV_models3099.py	SHH_INV_models368.py	SHH_INV_models25902.py	SHH_INV_models24877.py	SHH_INV_models26389.py	SHH_INV_models12136.py	SHH_INV_models11878.py	SHH_INV_models21231.py	SHH_INV_models33250.py	SHH_INV_models44728.py	SHH_INV_models19205.py	SHH_INV_models752.py	SHH_INV_models10603.py	SHH_INV_models9934.py	SHH_INV_models48063.py	SHH_INV_models41236.py	SHH_INV_models41734.py	SHH_INV_models32588.py	SHH_INV_models47949.py	SHH_INV_models12294.py	SHH_INV_models41504.py	
SHH_INV_models27731.py	3013.777	501.606	359.701	3028.139	2999.906	3126.983	511.054	527.191	612.657	325.067	3030.225	586.511	708.746	0.0	752.204	3133.122	570.759	3101.815	1089.923	3150.546	1035.463	3056.437	2998.087	3135.622	3030.142	698.003	3196.654	510.984	535.582	802.797	3240.685	3173.532	2928.284	1127.042	1160.264	1084.491	3280.901	3405.136	3568.637	3569.892	2232.222	3555.324	2305.144	3566.424	3576.543	3567.692	2283.575	3542.093	2247.657	3529.525	3607.952	2373.96	2325.278	3563.633	3558.126	3541.613	3565.002	3553.639	3563.366	2317.909	3558.316	2232.555	3552.349	2247.552	2205.859	3567.862	3523.473	2337.061	3563.644	2328.15	3545.373	3569.811	2253.336	3564.55	2282.732	3565.407	3550.436	3565.398	2157.631	2296.679	2204.765	3553.408	3559.418	3556.246	2306.761	3568.643	2211.055	2298.222	2292.887	2355.735	2351.953	2290.756	3544.381	3534.666	3543.508	2362.282	2252.02	2245.954	2289.023	3556.456	3586.205	2166.428	2370.133	
SHH_INV_models35750.py	3112.718	578.461	644.578	3116.233	3098.192	3129.323	564.958	561.994	712.199	771.188	3097.73	493.162	466.255	752.204	0.0	3164.919	778.698	3164.692	727.826	3153.147	778.173	3120.546	3086.67	3195.608	3082.772	779.006	3242.174	886.097	865.308	693.113	3244.36	3196.991	3059.515	1032.236	1098.359	1007.929	3286.973	3429.273	3405.161	3399.285	2036.321	3399.771	2122.739	3410.101	3413.254	3414.573	2178.359	3388.792	2098.316	3385.274	3425.617	2191.57	2137.804	3410.064	3383.576	3381.996	3420.381	3390.675	3412.059	2152.722	3404.582	2137.217	3418.875	2142.967	2107.111	3392.722	3412.01	2171.609	3413.834	2129.334	3386.782	3442.613	2076.725	3441.721	2146.561	3407.969	3404.612	3394.926	2044.57	2179.569	2085.539	3392.621	3409.667	3405.111	2148.709	3434.66	2159.869	2171.617	2111.51	2199.545	2161.804	2139.655	3393.046	3398.0	3396.819	2221.618	2147.903	2172.397	2178.415	3424.916	3412.247	2050.176	2194.953	
SHH_INV_models19526.py	645.339	3148.94	3170.915	736.667	777.804	511.084	3086.875	3089.497	3215.596	3144.843	641.33	3063.346	3064.612	3133.122	3164.919	0.0	3224.476	600.384	3146.48	410.148	3216.488	624.2	868.642	709.622	569.094	3215.864	444.714	3128.51	3134.545	3219.884	577.776	420.865	1157.22	3200.227	3282.636	3353.498	689.848	912.834	2319.918	2348.591	3575.32	2331.349	3554.204	2324.979	2254.598	2300.317	3553.967	2314.036	3519.666	2297.844	2264.389	3559.215	3585.6	2331.108	2326.984	2357.898	2302.188	2366.863	2372.998	3542.627	2296.04	3590.655	2295.384	3564.99	3576.394	2376.293	2292.652	3574.005	2316.831	3535.506	2382.3	2287.901	3562.986	2327.978	3542.902	2307.66	2243.376	2303.327	3587.758	3524.581	3573.865	2392.166	2350.395	2277.898	3566.756	2248.067	3567.196	3585.394	3548.323	3563.87	3535.998	3561.859	2342.677	2364.08	2273.741	3552.525	3600.317	3554.907	3604.319	2281.343	2290.384	3581.919	3562.401	
SHH_INV_models18693.py	3082.669	507.587	450.383	3074.605	3066.147	3191.883	788.296	726.416	314.538	502.969	3103.018	653.445	777.146	570.759	778.698	3224.476	0.0	3193.594	1141.718	3222.311	1010.58	3142.42	3026.452	3199.316	3106.779	406.27	3302.907	591.42	593.767	703.413	3332.988	3275.442	2960.877	1118.656	1125.091	912.279	3401.936	3556.273	3590.033	3608.197	2251.648	3602.136	2317.83	3599.13	3610.155	3600.776	2327.424	3560.657	2312.421	3579.461	3640.429	2380.74	2323.783	3603.728	3580.892	3571.129	3616.822	3584.002	3591.948	2345.364	3591.392	2270.623	3585.117	2283.103	2235.811	3600.935	3585.277	2343.364	3606.911	2310.68	3576.747	3613.436	2290.79	3601.518	2330.629	3598.475	3589.283	3593.741	2180.593	2375.84	2222.753	3587.059	3588.509	3574.137	2312.325	3601.174	2270.34	2310.683	2306.901	2354.356	2374.7	2303.66	3568.465	3585.652	3584.077	2380.301	2269.512	2315.754	2284.151	3599.449	3614.568	2217.796	2387.441	
SHH_INV_models4565.py	533.242	3132.419	3148.374	664.289	605.734	759.264	3075.572	3055.468	3195.493	3114.958	495.945	3052.309	3052.646	3101.815	3164.692	600.384	3193.594	0.0	3210.928	720.214	3274.744	485.296	705.629	774.526	523.306	3210.267	634.68	3106.056	3085.892	3252.648	856.356	663.461	990.309	3293.216	3353.441	3409.426	979.862	1001.39	2311.579	2329.746	3577.896	2294.947	3562.985	2265.351	2275.409	2215.93	3559.56	2266.399	3528.427	2299.415	2243.587	3552.046	3585.079	2316.452	2311.535	2320.925	2227.809	2309.22	2317.8	3555.061	2264.335	3569.703	2237.714	3572.146	3579.415	2348.603	2221.291	3569.644	2242.172	3529.104	2339.246	2204.994	3557.124	2231.287	3555.172	2336.012	2214.285	2274.497	3582.945	3542.968	3574.1	2343.472	2325.859	2249.015	3590.576	2192.027	3582.886	3600.89	3550.784	3554.232	3538.011	3563.063	2288.916	2338.578	2235.154	3558.603	3579.052	3575.574	3590.491	2194.705	2306.519	3586.118	3562.913	
SHH_INV_models48431.py	3160.331	1045.596	1048.634	3146.749	3144.803	3146.168	918.334	1017.245	1097.443	1134.637	3144.186	870.016	797.229	1089.923	727.826	3146.48	1141.718	3210.928	0.0	3115.513	533.63	3181.708	3161.074	3231.186	3122.27	1126.63	3234.907	1226.126	1269.85	762.745	3197.586	3177.884	3115.814	730.747	884.887	918.036	3236.592	3392.173	3523.705	3483.802	2264.97	3507.322	2303.6	3512.757	3514.114	3523.554	2396.526	3504.616	2316.199	3481.654	3515.907	2379.955	2359.061	3501.197	3501.494	3472.952	3510.938	3479.063	3515.029	2328.432	3507.408	2376.303	3526.171	2401.184	2348.615	3477.799	3520.246	2359.98	3529.429	2343.378	3489.581	3530.548	2260.351	3558.059	2376.215	3514.079	3504.934	3494.275	2305.37	2383.133	2305.082	3499.336	3533.449	3522.254	2357.414	3543.187	2424.578	2391.562	2275.833	2409.124	2341.819	2348.813	3509.907	3471.436	3497.62	2426.561	2395.931	2415.496	2430.527	3540.973	3522.141	2264.306	2371.63	
SHH_INV_models34617.py	819.652	3167.754	3189.302	883.76	933.106	568.719	3091.027	3093.707	3212.791	3162.471	783.284	3071.748	3061.476	3150.546	3153.147	410.148	3222.311	720.214	3115.513	0.0	3190.949	746.904	977.743	914.852	728.894	3223.326	514.891	3158.499	3146.385	3201.355	411.177	456.632	1201.123	3156.141	3254.637	3337.149	704.774	912.576	2365.581	2401.787	3582.446	2389.416	3554.613	2374.98	2289.628	2367.363	3559.52	2355.876	3530.245	2359.668	2306.038	3550.208	3586.468	2379.342	2364.687	2406.89	2368.914	2412.657	2443.841	3535.714	2340.291	3589.623	2337.67	3572.051	3582.155	2432.703	2356.166	3577.509	2382.605	3528.322	2433.699	2353.611	3567.023	2382.654	3548.356	2335.745	2278.298	2351.108	3583.529	3525.189	3571.01	2447.148	2403.92	2313.367	3571.098	2300.266	3582.531	3586.316	3541.722	3556.77	3546.299	3560.426	2378.746	2428.173	2331.272	3554.808	3600.881	3571.872	3606.621	2345.854	2329.861	3591.569	3564.604	
SHH_INV_models39397.py	3187.247	945.818	932.683	3167.316	3181.356	3185.719	954.164	1012.243	944.176	1028.615	3200.21	817.193	915.265	1035.463	778.173	3216.488	1010.58	3274.744	533.63	3190.949	0.0	3242.703	3175.86	3248.701	3185.596	976.858	3323.619	1078.481	1153.052	500.532	3286.083	3258.664	3144.616	714.021	549.944	563.01	3362.159	3522.088	3580.868	3560.888	2302.355	3567.871	2345.861	3571.406	3586.004	3584.956	2446.004	3558.091	2381.303	3547.511	3601.875	2452.735	2404.173	3573.987	3565.831	3535.483	3579.556	3548.58	3566.173	2408.737	3581.522	2428.874	3595.771	2445.602	2385.225	3541.143	3580.441	2407.25	3587.596	2398.982	3543.943	3598.183	2329.934	3619.285	2446.436	3575.262	3567.58	3569.611	2333.282	2464.07	2335.266	3566.967	3590.978	3579.631	2388.443	3597.303	2453.039	2397.38	2360.957	2442.004	2401.051	2423.366	3573.371	3549.151	3576.473	2468.508	2450.873	2462.944	2470.296	3588.782	3597.142	2304.006	2437.082	
SHH_INV_models48061.py	617.391	3072.288	3098.642	756.109	666.862	744.612	3025.832	3013.182	3145.64	3068.127	544.953	2998.882	3012.923	3056.437	3120.546	624.2	3142.42	485.296	3181.708	746.904	3242.703	0.0	713.331	774.48	553.448	3148.045	680.05	3053.134	3045.804	3211.058	857.569	735.279	937.006	3254.385	3318.428	3362.84	999.289	1061.083	2349.707	2378.143	3557.98	2335.322	3548.096	2286.02	2298.188	2284.549	3547.651	2311.832	3508.048	2307.762	2289.074	3547.007	3569.593	2371.637	2324.131	2378.319	2278.213	2355.141	2365.111	3536.21	2308.145	3558.334	2282.361	3543.384	3556.304	2398.467	2257.05	3558.778	2291.269	3511.594	2353.076	2266.138	3547.99	2300.296	3537.892	2377.434	2266.011	2298.401	3563.923	3533.219	3564.047	2359.697	2323.059	2299.802	3570.124	2263.176	3553.255	3585.263	3547.77	3530.2	3515.124	3547.434	2330.736	2361.486	2259.496	3534.352	3568.47	3547.767	3571.169	2255.587	2327.77	3573.098	3547.569	
SHH_INV_models1146.py	479.844	2998.077	3013.035	469.293	628.544	789.812	3022.585	2981.189	3032.53	2992.892	664.225	2963.879	2999.191	2998.087	3086.67	868.642	3026.452	705.629	3161.074	977.743	3175.86	713.331	0.0	605.827	666.191	3028.097	1016.712	2957.763	2942.284	3111.121	1174.708	1050.825	733.542	3177.648	3220.589	3243.712	1383.394	1490.06	2234.355	2283.6	3459.56	2252.0	3445.9	2215.222	2235.465	2175.858	3432.311	2182.109	3424.374	2240.338	2242.57	3446.413	3460.748	2263.192	2258.038	2261.964	2203.776	2252.246	2222.393	3446.523	2221.449	3446.948	2177.205	3430.305	3438.879	2291.289	2171.336	3442.567	2195.51	3416.002	2270.864	2164.392	3458.3	2177.376	3433.713	2263.047	2170.086	2234.95	3448.179	3438.88	3442.017	2296.577	2244.188	2172.711	3449.868	2147.596	3439.813	3465.389	3447.426	3427.725	3430.986	3439.698	2238.362	2269.669	2182.418	3433.302	3454.31	3443.927	3445.562	2138.837	2259.122	3463.413	3448.015	
SHH_INV_models21021.py	517.761	3130.52	3148.567	545.842	679.041	642.495	3124.025	3109.271	3190.694	3131.245	762.067	3076.841	3114.729	3135.622	3195.608	709.622	3199.316	774.526	3231.186	914.852	3248.701	774.48	605.827	0.0	735.502	3187.616	879.159	3095.432	3108.0	3225.561	1078.08	884.842	1065.098	3286.191	3306.356	3347.214	1265.59	1368.295	2107.655	2144.417	3397.203	2114.149	3374.499	2104.353	2088.21	2073.485	3373.584	2079.626	3361.804	2092.579	2098.576	3389.887	3403.375	2133.552	2130.331	2139.18	2083.466	2140.783	2113.743	3391.027	2112.711	3410.365	2085.675	3388.613	3394.055	2145.457	2069.449	3381.186	2075.51	3370.479	2145.01	2062.99	3399.536	2107.59	3375.089	2113.629	2050.081	2112.479	3415.891	3380.568	3395.498	2166.468	2128.036	2068.895	3386.2	2037.153	3389.156	3400.557	3395.306	3379.556	3359.621	3389.178	2135.359	2147.208	2067.035	3375.699	3420.155	3383.446	3408.941	2036.854	2111.786	3406.802	3385.087	
SHH_INV_models2826.py	580.072	3045.086	3057.206	724.967	631.989	669.837	3002.032	2990.159	3100.803	3032.067	538.084	2984.183	2974.378	3030.142	3082.772	569.094	3106.779	523.306	3122.27	728.894	3185.596	553.448	666.191	735.502	0.0	3110.838	696.514	3011.752	3007.872	3165.534	931.491	705.247	879.451	3192.14	3262.618	3309.753	984.099	1118.074	2359.422	2377.194	3548.414	2359.34	3533.577	2345.679	2302.92	2295.918	3524.986	2324.317	3493.457	2333.855	2294.214	3533.488	3558.401	2373.227	2370.503	2387.096	2303.703	2380.482	2386.881	3520.752	2325.714	3546.459	2296.814	3538.807	3546.758	2404.697	2288.93	3545.896	2328.461	3503.869	2400.177	2282.279	3533.022	2323.617	3520.834	2367.9	2266.619	2312.651	3543.416	3510.493	3540.679	2413.095	2380.562	2295.558	3550.722	2271.219	3539.654	3564.112	3520.47	3530.624	3505.374	3529.873	2349.011	2386.367	2265.438	3526.189	3552.993	3537.412	3565.299	2278.309	2333.467	3542.356	3533.851	
SHH_INV_models16997.py	3093.444	488.089	539.525	3074.575	3082.166	3167.067	872.128	829.428	372.385	611.608	3110.939	666.004	844.877	698.003	779.006	3215.864	406.27	3210.267	1126.63	3223.326	976.858	3148.045	3028.097	3187.616	3110.838	0.0	3310.851	614.043	617.399	678.217	3327.676	3277.844	2992.44	1093.873	1093.881	858.508	3392.077	3556.995	3585.145	3603.942	2263.963	3603.649	2341.402	3585.36	3608.771	3602.278	2371.841	3563.379	2311.463	3571.093	3639.694	2423.259	2342.584	3606.85	3564.95	3575.348	3623.915	3589.058	3585.464	2365.978	3591.558	2323.781	3595.805	2309.867	2263.452	3601.662	3586.107	2376.224	3610.38	2325.545	3570.182	3626.012	2333.71	3616.774	2354.666	3593.727	3593.477	3593.924	2214.609	2413.396	2255.365	3579.444	3576.417	3577.849	2321.294	3610.556	2307.287	2338.716	2344.893	2360.819	2385.26	2349.516	3581.471	3575.765	3590.358	2388.807	2330.699	2351.03	2324.697	3609.952	3608.831	2253.01	2400.097	
SHH_INV_models46385.py	764.955	3233.64	3254.47	879.682	937.966	739.739	3149.051	3146.854	3288.665	3213.203	829.709	3143.182	3127.32	3196.654	3242.174	444.714	3302.907	634.68	3234.907	514.891	3323.619	680.05	1016.712	879.159	696.514	3310.851	0.0	3204.483	3191.61	3318.308	494.921	441.15	1198.798	3276.984	3384.678	3473.144	725.268	803.572	2379.555	2407.314	3627.26	2365.233	3597.684	2367.77	2304.347	2356.682	3596.923	2372.039	3566.404	2352.268	2303.878	3594.642	3641.546	2388.793	2379.33	2413.557	2351.054	2414.0	2440.69	3586.929	2343.0	3623.004	2328.87	3614.033	3622.615	2431.003	2341.423	3622.342	2356.132	3570.347	2430.603	2330.351	3604.122	2361.602	3591.926	2377.959	2284.787	2371.78	3621.279	3568.448	3604.397	2423.186	2402.498	2317.895	3620.176	2290.093	3614.568	3627.385	3582.391	3595.855	3587.596	3604.408	2367.682	2420.742	2321.649	3594.172	3633.341	3606.797	3649.516	2324.364	2351.077	3621.44	3614.332	
SHH_INV_models10829.py	3002.138	537.451	512.034	2999.698	3003.294	3087.11	754.309	711.36	558.812	403.637	3039.172	692.628	884.001	510.984	886.097	3128.51	591.42	3106.056	1226.126	3158.499	1078.481	3053.134	2957.763	3095.432	3011.752	614.043	3204.483	0.0	449.747	867.259	3241.332	3178.379	2904.433	1134.491	1083.037	1028.725	3312.607	3442.331	3575.57	3588.725	2278.444	3577.614	2367.108	3575.293	3591.344	3584.575	2370.489	3553.505	2309.916	3550.762	3625.735	2464.543	2400.719	3585.71	3569.962	3564.94	3595.807	3581.664	3568.959	2405.336	3587.122	2311.512	3586.76	2305.216	2259.753	3580.676	3552.387	2414.296	3579.405	2385.042	3558.547	3607.381	2342.219	3595.415	2364.253	3575.454	3567.858	3595.322	2204.331	2382.901	2249.048	3572.737	3569.222	3563.732	2335.441	3585.243	2268.646	2334.833	2350.359	2401.416	2426.911	2382.81	3575.343	3559.62	3573.869	2425.153	2353.367	2311.128	2371.23	3576.922	3603.33	2232.787	2466.729	
SHH_INV_models40758.py	2995.099	538.485	527.29	3000.417	3014.276	3093.331	798.822	622.368	528.924	486.914	3039.836	738.157	873.805	535.582	865.308	3134.545	593.767	3085.892	1269.85	3146.385	1153.052	3045.804	2942.284	3108.0	3007.872	617.399	3191.61	449.747	0.0	897.471	3229.946	3181.622	2882.602	1180.524	1189.528	1143.044	3314.986	3432.145	3563.439	3589.317	2277.663	3564.991	2342.799	3559.21	3586.722	3583.259	2346.116	3542.908	2285.048	3535.387	3621.637	2424.294	2384.995	3578.475	3548.644	3557.199	3596.53	3567.988	3567.425	2369.656	3572.572	2292.032	3563.611	2285.406	2260.03	3574.243	3535.438	2398.441	3572.074	2324.361	3540.589	3596.041	2328.447	3575.495	2354.022	3565.641	3555.852	3592.732	2175.767	2370.413	2223.216	3555.187	3545.892	3543.556	2332.852	3571.499	2271.415	2322.295	2337.271	2361.25	2406.859	2353.217	3552.656	3553.398	3568.627	2381.318	2312.675	2316.869	2351.227	3563.3	3594.902	2218.581	2423.298	
SHH_INV_models32647.py	3139.626	707.829	656.347	3120.941	3136.914	3188.484	839.633	836.648	637.151	781.96	3156.91	678.282	881.914	802.797	693.113	3219.884	703.413	3252.648	762.745	3201.355	500.532	3211.058	3111.121	3225.561	3165.534	678.217	3318.308	867.259	897.471	0.0	3312.024	3276.657	3077.136	769.399	691.869	588.526	3377.528	3553.801	3578.715	3573.481	2263.024	3579.331	2314.837	3580.087	3594.517	3592.026	2384.801	3554.714	2345.896	3557.132	3617.14	2417.177	2357.224	3580.467	3568.043	3546.404	3593.49	3557.49	3571.333	2374.991	3582.632	2356.727	3583.496	2369.269	2307.772	3560.435	3579.845	2365.897	3594.384	2362.77	3554.363	3599.009	2310.149	3612.104	2388.532	3573.752	3572.279	3576.346	2254.472	2425.941	2264.867	3576.733	3587.509	3575.711	2338.251	3598.578	2372.798	2350.694	2341.567	2399.813	2387.723	2359.399	3569.423	3561.155	3577.715	2428.857	2365.634	2402.32	2377.477	3592.533	3597.94	2244.48	2396.295	
SHH_INV_models43953.py	1010.17	3265.395	3295.35	1056.667	1172.269	723.154	3177.247	3180.819	3314.252	3254.231	1015.558	3164.133	3147.398	3240.685	3244.36	577.776	3332.988	856.356	3197.586	411.177	3286.083	857.569	1174.708	1078.08	931.491	3327.676	494.921	3241.332	3229.946	3312.024	0.0	491.8	1360.758	3216.274	3331.154	3435.215	705.57	803.816	2442.429	2489.781	3652.813	2461.259	3629.825	2444.294	2363.824	2454.195	3635.565	2449.316	3598.462	2440.959	2386.907	3624.052	3669.956	2466.926	2435.967	2495.524	2465.129	2504.925	2520.495	3613.689	2423.027	3661.746	2441.658	3644.748	3654.741	2512.185	2449.666	3656.939	2455.217	3600.465	2515.244	2459.115	3641.21	2467.317	3623.809	2411.024	2358.484	2453.388	3657.9	3591.485	3640.11	2519.165	2472.94	2391.621	3642.369	2379.2	3653.108	3655.193	3608.982	3625.479	3624.874	3640.792	2469.781	2516.437	2430.114	3626.276	3680.196	3641.94	3689.516	2429.422	2410.373	3666.797	3649.831	
SHH_INV_models19930.py	818.417	3208.482	3224.694	921.63	911.293	609.948	3106.146	3124.968	3265.125	3181.704	800.644	3103.03	3087.93	3173.532	3196.991	420.865	3275.442	663.461	3177.884	456.632	3258.664	735.279	1050.825	884.842	705.247	3277.844	441.15	3178.379	3181.622	3276.657	491.8	0.0	1271.444	3240.853	3332.473	3407.739	633.7	758.209	2407.082	2421.342	3605.876	2402.39	3585.606	2402.837	2323.318	2374.172	3583.38	2391.876	3544.175	2380.145	2322.418	3580.407	3619.243	2414.316	2394.36	2432.783	2370.552	2439.629	2465.488	3565.389	2370.706	3602.761	2378.702	3609.942	3608.749	2452.545	2369.996	3606.358	2379.792	3566.051	2458.308	2374.148	3584.699	2411.493	3573.316	2381.462	2306.497	2371.831	3618.253	3547.587	3600.43	2452.768	2442.428	2354.68	3606.978	2321.102	3602.858	3612.593	3569.11	3582.605	3561.539	3592.492	2406.256	2449.494	2353.033	3576.726	3623.432	3588.824	3632.927	2357.24	2370.727	3608.791	3589.52	
SHH_INV_models46914.py	871.104	2970.434	2961.485	894.031	913.485	1173.693	2967.926	2937.699	2976.329	2928.238	985.448	2946.423	2952.061	2928.284	3059.515	1157.22	2960.877	990.309	3115.814	1201.123	3144.616	937.006	733.542	1065.098	879.451	2992.44	1198.798	2904.433	2882.602	3077.136	1360.758	1271.444	0.0	3102.896	3157.095	3191.153	1559.011	1634.534	2438.586	2448.622	3523.076	2411.933	3508.335	2362.984	2401.048	2350.661	3496.742	2375.923	3480.514	2395.948	2391.15	3508.752	3540.942	2438.831	2422.837	2433.319	2353.553	2424.315	2414.592	3487.932	2398.05	3502.783	2345.723	3499.412	3497.177	2474.897	2321.439	3509.939	2381.659	3476.572	2433.949	2312.041	3508.239	2341.803	3505.149	2459.247	2336.567	2414.89	3502.6	3495.737	3491.644	2447.882	2420.505	2361.304	3517.173	2330.857	3506.973	3530.089	3492.926	3476.955	3488.526	3502.271	2402.418	2409.877	2334.532	3497.083	3511.776	3511.624	3523.47	2317.822	2444.875	3510.186	3508.779	
SHH_INV_models853.py	3212.129	1142.614	1123.622	3175.194	3246.225	3179.857	1152.631	1178.674	1075.703	1164.399	3240.834	1100.466	1132.007	1127.042	1032.236	3200.227	1118.656	3293.216	730.747	3156.141	714.021	3254.385	3177.648	3286.191	3192.14	1093.873	3276.984	1134.491	1180.524	769.399	3216.274	3240.853	3102.896	0.0	695.766	787.329	3293.249	3468.34	3696.433	3678.435	2440.567	3705.879	2480.511	3700.57	3697.892	3731.554	2566.388	3686.189	2498.78	3666.028	3721.782	2567.187	2548.849	3685.875	3679.539	3663.881	3726.126	3677.876	3698.13	2515.219	3703.392	2545.619	3721.686	2550.454	2488.313	3666.399	3714.163	2533.534	3729.502	2530.669	3683.045	3742.71	2463.967	3757.532	2557.786	3665.188	3683.366	3707.532	2453.528	2550.771	2437.579	3703.572	3712.089	3690.901	2486.328	3725.72	2572.887	2524.742	2451.89	2575.259	2561.183	2526.28	3711.436	3657.659	3711.898	2605.591	2576.286	2569.644	2608.069	3736.525	3710.912	2429.8	2565.539	
SHH_INV_models28526.py	3245.323	1140.908	1094.835	3201.194	3260.493	3241.699	1202.955	1213.926	1047.686	1107.314	3286.71	1096.969	1244.682	1160.264	1098.359	3282.636	1125.091	3353.441	884.887	3254.637	549.944	3318.428	3220.589	3306.356	3262.618	1093.881	3384.678	1083.037	1189.528	691.869	3331.154	3332.473	3157.095	695.766	0.0	529.616	3448.467	3616.946	3661.174	3642.954	2434.291	3655.581	2463.784	3651.833	3669.538	3679.881	2568.516	3643.279	2516.957	3625.936	3696.297	2598.941	2555.913	3652.236	3656.303	3619.631	3671.898	3639.442	3637.295	2550.295	3677.042	2561.117	3685.755	2555.248	2488.542	3619.291	3660.998	2535.184	3677.854	2542.496	3626.447	3688.543	2475.67	3706.654	2582.885	3643.645	3651.555	3672.582	2443.189	2587.995	2427.446	3662.663	3670.695	3658.115	2476.296	3681.467	2555.614	2488.843	2485.273	2564.098	2552.063	2556.465	3670.248	3621.886	3670.113	2599.87	2596.485	2572.716	2610.273	3673.374	3687.612	2403.358	2584.587	
SHH_INV_models48219.py	3284.356	1005.631	969.615	3242.005	3277.146	3304.803	1169.2	1200.838	883.051	1030.049	3313.73	1011.269	1136.795	1084.491	1007.929	3353.498	912.279	3409.426	918.036	3337.149	563.01	3362.84	3243.712	3347.214	3309.753	858.508	3473.144	1028.725	1143.044	588.526	3435.215	3407.739	3191.153	787.329	529.616	0.0	3526.396	3701.507	3679.831	3668.375	2398.183	3683.601	2444.463	3678.096	3692.788	3691.495	2530.264	3658.564	2497.501	3661.293	3721.281	2557.471	2485.434	3684.486	3672.704	3643.17	3696.114	3662.639	3657.412	2516.986	3689.558	2510.334	3704.009	2510.24	2443.142	3654.914	3690.761	2490.915	3700.419	2505.082	3656.576	3714.475	2447.744	3723.531	2527.23	3677.051	3681.016	3676.412	2412.614	2570.824	2413.387	3679.821	3691.062	3678.761	2446.179	3707.56	2511.589	2460.094	2463.804	2524.737	2512.181	2510.234	3681.825	3652.312	3685.023	2555.824	2534.247	2535.832	2524.298	3698.866	3704.687	2387.7	2537.267	
SHH_INV_models41662.py	1188.441	3318.931	3342.761	1287.588	1238.384	956.853	3207.289	3230.549	3397.338	3309.541	1035.266	3211.502	3182.775	3280.901	3286.973	689.848	3401.936	979.862	3236.592	704.774	3362.159	999.289	1383.394	1265.59	984.099	3392.077	725.268	3312.607	3314.986	3377.528	705.57	633.7	1559.011	3293.249	3448.467	3526.396	0.0	652.509	2613.244	2628.082	3778.609	2627.385	3760.919	2629.384	2512.733	2607.68	3749.14	2615.753	3702.37	2586.983	2526.003	3757.045	3792.352	2609.39	2619.492	2659.713	2588.331	2662.746	2690.294	3725.958	2563.341	3786.659	2582.065	3762.514	3777.154	2671.951	2583.663	3780.065	2611.115	3734.654	2686.118	2587.619	3754.416	2623.122	3729.389	2583.801	2528.458	2568.999	3782.899	3701.038	3777.362	2676.679	2638.386	2571.017	3774.846	2547.77	3763.831	3793.301	3737.706	3768.706	3734.081	3749.181	2632.375	2651.038	2555.678	3751.347	3799.083	3745.509	3810.919	2592.004	2548.173	3780.65	3757.817	
