	Six_zebra_models19141.py	Six_zebra_models30685.py	Six_zebra_models31521.py	Six_zebra_models5357.py	Six_zebra_models21964.py	Six_zebra_models33077.py	Six_zebra_models13971.py	Six_zebra_models31450.py	Six_zebra_models30077.py	Six_zebra_models40097.py	Six_zebra_models6232.py	Six_zebra_models11675.py	Six_zebra_models9809.py	Six_zebra_models16815.py	Six_zebra_models31407.py	Six_zebra_models31012.py	Six_zebra_models23934.py	Six_zebra_models32367.py	Six_zebra_models29975.py	Six_zebra_models41766.py	Six_zebra_models45108.py	Six_zebra_models10562.py	Six_zebra_models40274.py	Six_zebra_models20989.py	Six_zebra_models48603.py	Six_zebra_models18520.py	Six_zebra_models28610.py	Six_zebra_models6742.py	Six_zebra_models6845.py	Six_zebra_models44976.py	Six_zebra_models26549.py	Six_zebra_models15390.py	Six_zebra_models41230.py	Six_zebra_models13986.py	Six_zebra_models9343.py	Six_zebra_models32843.py	Six_zebra_models17723.py	Six_zebra_models48110.py	Six_zebra_models7301.py	Six_zebra_models8148.py	Six_zebra_models45514.py	Six_zebra_models6070.py	Six_zebra_models18265.py	Six_zebra_models3208.py	Six_zebra_models31570.py	Six_zebra_models26789.py	Six_zebra_models11849.py	Six_zebra_models26054.py	Six_zebra_models24118.py	Six_zebra_models8646.py	Six_zebra_models42748.py	Six_zebra_models19011.py	Six_zebra_models49458.py	Six_zebra_models47696.py	Six_zebra_models26526.py	Six_zebra_models48658.py	Six_zebra_models24181.py	Six_zebra_models39759.py	Six_zebra_models5087.py	Six_zebra_models8371.py	Six_zebra_models35233.py	Six_zebra_models6913.py	Six_zebra_models38315.py	Six_zebra_models40040.py	Six_zebra_models13643.py	Six_zebra_models43329.py	Six_zebra_models17323.py	Six_zebra_models48117.py	Six_zebra_models27030.py	Six_zebra_models7326.py	Six_zebra_models29145.py	Six_zebra_models6022.py	Six_zebra_models12459.py	Six_zebra_models30406.py	Six_zebra_models23632.py	Six_zebra_models47209.py	Six_zebra_models33241.py	Six_zebra_models49742.py	Six_zebra_models7675.py	Six_zebra_models33593.py	Six_zebra_models31239.py	Six_zebra_models41213.py	Six_zebra_models32405.py	Six_zebra_models19570.py	Six_zebra_models31567.py	Six_zebra_models32794.py	Six_zebra_models38753.py	Six_zebra_models70.py	Six_zebra_models39147.py	Six_zebra_models14045.py	Six_zebra_models40466.py	Six_zebra_models44165.py	Six_zebra_models44419.py	Six_zebra_models42684.py	Six_zebra_models47909.py	Six_zebra_models42582.py	Six_zebra_models7070.py	Six_zebra_models42418.py	Six_zebra_models30110.py	Six_zebra_models36599.py	Six_zebra_models41366.py	Six_zebra_models22688.py	Six_zebra_models8758.py	Six_zebra_models33742.py	Six_zebra_models13458.py	Six_zebra_models44763.py	Six_zebra_models44.py	Six_zebra_models39827.py	Six_zebra_models24276.py	Six_zebra_models34481.py	Six_zebra_models37407.py	Six_zebra_models48782.py	Six_zebra_models1567.py	Six_zebra_models35444.py	Six_zebra_models27943.py	Six_zebra_models688.py	Six_zebra_models49070.py	Six_zebra_models32355.py	Six_zebra_models17665.py	Six_zebra_models44006.py	Six_zebra_models45283.py	Six_zebra_models7937.py	Six_zebra_models46895.py	Six_zebra_models8788.py	Six_zebra_models34065.py	Six_zebra_models7436.py	Six_zebra_models16607.py	Six_zebra_models24449.py	Six_zebra_models44732.py	Six_zebra_models49145.py	Six_zebra_models43232.py	Six_zebra_models43305.py	Six_zebra_models27294.py	Six_zebra_models41696.py	Six_zebra_models19050.py	Six_zebra_models48514.py	Six_zebra_models12356.py	Six_zebra_models28341.py	Six_zebra_models39576.py	Six_zebra_models44714.py	Six_zebra_models814.py	Six_zebra_models11123.py	Six_zebra_models46800.py	Six_zebra_models44457.py	Six_zebra_models43140.py	Six_zebra_models23020.py	Six_zebra_models39091.py	Six_zebra_models36304.py	Six_zebra_models20028.py	Six_zebra_models49576.py	Six_zebra_models44432.py	Six_zebra_models10386.py	Six_zebra_models13485.py	Six_zebra_models28596.py	Six_zebra_models40470.py	Six_zebra_models45725.py	Six_zebra_models29901.py	Six_zebra_models46815.py	Six_zebra_models1011.py	Six_zebra_models30383.py	Six_zebra_models11801.py	Six_zebra_models25374.py	Six_zebra_models49388.py	Six_zebra_models30473.py	Six_zebra_models41232.py	Six_zebra_models30001.py	Six_zebra_models9215.py	Six_zebra_models26211.py	Six_zebra_models2299.py	Six_zebra_models17787.py	Six_zebra_models48389.py	Six_zebra_models19111.py	Six_zebra_models557.py	Six_zebra_models41516.py	Six_zebra_models19885.py	Six_zebra_models16368.py	Six_zebra_models43332.py	Six_zebra_models17743.py	Six_zebra_models20594.py	Six_zebra_models16120.py	Six_zebra_models21838.py	Six_zebra_models45198.py	Six_zebra_models9786.py	Six_zebra_models23434.py	Six_zebra_models23904.py	Six_zebra_models5319.py	Six_zebra_models19053.py	Six_zebra_models10463.py	Six_zebra_models15851.py	Six_zebra_models36984.py	Six_zebra_models861.py	Six_zebra_models23773.py	Six_zebra_models44090.py	Six_zebra_models10552.py	Six_zebra_models49499.py	Six_zebra_models13808.py	Six_zebra_models45324.py	Six_zebra_models48085.py	Six_zebra_models42190.py	Six_zebra_models23114.py	
Six_zebra_models45514.py	4041.943	2734.474	2654.809	3975.48	2713.18	2729.475	4084.912	3934.655	2858.387	3896.369	308.967	2833.238	4398.026	381.082	2986.625	4466.298	4636.981	553.064	4538.026	522.532	4462.781	4678.936	4656.127	527.246	772.3	4730.629	626.908	4354.804	4736.814	663.877	449.63	494.2	336.366	663.995	4515.806	4394.497	391.256	4790.619	4707.244	4716.124	0.0	4630.676	3854.991	580.097	443.874	422.913	4630.055	4729.124	4545.491	4431.189	634.074	522.865	4772.509	4671.93	998.114	4609.597	277.984	384.985	475.749	336.068	4594.962	4449.838	769.062	419.495	4481.339	4400.726	4525.605	455.101	4535.274	4701.757	533.93	492.873	626.302	675.174	597.638	4640.706	4479.638	4710.377	574.94	556.727	473.55	260.684	657.661	664.495	4406.046	466.372	655.581	690.762	187.863	4710.282	426.161	4443.234	671.586	729.502	4639.55	657.052	4434.165	534.194	602.1	4805.875	648.526	4671.153	424.981	4527.995	499.11	399.289	4540.846	499.426	713.917	4692.604	4701.216	621.258	726.428	4788.349	4831.704	457.165	628.54	4426.821	397.869	600.137	621.951	409.965	4511.758	713.002	4579.529	767.735	4312.685	4720.539	474.237	4717.109	4787.828	648.51	691.218	4745.795	4430.62	335.197	379.574	743.326	4416.277	4626.402	379.812	4734.492	599.506	4605.533	4550.846	4607.677	446.273	4557.442	4695.56	652.931	484.065	630.657	809.614	456.718	377.144	511.53	4637.378	765.286	397.601	826.499	548.793	528.605	726.287	4525.578	4557.505	726.694	540.434	4416.909	4543.775	4450.323	4683.48	4679.325	4758.347	4775.238	4770.57	4810.141	372.914	624.874	4798.144	364.568	4480.41	635.477	522.071	340.023	547.765	620.349	4680.335	4469.811	554.674	4687.155	489.784	597.19	382.512	559.484	4618.972	4656.298	443.858	4562.895	417.834	4773.407	
Six_zebra_models6070.py	2623.057	3965.292	4006.331	2681.118	3998.986	4064.2	2698.423	2758.066	3946.439	2709.587	4561.492	3873.952	783.583	4550.202	3943.475	670.287	611.769	4602.33	643.839	4449.017	828.722	382.683	614.302	4590.33	4544.303	386.651	4528.612	634.235	348.737	4635.306	4601.661	4679.343	4632.098	4521.973	412.926	755.732	4678.641	547.47	347.851	467.667	4630.676	0.0	2836.086	4654.683	4589.75	4675.048	583.772	384.366	748.197	679.882	4549.819	4722.13	449.108	530.618	4272.123	533.024	4637.179	4762.498	4714.596	4692.91	556.009	763.513	4389.026	4718.655	750.99	748.033	665.206	4628.493	735.739	451.007	4704.392	4700.237	4754.931	4546.072	4729.453	584.694	759.099	400.982	4521.013	4557.372	4502.788	4647.76	4638.468	4490.176	636.516	4689.419	4577.136	4350.593	4689.051	538.993	4470.434	647.416	4612.295	4572.93	468.702	4588.442	534.057	4476.636	4721.102	431.423	4513.752	601.315	4696.805	672.815	4667.48	4686.025	774.787	4741.391	4410.719	470.571	392.637	4751.092	4513.433	407.29	453.966	4766.954	4615.51	748.779	4687.447	4489.151	4542.82	4698.067	752.625	4560.249	777.493	4599.809	836.0	558.817	4691.59	503.879	379.46	4528.806	4541.4	401.64	842.143	4704.424	4752.605	4463.905	784.884	772.733	4623.849	423.348	4744.04	610.721	790.43	601.296	4765.065	826.346	450.171	4610.731	4704.214	4544.637	4408.368	4737.61	4648.225	4386.593	625.603	4591.057	4623.648	4488.653	4588.18	4662.766	4602.079	825.047	437.561	4565.072	4640.52	814.842	791.773	704.577	709.206	586.113	453.29	516.143	442.032	615.887	4709.559	4625.855	454.577	4666.743	703.218	4495.582	4662.349	4700.287	4765.974	4731.279	547.901	734.143	4514.191	640.52	4602.541	4521.329	4608.422	4753.376	754.651	787.745	4722.778	786.645	4753.599	433.897	
Six_zebra_models18265.py	811.335	4350.055	4369.75	701.077	4415.278	4433.422	745.295	334.67	4427.863	509.834	3888.648	4365.184	2604.181	3856.175	4488.333	2838.122	2863.017	3976.2	2876.833	3878.598	2628.612	2911.802	2862.041	3934.153	3942.712	2940.141	3974.805	2584.855	2919.428	3996.084	3933.95	3975.466	3887.417	3815.394	2879.284	2757.075	3934.881	2912.179	2950.156	2870.088	3854.991	2836.086	0.0	3980.279	3851.636	3932.263	2811.898	2939.802	2930.399	2826.764	3828.199	3971.501	2956.951	2848.529	3830.82	2895.828	3864.388	3984.639	3990.433	3893.067	2949.64	2914.238	3733.369	3974.303	2880.143	2841.101	2792.718	3883.653	2852.781	2961.141	4022.315	3944.641	4053.899	3831.498	4034.083	2949.399	2954.219	2916.731	3967.724	3799.456	3738.828	3896.441	3947.712	3852.873	2722.262	3941.954	3843.818	3711.86	3856.114	2940.077	3779.839	2900.279	3949.305	3876.53	2905.993	3851.448	2772.887	3745.32	3980.209	3045.242	3793.984	2708.462	3939.599	2939.291	3924.221	3931.372	2899.41	4034.936	3690.209	3056.949	2927.793	4011.954	3816.339	3001.524	3068.915	3945.388	3953.211	2896.866	3910.863	3755.571	3856.608	3933.453	2993.843	3872.685	2990.384	3875.467	2747.686	2945.353	3911.354	3022.819	3040.115	3765.107	3888.592	3073.414	2726.852	3855.546	3930.17	3801.042	2918.987	2904.234	3909.582	3065.061	3980.269	2973.2	3005.729	2994.181	3967.978	2965.146	3044.01	3829.56	3925.983	3749.31	3836.07	3913.422	3803.295	3711.035	3087.125	3879.088	3840.688	3800.739	3781.034	3891.295	3850.125	2903.553	2964.584	3828.904	3841.937	2649.737	2991.891	2901.275	3077.189	3055.356	3076.895	3072.541	3086.47	2959.919	3861.833	3874.761	3080.595	3924.575	2978.826	3704.895	3891.544	3870.097	4077.721	3991.185	3045.404	2904.271	3745.62	3060.313	3888.138	3730.022	3771.253	3985.327	3030.486	3048.645	3942.216	3043.811	3906.823	3086.22	
Six_zebra_models3208.py	4152.828	2672.495	2615.418	4091.952	2657.16	2673.441	4194.982	4064.211	2806.951	4013.469	515.976	2792.92	4495.667	751.069	2933.193	4539.319	4712.218	562.896	4615.377	786.221	4559.815	4717.841	4735.713	361.85	864.473	4764.377	508.027	4410.298	4756.981	264.204	547.965	562.527	429.025	968.493	4528.204	4479.846	391.86	4801.902	4707.294	4716.192	580.097	4654.683	3980.279	0.0	706.333	662.708	4687.496	4742.121	4634.862	4504.82	865.966	269.265	4786.736	4718.32	1137.73	4664.863	459.138	462.703	424.2	433.596	4658.7	4529.861	1006.952	339.949	4569.917	4475.748	4609.579	449.074	4611.168	4720.043	313.289	298.161	433.497	973.853	264.671	4713.694	4554.656	4724.697	700.522	828.837	893.699	593.089	417.491	638.094	4463.388	469.233	817.648	894.654	554.303	4769.642	765.918	4496.298	736.895	856.37	4650.54	928.366	4482.942	907.381	306.566	4817.782	926.576	4736.164	318.245	4592.217	561.832	527.953	4624.217	379.256	964.394	4705.99	4737.057	288.866	825.346	4795.563	4846.137	392.886	793.817	4506.554	534.616	720.667	605.623	567.404	4585.237	813.752	4665.18	933.711	4401.551	4782.815	548.366	4766.174	4805.562	875.331	672.184	4760.298	4526.295	689.348	647.669	958.591	4491.926	4708.329	490.292	4749.921	310.621	4639.785	4633.408	4676.613	437.47	4647.451	4711.533	899.207	428.407	942.387	798.125	589.961	651.073	890.935	4693.103	899.416	626.809	1004.153	939.784	485.551	967.539	4610.898	4575.939	959.174	789.646	4505.325	4626.315	4525.323	4760.896	4741.83	4781.068	4781.632	4780.117	4803.236	775.001	647.636	4809.095	632.078	4534.12	993.372	546.106	608.658	360.496	392.538	4698.015	4546.837	690.838	4757.547	531.254	957.602	794.575	380.623	4698.004	4748.75	444.144	4636.017	557.289	4798.288	
Six_zebra_models31570.py	4054.153	2693.913	2644.364	3977.72	2707.134	2711.349	4099.06	3931.605	2835.247	3895.142	608.457	2821.216	4355.365	377.631	2969.622	4420.319	4588.382	403.879	4487.393	642.797	4432.335	4629.764	4610.349	599.823	453.44	4682.465	889.023	4317.213	4699.409	675.302	557.504	368.614	556.634	392.941	4471.745	4347.773	632.634	4760.199	4663.532	4664.319	443.874	4589.75	3851.636	706.333	0.0	346.066	4597.717	4691.558	4496.877	4383.165	264.891	676.729	4738.28	4611.45	804.675	4550.455	606.061	508.121	442.346	466.402	4543.982	4402.058	476.322	633.163	4434.594	4347.447	4467.727	397.95	4504.32	4665.535	645.731	558.706	637.582	380.168	673.227	4589.18	4428.076	4658.734	794.334	222.965	371.965	356.18	592.729	561.982	4365.893	390.868	314.935	581.227	491.014	4669.106	488.128	4404.889	350.53	365.74	4584.155	350.459	4389.203	426.127	728.059	4771.914	319.247	4615.407	655.324	4487.627	351.025	494.841	4503.372	768.235	477.419	4658.239	4647.854	690.618	391.059	4745.057	4784.97	605.316	370.765	4375.245	363.166	515.078	548.931	315.485	4461.262	344.389	4530.655	401.944	4267.639	4683.838	393.62	4664.082	4738.5	404.771	485.244	4706.964	4400.691	331.209	357.583	485.54	4369.665	4593.829	484.581	4686.751	669.568	4578.492	4494.778	4562.062	532.009	4515.488	4661.711	305.961	539.105	418.846	639.293	415.391	413.444	528.079	4590.703	394.645	419.81	457.622	404.884	641.476	383.813	4488.868	4522.219	417.154	289.253	4383.189	4497.964	4403.555	4631.874	4631.342	4724.57	4738.327	4732.431	4766.607	347.543	368.155	4745.134	411.349	4444.919	419.121	485.233	409.137	705.374	652.887	4648.529	4423.51	419.183	4631.445	822.332	430.646	418.959	582.623	4575.932	4603.555	496.216	4517.838	460.065	4732.393	
Six_zebra_models26789.py	4116.153	2689.705	2613.196	4051.965	2689.414	2682.615	4161.938	4011.681	2830.787	3977.257	555.986	2801.463	4436.344	337.538	2948.36	4501.322	4668.969	344.007	4568.826	606.973	4511.751	4713.975	4689.505	589.554	576.642	4761.097	840.085	4385.234	4770.158	702.681	509.46	363.217	450.468	510.856	4564.39	4430.082	576.473	4834.238	4755.003	4751.102	422.913	4675.048	3932.263	662.708	346.066	0.0	4664.4	4773.464	4576.065	4466.895	488.327	577.667	4823.353	4697.253	904.692	4635.415	613.37	427.382	414.196	473.025	4630.199	4481.699	737.128	606.73	4514.85	4428.375	4548.466	401.014	4583.676	4751.428	561.114	523.904	508.104	582.202	652.865	4669.62	4511.309	4750.649	723.491	479.754	515.383	379.656	700.122	727.486	4442.477	470.847	515.512	763.446	459.631	4748.26	489.305	4486.657	434.931	576.095	4669.429	510.785	4477.992	579.001	752.529	4854.371	552.372	4703.135	637.21	4571.023	442.25	356.293	4583.499	705.589	725.127	4746.147	4734.834	684.787	646.612	4833.522	4870.028	513.74	469.622	4460.452	411.746	706.312	733.607	370.489	4538.528	488.001	4606.947	528.408	4349.777	4766.142	420.976	4741.786	4827.319	641.966	657.626	4793.571	4475.104	393.125	374.373	581.893	4450.836	4667.619	498.649	4773.159	629.1	4656.653	4573.041	4639.098	529.805	4593.707	4747.055	482.648	610.018	629.795	766.465	296.703	517.517	664.337	4670.007	541.069	550.849	674.095	571.073	726.415	585.386	4560.583	4602.067	638.102	487.808	4453.73	4581.01	4489.172	4710.917	4715.185	4806.681	4823.248	4820.431	4847.343	431.869	563.834	4835.882	416.171	4527.521	636.98	520.382	468.144	611.025	537.012	4733.438	4507.222	641.734	4716.046	808.189	628.713	475.872	525.7	4654.57	4683.316	550.242	4600.747	505.348	4813.998	
Six_zebra_models11849.py	2525.573	4015.876	4020.286	2604.338	4035.589	4092.692	2627.012	2707.207	3986.428	2669.051	4564.949	3895.73	693.871	4539.197	3974.456	614.018	414.577	4609.544	571.051	4433.695	598.29	567.868	401.321	4614.591	4556.141	536.999	4549.184	672.755	526.148	4683.952	4613.111	4694.774	4636.108	4511.787	816.851	696.389	4696.475	587.522	756.336	816.714	4630.055	583.772	2811.898	4687.496	4597.717	4664.4	0.0	543.323	672.895	781.701	4558.074	4741.97	611.797	606.248	4279.271	706.746	4655.375	4777.652	4737.389	4710.724	512.911	703.592	4403.592	4747.267	704.636	823.77	633.348	4647.33	521.238	584.689	4728.848	4726.362	4773.309	4546.949	4769.33	533.587	737.789	791.785	4518.822	4565.365	4498.025	4652.495	4691.122	4530.076	782.052	4716.974	4592.931	4366.27	4690.505	382.533	4463.16	760.711	4627.917	4592.373	768.564	4590.174	773.689	4474.324	4767.163	636.019	4522.346	575.865	4720.89	679.032	4688.446	4691.581	643.685	4763.664	4426.075	738.028	680.531	4794.379	4545.578	768.855	688.757	4783.523	4619.801	849.768	4700.613	4524.605	4588.737	4712.828	778.354	4572.033	684.901	4602.855	854.922	399.619	4706.783	611.066	719.993	4548.648	4576.968	700.415	791.672	4709.478	4758.702	4458.311	865.263	444.608	4632.764	709.738	4777.038	611.845	825.424	592.605	4793.587	677.594	723.756	4614.651	4740.931	4551.37	4434.395	4736.958	4660.699	4384.977	649.447	4604.04	4644.124	4498.723	4587.465	4704.381	4606.988	626.62	686.572	4577.474	4652.781	804.777	714.471	820.588	622.383	583.199	636.194	686.106	756.535	765.709	4709.944	4660.524	818.699	4670.754	760.606	4496.98	4681.467	4714.856	4786.107	4748.917	704.251	770.579	4546.286	680.29	4624.515	4523.267	4601.008	4778.436	626.504	747.261	4753.386	726.376	4772.452	588.22	
Six_zebra_models26054.py	2666.902	4051.672	4079.335	2738.368	4076.909	4146.96	2758.638	2840.042	4017.023	2795.435	4660.365	3949.16	938.173	4651.221	4015.44	776.937	615.476	4697.399	737.51	4543.976	890.731	431.117	638.325	4675.491	4638.56	385.668	4616.351	834.821	344.899	4724.8	4703.767	4780.103	4728.095	4617.352	554.257	882.157	4776.73	290.765	324.959	485.808	4729.124	384.366	2939.802	4742.121	4691.558	4773.464	543.323	0.0	857.077	886.071	4648.514	4813.147	202.916	575.791	4374.165	688.117	4733.37	4863.451	4812.797	4791.957	614.152	875.448	4487.862	4813.916	908.099	949.248	833.019	4723.778	729.821	261.157	4799.807	4793.106	4849.601	4643.401	4821.564	672.93	868.498	450.466	4615.788	4658.084	4603.357	4747.409	4727.788	4578.43	859.201	4790.254	4672.263	4445.414	4788.7	464.31	4575.616	795.078	4711.031	4666.11	516.59	4687.735	749.263	4574.762	4810.536	265.826	4615.963	638.481	4788.657	756.069	4760.259	4788.648	846.699	4832.36	4508.748	429.221	529.704	4842.707	4610.345	382.0	324.633	4861.775	4710.682	947.765	4782.657	4580.787	4632.167	4797.232	898.279	4657.354	878.265	4696.162	1012.171	480.888	4788.636	588.424	426.664	4625.251	4626.831	392.014	1006.274	4805.615	4854.036	4562.34	964.832	737.543	4715.345	407.079	4835.175	586.722	955.589	730.079	4864.712	899.571	460.909	4712.293	4798.929	4640.774	4490.106	4833.01	4747.268	4490.963	681.993	4690.12	4720.243	4585.691	4688.107	4754.162	4697.652	901.835	543.858	4661.886	4739.904	1004.364	867.014	911.138	770.942	650.87	376.975	296.8	368.301	398.101	4809.317	4725.817	473.025	4767.558	788.585	4596.691	4752.332	4801.566	4858.866	4823.83	478.712	885.093	4613.947	737.771	4695.467	4618.193	4709.162	4846.576	799.943	904.175	4823.937	839.131	4854.516	343.712	
Six_zebra_models24118.py	2705.441	3868.248	3898.207	2749.49	3888.606	3954.895	2791.118	2852.162	3837.228	2781.756	4489.095	3762.956	466.959	4440.105	3822.535	289.13	391.959	4525.782	206.909	4345.768	586.632	627.756	402.563	4556.56	4441.172	680.51	4484.529	651.064	817.937	4612.257	4525.563	4600.65	4574.094	4400.303	783.809	367.167	4622.352	986.373	923.781	1006.92	4545.491	748.197	2930.399	4634.862	4496.877	4576.065	672.895	857.077	0.0	453.788	4445.42	4692.825	918.13	662.393	4163.95	522.152	4577.527	4686.986	4652.241	4633.175	380.025	244.946	4292.863	4663.654	263.512	406.02	379.699	4579.437	506.034	816.319	4662.086	4668.664	4706.366	4420.8	4694.738	325.463	335.17	870.146	4429.506	4456.311	4385.677	4554.714	4608.392	4444.646	629.183	4628.382	4490.43	4281.091	4614.793	524.403	4374.139	548.604	4525.412	4478.733	830.554	4463.459	647.662	4371.741	4695.904	885.742	4404.86	720.103	4659.618	489.268	4596.218	4604.104	452.276	4688.46	4323.872	813.315	717.277	4722.771	4439.076	918.452	864.213	4720.953	4512.524	374.155	4617.142	4436.369	4497.968	4617.008	321.445	4474.183	185.409	4497.771	418.079	573.871	4629.877	525.349	822.896	4443.221	4484.726	817.726	508.463	4606.914	4656.793	4366.735	401.223	536.853	4565.029	782.9	4721.012	752.056	361.422	311.161	4704.623	386.413	823.647	4508.294	4654.769	4441.18	4355.528	4666.346	4576.981	4286.86	459.199	4490.787	4548.524	4393.793	4465.44	4622.126	4483.023	440.292	723.054	4458.756	4548.239	601.149	390.741	446.914	348.717	409.338	768.373	902.16	868.446	1101.381	4598.477	4569.215	877.456	4569.901	517.644	4384.664	4608.8	4617.296	4712.223	4704.629	836.164	380.015	4463.487	358.707	4553.735	4412.54	4517.239	4712.922	383.226	283.413	4667.645	450.062	4689.395	737.159	
Six_zebra_models8646.py	2630.012	3843.596	3885.55	2685.767	3868.299	3931.338	2709.19	2768.608	3831.375	2685.489	4374.85	3750.814	429.175	4339.811	3822.337	343.429	662.365	4417.711	437.888	4249.554	613.419	748.609	661.417	4423.721	4342.523	782.114	4363.091	507.574	832.043	4475.822	4410.214	4485.242	4453.954	4307.31	615.892	329.93	4498.055	1067.759	902.361	1008.111	4431.189	679.882	2826.764	4504.82	4383.165	4466.895	781.701	886.071	453.788	0.0	4341.708	4558.662	983.989	810.592	4082.422	650.942	4451.87	4565.428	4530.569	4506.993	461.66	366.783	4190.545	4534.066	314.316	290.189	411.193	4455.94	626.029	920.997	4533.976	4538.195	4582.852	4322.99	4562.249	583.103	341.783	894.393	4331.612	4344.694	4285.089	4438.417	4471.128	4318.495	298.862	4499.475	4378.636	4169.816	4494.767	745.425	4270.472	365.733	4415.731	4370.856	880.345	4364.829	366.865	4263.183	4553.138	939.843	4303.514	832.084	4523.716	416.292	4474.183	4487.031	477.445	4562.276	4218.867	776.601	773.279	4584.903	4322.698	958.137	953.823	4589.548	4413.257	314.586	4496.082	4308.968	4366.288	4498.403	346.353	4368.278	466.972	4395.864	357.439	754.725	4503.761	673.291	868.54	4329.896	4362.852	786.278	451.24	4492.022	4544.11	4272.802	322.075	693.413	4448.064	870.715	4582.662	678.748	416.074	530.633	4577.616	478.956	753.736	4403.263	4520.528	4334.187	4244.115	4548.403	4452.64	4180.519	531.471	4386.607	4426.119	4293.418	4361.631	4481.578	4383.991	488.361	614.788	4352.54	4433.671	445.609	454.197	312.075	527.019	615.592	784.315	999.067	861.679	1157.95	4486.73	4442.467	922.513	4462.934	439.261	4280.821	4479.284	4495.097	4593.188	4578.831	785.12	267.627	4337.769	565.881	4420.732	4305.581	4400.689	4580.186	517.345	527.438	4536.278	480.909	4559.401	801.237	
Six_zebra_models42748.py	4037.558	2689.61	2652.831	3956.959	2723.548	2728.437	4082.574	3907.044	2834.0	3874.718	799.525	2829.829	4310.37	495.235	2974.094	4376.161	4535.466	508.52	4437.401	778.665	4390.817	4581.053	4558.972	750.505	367.392	4633.654	1061.822	4279.94	4659.944	804.467	735.646	512.326	740.346	278.347	4431.943	4301.143	823.031	4719.041	4619.888	4617.742	634.074	4549.819	3828.199	865.966	264.891	488.327	4558.074	4648.514	4445.42	4341.708	0.0	853.692	4695.054	4557.405	745.593	4497.85	788.773	687.004	594.282	659.095	4496.698	4355.572	345.333	808.037	4388.195	4302.69	4417.473	543.574	4461.915	4623.118	824.542	711.2	786.114	269.693	824.214	4535.851	4381.835	4610.366	948.077	237.235	394.567	556.826	691.428	611.027	4327.677	564.163	240.112	593.808	690.332	4620.323	617.211	4364.259	340.019	216.156	4535.768	232.06	4348.581	467.309	891.007	4731.957	168.39	4560.938	852.038	4444.599	460.806	662.998	4461.947	955.563	388.713	4618.903	4600.53	842.477	290.537	4700.191	4736.693	778.487	374.096	4327.839	524.932	565.358	623.097	480.541	4414.51	244.472	4479.715	241.216	4222.591	4639.473	550.177	4613.706	4692.959	349.134	476.984	4667.097	4361.197	481.833	511.686	406.216	4325.387	4548.718	644.067	4639.305	816.781	4545.849	4443.839	4514.841	699.145	4469.669	4623.135	236.162	695.909	382.602	604.181	551.183	572.283	620.461	4543.565	234.029	555.173	267.803	408.935	790.912	203.349	4447.396	4486.409	305.316	320.02	4344.738	4450.793	4359.751	4580.644	4585.788	4683.925	4695.426	4690.311	4720.954	459.907	422.314	4696.434	561.091	4407.789	376.624	606.398	583.082	881.399	802.978	4610.785	4379.296	490.437	4580.062	1009.96	409.828	555.824	727.977	4529.442	4549.057	680.152	4472.694	639.983	4689.629	
Six_zebra_models19011.py	4148.162	2774.047	2706.436	4090.203	2759.111	2764.903	4187.583	4058.821	2916.658	4011.779	529.157	2886.777	4543.495	728.891	3034.393	4597.427	4771.941	594.604	4674.747	821.552	4606.733	4787.469	4793.365	404.009	912.868	4830.162	620.686	4461.565	4819.352	391.703	542.274	544.489	334.513	943.355	4601.533	4535.068	364.677	4869.256	4785.222	4791.734	522.865	4722.13	3971.501	269.265	676.729	577.667	4741.97	4813.147	4692.825	4558.662	853.692	0.0	4860.896	4784.794	1215.261	4732.142	448.874	390.084	411.197	340.911	4720.197	4588.819	1039.503	352.67	4624.599	4533.171	4662.038	413.452	4669.285	4796.15	309.024	220.396	379.828	973.677	337.174	4776.243	4613.209	4801.306	768.544	797.398	868.045	544.483	492.856	713.063	4514.721	452.781	800.424	938.586	459.675	4832.693	761.559	4557.149	745.043	868.896	4726.675	915.629	4543.204	882.301	358.743	4890.17	917.578	4794.483	275.45	4649.966	554.609	466.563	4676.292	407.465	977.9	4779.925	4806.53	316.698	848.149	4872.716	4920.22	238.538	822.596	4566.869	500.593	739.24	681.67	528.008	4642.808	813.365	4720.779	905.02	4459.397	4844.763	492.996	4830.091	4879.992	861.803	718.693	4832.136	4573.551	603.216	585.255	963.889	4551.599	4761.198	508.097	4828.136	246.798	4700.988	4689.444	4739.325	396.679	4698.494	4781.794	853.388	411.157	911.687	879.914	461.459	583.051	902.652	4756.503	883.66	621.078	1010.542	907.709	504.51	955.852	4659.373	4645.909	951.492	751.401	4548.698	4682.0	4584.623	4817.317	4807.463	4849.919	4860.484	4854.725	4878.28	702.299	652.384	4887.791	624.016	4598.649	965.301	514.268	545.493	407.401	285.205	4766.987	4603.322	697.919	4820.216	560.223	925.488	709.055	318.042	4753.146	4805.062	413.844	4693.511	467.711	4868.696	
