	Six_zebra_models13971.py	Six_zebra_models19141.py	Six_zebra_models5357.py	Six_zebra_models18265.py	Six_zebra_models31450.py	Six_zebra_models40097.py	Six_zebra_models48110.py	Six_zebra_models16368.py	Six_zebra_models8148.py	Six_zebra_models47909.py	Six_zebra_models47696.py	Six_zebra_models22688.py	Six_zebra_models48658.py	Six_zebra_models6070.py	Six_zebra_models49145.py	Six_zebra_models37407.py	Six_zebra_models10562.py	Six_zebra_models18520.py	Six_zebra_models19053.py	Six_zebra_models34481.py	Six_zebra_models20028.py	Six_zebra_models23114.py	Six_zebra_models19885.py	Six_zebra_models41696.py	Six_zebra_models557.py	Six_zebra_models36599.py	Six_zebra_models49458.py	Six_zebra_models41516.py	Six_zebra_models11123.py	Six_zebra_models27943.py	Six_zebra_models43232.py	Six_zebra_models35444.py	Six_zebra_models20594.py	Six_zebra_models7301.py	Six_zebra_models49742.py	Six_zebra_models6845.py	Six_zebra_models26054.py	Six_zebra_models7326.py	Six_zebra_models31012.py	Six_zebra_models13643.py	Six_zebra_models6913.py	Six_zebra_models33241.py	Six_zebra_models10463.py	Six_zebra_models32843.py	Six_zebra_models43329.py	Six_zebra_models8646.py	Six_zebra_models17787.py	Six_zebra_models32355.py	Six_zebra_models39576.py	Six_zebra_models17323.py	Six_zebra_models46895.py	Six_zebra_models43140.py	Six_zebra_models29975.py	Six_zebra_models24118.py	Six_zebra_models34065.py	Six_zebra_models27030.py	Six_zebra_models44714.py	Six_zebra_models44165.py	Six_zebra_models33742.py	Six_zebra_models21838.py	Six_zebra_models49499.py	Six_zebra_models44.py	Six_zebra_models30473.py	Six_zebra_models36304.py	Six_zebra_models2299.py	Six_zebra_models48085.py	Six_zebra_models16607.py	Six_zebra_models45108.py	Six_zebra_models9809.py	Six_zebra_models19050.py	Six_zebra_models26211.py	Six_zebra_models6742.py	Six_zebra_models31567.py	Six_zebra_models7070.py	Six_zebra_models44457.py	Six_zebra_models9343.py	Six_zebra_models41232.py	Six_zebra_models48389.py	Six_zebra_models13808.py	Six_zebra_models19111.py	Six_zebra_models36984.py	Six_zebra_models47209.py	Six_zebra_models23020.py	Six_zebra_models35233.py	Six_zebra_models29901.py	Six_zebra_models11849.py	Six_zebra_models23934.py	Six_zebra_models40274.py	Six_zebra_models14045.py	Six_zebra_models24449.py	
Six_zebra_models47696.py	4054.389	2598.245	2514.544	3992.292	2561.718	2583.528	4103.299	3964.287	2714.72	3918.612	0.0	2685.147	4347.873	480.651	2840.682	4405.463	4579.5	569.668	4480.424	441.954	4408.161	4614.266	4599.075	544.896	841.125	4666.887	395.409	4295.391	4669.187	626.048	408.689	564.84	355.098	829.604	4448.248	4340.108	342.489	4720.082	4636.159	4648.946	308.967	4561.492	3888.648	515.976	608.457	555.986	4564.949	4660.365	4489.095	4374.85	799.525	529.157	4701.135	4611.193	980.844	4550.716	316.924	447.524	531.071	432.279	4533.66	4390.157	895.715	405.801	4422.752	4343.266	4473.914	567.963	4472.088	4628.704	482.323	557.467	628.827	839.934	576.961	4581.941	4421.124	4645.286	367.736	721.465	652.349	406.18	708.522	715.507	4348.942	533.891	834.244	766.306	368.271	4647.7	
Six_zebra_models22688.py	4341.164	476.65	397.733	4310.622	364.55	463.447	4434.214	4365.832	328.327	4299.836	2685.147	0.0	3818.005	2687.432	366.489	3744.308	3868.005	2664.055	3765.592	2491.504	3885.77	3840.068	3876.036	2807.316	2664.03	3898.8	2599.295	3727.949	3939.837	2794.677	2676.665	2773.663	2799.663	2781.091	3814.491	3748.73	2835.373	4013.513	3923.123	3948.932	2833.238	3873.952	4365.184	2792.92	2821.216	2801.463	3895.73	3949.16	3762.956	3750.814	2829.829	2886.777	3969.567	3877.322	2336.416	3768.338	2870.17	2899.109	2853.844	2906.674	3817.633	3689.829	2773.524	2882.948	3741.922	3674.143	3785.083	2853.178	3844.357	3900.821	2803.764	2900.59	2818.243	2810.748	2865.29	3795.671	3716.452	3912.082	2486.156	2844.59	2803.894	2803.053	2898.66	2829.534	3782.486	2884.647	2884.448	2731.08	2914.15	3890.278	
Six_zebra_models48658.py	2408.491	3906.878	3938.357	2462.494	3933.744	3996.952	2491.748	2540.395	3897.508	2467.975	4347.873	3818.005	0.0	4302.949	3894.69	378.788	554.326	4397.15	434.812	4216.589	343.513	789.603	551.766	4419.225	4316.257	833.487	4351.114	490.811	903.537	4474.297	4381.316	4461.961	4424.271	4269.163	818.084	280.835	4472.95	1050.502	1011.854	1057.985	4398.026	783.583	2604.181	4495.667	4355.365	4436.344	693.871	938.173	466.959	429.175	4310.37	4543.495	1015.746	774.711	4050.106	714.391	4428.205	4542.258	4512.013	4483.421	566.044	453.874	4160.819	4519.081	404.399	478.485	403.822	4435.779	548.379	951.159	4520.497	4522.92	4565.135	4291.236	4553.849	606.373	510.799	972.512	4304.921	4313.516	4243.973	4409.744	4471.138	4313.433	487.087	4485.659	4355.865	4148.305	4461.626	714.349	
Six_zebra_models6070.py	4038.892	2593.212	2505.579	3973.887	2579.057	2590.351	4091.748	3931.006	2706.974	3898.481	480.651	2687.432	4302.949	0.0	2834.259	4370.501	4534.157	425.457	4435.312	403.031	4378.012	4580.039	4553.396	665.7	570.029	4632.686	780.655	4263.117	4649.309	800.364	519.889	440.322	540.135	454.531	4443.841	4297.749	644.731	4710.535	4632.551	4626.671	381.082	4550.202	3856.175	751.069	377.631	337.538	4539.197	4651.221	4440.105	4339.811	495.235	728.891	4696.653	4565.468	728.676	4499.514	602.869	549.383	553.055	582.492	4503.039	4349.79	628.334	657.471	4382.907	4297.302	4416.343	517.788	4452.988	4621.465	657.915	674.559	679.883	485.433	758.125	4533.97	4384.031	4620.934	584.328	485.893	390.559	352.54	785.216	760.306	4322.248	580.928	556.461	659.789	500.309	4615.474	
Six_zebra_models49145.py	4458.896	577.486	602.025	4424.074	486.355	617.981	4547.203	4488.88	316.43	4412.107	2840.682	366.489	3894.69	2834.259	0.0	3812.268	3931.708	2801.237	3826.606	2641.916	3973.096	3896.315	3941.882	2964.259	2791.726	3955.872	2749.872	3801.655	4004.885	2934.045	2814.351	2904.406	2954.435	2929.412	3879.088	3822.961	2979.657	4079.8	3984.281	4003.531	2986.625	3943.475	4488.333	2933.193	2969.622	2948.36	3974.456	4015.44	3822.535	3822.337	2974.094	3034.393	4036.39	3931.173	2454.831	3818.804	3020.829	3035.501	2989.106	3057.624	3887.539	3753.984	2924.54	3023.535	3812.896	3735.851	3850.659	2996.491	3924.49	3963.39	2943.333	3045.757	2948.1	2950.062	2999.571	3854.426	3783.303	3965.219	2621.927	2995.909	2957.525	2947.53	3039.818	2987.121	3856.886	3028.379	3027.689	2893.625	3064.846	3954.674	
Six_zebra_models37407.py	2603.122	3845.678	3877.92	2654.389	3863.849	3932.12	2699.426	2760.545	3821.182	2681.178	4405.463	3744.308	378.788	4370.501	3812.268	0.0	429.007	4447.006	214.108	4271.88	467.694	635.865	457.684	4464.772	4370.207	687.576	4392.554	531.715	788.613	4515.199	4440.946	4519.746	4486.518	4337.947	647.014	245.69	4533.233	931.042	853.819	965.097	4466.298	670.287	2838.122	4539.319	4420.319	4501.322	614.018	776.937	289.13	343.429	4376.161	4597.427	865.59	668.172	4104.034	589.234	4490.46	4603.608	4567.375	4544.857	297.875	190.624	4225.86	4573.838	260.71	362.316	397.423	4494.411	404.969	762.847	4570.157	4577.307	4617.028	4357.446	4600.978	448.152	237.948	855.959	4352.841	4381.151	4318.886	4474.095	4515.326	4359.038	492.004	4540.722	4417.208	4206.831	4531.995	545.248	
Six_zebra_models10562.py	2608.552	3974.452	3996.706	2662.862	3996.671	4063.619	2705.203	2765.491	3940.719	2717.443	4579.5	3868.005	554.326	4534.157	3931.708	429.007	0.0	4611.902	308.783	4437.144	552.822	431.086	135.101	4637.588	4530.191	463.113	4571.22	672.402	618.541	4693.796	4617.182	4689.981	4658.282	4490.369	763.802	525.883	4711.379	683.869	753.202	797.748	4636.981	611.769	2863.017	4712.218	4588.382	4668.969	414.577	615.476	391.959	662.365	4535.466	4771.941	665.338	426.636	4251.337	474.592	4666.993	4781.352	4740.059	4720.063	379.36	500.669	4377.681	4755.358	525.332	638.575	450.794	4658.568	466.882	574.243	4745.98	4747.018	4789.053	4515.91	4779.08	278.676	557.368	702.352	4524.164	4546.63	4479.171	4650.199	4690.993	4526.995	742.855	4717.818	4576.275	4361.895	4703.4	245.69	
Six_zebra_models18520.py	4156.788	2539.275	2476.341	4088.901	2538.793	2541.661	4206.978	4053.473	2675.21	4016.135	569.668	2664.055	4397.15	425.457	2801.237	4447.006	4611.902	0.0	4513.957	572.113	4473.201	4639.225	4635.1	535.866	416.606	4689.139	754.636	4332.272	4700.171	559.805	498.369	301.066	535.942	575.518	4487.415	4381.482	606.46	4758.142	4669.942	4664.325	553.064	4602.33	3976.2	562.896	403.879	344.007	4609.544	4697.399	4525.782	4417.711	508.52	594.604	4745.014	4624.689	756.076	4565.415	668.75	495.313	369.101	539.952	4571.886	4429.222	702.501	606.585	4467.692	4374.114	4498.9	391.848	4533.033	4670.337	496.377	522.407	457.461	606.902	564.782	4610.392	4458.6	4667.438	659.34	529.259	626.493	469.189	591.292	641.283	4392.564	441.278	522.072	728.147	605.229	4686.174	
Six_zebra_models19053.py	2649.101	3866.997	3897.61	2693.827	3889.385	3956.622	2739.979	2795.436	3839.104	2727.554	4480.424	3765.592	434.812	4435.312	3826.606	214.108	308.783	4513.957	0.0	4339.525	535.235	524.333	320.828	4539.964	4431.603	588.796	4472.222	561.672	727.767	4592.96	4513.316	4588.377	4560.519	4395.479	694.451	356.59	4610.779	875.317	828.139	902.687	4538.026	643.839	2876.833	4615.377	4487.393	4568.826	571.051	737.51	206.909	437.888	4437.401	4674.747	811.713	555.206	4156.138	463.625	4567.353	4678.132	4639.526	4620.552	296.942	244.95	4284.213	4652.184	318.524	408.484	337.986	4563.841	462.056	717.075	4646.634	4650.457	4689.569	4416.391	4678.113	304.762	332.444	781.815	4423.792	4447.762	4382.427	4545.862	4590.713	4431.031	586.654	4615.476	4479.497	4271.496	4605.47	437.747	
Six_zebra_models34481.py	4030.053	2429.858	2324.129	3969.675	2382.132	2409.789	4089.916	3939.006	2517.625	3902.573	441.954	2491.504	4216.589	403.031	2641.916	4271.88	4437.144	572.113	4339.525	0.0	4280.879	4478.359	4453.887	719.759	747.711	4533.921	599.754	4172.862	4547.918	858.73	575.909	661.468	650.291	704.127	4344.122	4204.347	705.914	4604.402	4528.382	4532.921	522.532	4449.017	3878.598	786.221	642.797	606.973	4433.695	4543.976	4345.768	4249.554	778.665	821.552	4585.785	4475.537	725.042	4405.833	659.243	731.291	747.007	725.65	4403.005	4250.795	805.019	753.978	4287.747	4205.155	4328.299	712.125	4345.884	4509.626	743.904	822.317	828.744	732.577	858.013	4435.085	4285.439	4523.625	369.531	728.874	596.474	553.026	909.135	830.649	4233.101	759.059	827.812	698.224	643.689	4509.663	
Six_zebra_models20028.py	2380.546	3990.131	4006.114	2450.895	4004.459	4071.913	2479.519	2543.829	3971.566	2482.929	4408.161	3885.77	343.513	4378.012	3973.096	467.694	552.822	4473.201	535.235	4280.879	0.0	850.404	546.2	4479.676	4398.953	883.779	4403.613	657.736	924.338	4541.767	4453.917	4541.923	4489.482	4348.491	884.76	419.351	4537.094	989.954	1027.841	1128.555	4462.781	828.722	2628.612	4559.815	4432.335	4511.751	598.29	890.731	586.632	613.419	4390.817	4606.733	953.752	864.807	4136.179	873.07	4487.928	4614.349	4586.023	4549.844	554.133	555.659	4238.96	4584.016	528.221	707.199	603.236	4508.121	366.317	902.934	4589.872	4590.25	4641.352	4371.665	4623.24	680.057	588.66	1047.454	4367.728	4389.651	4318.163	4481.676	4539.964	4376.647	662.595	4557.724	4434.231	4213.718	4524.757	662.954	
Six_zebra_models23114.py	2694.6	3936.818	3972.23	2739.93	3967.831	4035.111	2778.678	2822.349	3902.878	2783.351	4614.266	3840.068	789.603	4580.039	3896.315	635.865	431.086	4639.225	524.333	4478.359	850.404	0.0	434.763	4654.912	4566.787	184.306	4588.706	705.049	378.793	4700.725	4646.31	4717.332	4688.121	4542.628	607.321	746.091	4739.774	512.789	473.949	458.727	4678.936	382.683	2911.802	4717.841	4629.764	4713.975	567.868	431.117	627.756	748.609	4581.053	4787.469	456.397	310.15	4280.4	301.586	4698.876	4815.079	4765.969	4751.105	535.802	706.775	4418.583	4779.898	733.406	725.227	584.609	4680.5	742.568	404.42	4760.566	4762.989	4803.624	4566.264	4790.821	407.08	735.715	341.637	4556.894	4593.86	4533.724	4689.334	4701.989	4551.437	784.56	4745.051	4613.098	4395.581	4743.668	364.378	
Six_zebra_models19885.py	2617.044	3985.972	4004.095	2672.192	4007.201	4072.584	2710.234	2765.528	3952.546	2724.407	4599.075	3876.036	551.766	4553.396	3941.882	457.684	135.101	4635.1	320.828	4453.887	546.2	434.763	0.0	4660.609	4555.242	473.25	4591.608	664.0	610.723	4720.296	4637.032	4712.875	4678.511	4511.247	801.531	540.312	4733.071	706.406	785.675	823.502	4656.127	614.302	2862.041	4735.713	4610.349	4689.505	401.321	638.325	402.563	661.417	4558.972	4793.365	677.633	477.213	4272.108	477.757	4687.947	4804.092	4764.734	4742.242	398.426	512.44	4400.37	4778.777	524.139	648.014	433.121	4681.548	483.989	616.276	4768.971	4769.86	4812.125	4537.24	4804.606	261.752	572.767	721.519	4542.593	4569.338	4499.295	4670.663	4718.059	4553.244	746.203	4742.087	4599.878	4383.545	4722.515	243.936	
Six_zebra_models41696.py	4098.011	2706.876	2633.748	4044.138	2692.845	2706.165	4144.834	4009.99	2829.689	3968.087	544.896	2807.316	4419.225	665.7	2964.259	4464.772	4637.588	535.866	4539.964	719.759	4479.676	4654.912	4660.609	0.0	808.147	4699.661	598.323	4345.686	4693.247	425.133	656.681	617.916	485.778	809.249	4457.847	4399.045	540.393	4748.195	4643.867	4663.324	527.246	4590.33	3934.153	361.85	599.823	589.554	4614.591	4675.491	4556.56	4423.721	750.505	404.009	4724.568	4656.656	1059.188	4598.407	477.088	574.61	515.262	484.369	4576.4	4451.649	846.345	490.073	4489.231	4400.451	4530.135	389.268	4531.229	4659.018	515.534	370.55	606.175	836.902	503.144	4637.604	4471.76	4664.969	763.171	716.873	752.844	571.597	424.8	467.893	4387.407	500.431	673.126	662.088	536.634	4697.474	
Six_zebra_models557.py	4141.685	2507.245	2484.238	4061.486	2539.065	2546.521	4190.709	4019.705	2651.784	3980.571	841.125	2664.03	4316.257	570.029	2791.726	4370.207	4530.191	416.606	4431.603	747.711	4398.953	4566.787	4555.242	808.147	0.0	4621.509	1025.397	4278.417	4651.197	773.386	707.178	496.64	821.355	479.258	4422.051	4298.147	865.981	4708.546	4606.843	4600.996	772.3	4544.303	3942.712	864.473	453.44	576.642	4556.141	4638.56	4441.172	4342.523	367.392	912.868	4685.18	4545.421	605.503	4483.474	899.583	752.502	612.988	777.752	4493.247	4348.825	507.93	856.782	4387.757	4295.194	4414.67	642.66	4461.667	4608.037	808.031	799.341	746.784	452.033	810.844	4528.142	4376.331	4595.174	886.454	449.006	599.746	653.925	737.263	693.24	4328.975	635.983	466.58	728.405	841.471	4613.097	
Six_zebra_models36599.py	2697.776	4000.999	4031.509	2755.971	4031.615	4095.797	2780.928	2845.118	3967.083	2807.853	4666.887	3898.8	833.487	4632.686	3955.872	687.576	463.113	4689.139	588.796	4533.921	883.779	184.306	473.25	4699.661	4621.509	0.0	4640.527	730.193	275.021	4748.554	4700.542	4768.759	4735.027	4594.028	624.795	788.908	4790.27	442.591	456.687	435.3	4730.629	386.651	2940.141	4764.377	4682.465	4761.097	536.999	385.668	680.51	782.114	4633.654	4830.162	441.05	338.577	4340.377	383.449	4750.241	4865.109	4815.294	4800.164	568.867	766.063	4474.04	4830.495	780.637	774.785	620.18	4726.085	775.357	410.551	4807.645	4807.324	4848.928	4621.637	4839.186	450.17	785.072	354.578	4613.195	4646.361	4587.46	4742.782	4749.982	4601.243	787.33	4795.515	4662.28	4447.684	4793.276	377.638	
